ID,age,gender,handedness,lab_session,participation_order,first_condition,visualcue_attempt1,visualcue_attempt2,visualcue_attempt3,visualcue_attempt4,visualcue_attempt5,auditorycue_attempt1,auditorycue_attempt2,auditorycue_attempt3,auditorycue_attempt4,auditorycue_attempt5
R_271HUQoLliXaPtG,18,Non-binary / third gender,Right,Tuesday_AM,Myself_First,Visual_First,24,12.5,17,12,15,0,0,26,25,8
R_1mgRpRmKmUedCTA,17,Female,Right,Tuesday_AM,Partner_First,Visual_First,24,12.5,17,12,15,0,0,26,25,8
R_1ewnYWY5iTK0o3d,19,Female,Right,Tuesday_AM,Partner_First,Visual_First,24,12.5,17,12,15,0,0,26,25,8
R_TgY35tVoZLlXLkl,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,4,10,7,13,13,22,23,12,NA,NA
R_2cBKDxnP17ZnN87,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,10,16,6,8,7,22,9,8,8,12
R_r7tDqyk8a6hdA6l,17,Male,Right,Tuesday_AM,Partner_First,Visual_First,10,7,9,6,4,13,9,27,24,27
R_2CIHLaVuOAY0MQf,23,Female,Right,Tuesday_AM,Myself_First,Visual_First,NA,NA,12,26,14,NA,NA,NA,5,8
R_272aHiEFLQacfPd,17,Female,Left,Tuesday_AM,Myself_First,Visual_First,15,11,15,16,16,29,0,NA,27,NA
R_1BXAlWqLbvkGiYM,17,Female,Right,Tuesday_AM,Myself_First,Visual_First,10,9,3,19,7,NA,20,NA,NA,NA
R_3KrKfuHR4NpbLNm,18,Female,Right,Tuesday_AM,Myself_First,NA,15,13,27,16,16,NA,30,6,11,26
R_3NvKJgYXJjaTFYC,18,Female,Right,Tuesday_AM,Myself_First,Visual_First,15,13,27,16,16,30,6,11,26,NA
R_30coK7yEdHlXfZ7,19,Male,Right,Tuesday_AM,Myself_First,Visual_First,9,10,13,10,12,NA,NA,NA,NA,NA
R_2tcd2n7rHSue6rp,19,Female,Right,Tuesday_AM,Myself_First,Visual_First,14,12,11,14,14,NA,NA,NA,NA,25
R_LLmIuNhues71D,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,21,14,14,15,12,17,NA,12,11,20
R_WBfYiAz7isB9awh,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,4,10,7,13,13,22,23,12,NA,NA
R_3GpkkAWbZbdz71w,19,Female,Right,Tuesday_AM,Myself_First,Auditory_First,13.7,10.3,3.8,8.5,7.9,14.2,17.6,21.6,0.5,23.4
R_1IGeh6fJXHFSV,20,Female,Right,Tuesday_AM,Myself_First,Visual_First,13,16,22,15,13,25,23,10,6,26
R_O2syBUms9uSe6Fb,18,Female,Right,Tuesday_AM,Partner_First,Visual_First,18,29,15,15,14,27,20,19,17,30
R_xGHeQn3zGAbaTEl,18,Male,Left,Tuesday_AM,Partner_First,Auditory_First,14,30,14,11,12,19,NA,NA,NA,14
R_3MS5kCZbfKn2f9D,18,Male,Right,Tuesday_AM,Partner_First,Visual_First,21,16,17,14,5,13,13,10,13,16
R_2Vmqz0Vi1VYzRj1,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,22,15.5,20.9,16.1,4.8,12.4,25.3,10.5,1.7,7.5
R_2XbbGC7NjlGk5kU,20,Female,Right,Tuesday_AM,Myself_First,Visual_First,28.2,26.5,26.5,26.5,30.5,4,27.5,29.8,26,22
R_1LbaBdOYiaTyFFT,18,Male,Left,Tuesday_AM,Myself_First,Visual_First,12.2,18.3,6.2,16.6,17.5,19.4,11.5,24.6,21,0.5
R_6A3StO30G0zQw3T,20,Female,Right,Tuesday_AM,Partner_First,Auditory_First,10.5,7.1,11.3,12.8,17.5,NA,12.8,25.6,23.7,15
R_2ygfDT77Ak8u81M,18,Female,Right,Tuesday_AM,Partner_First,Auditory_First,10.5,4.5,4,4,3.5,23.5,4,9.5,7.5,5
R_1kHbc95dARy5LhG,18,Female,Right,Monday_PM,Myself_First,Visual_First,19,15,15,14.5,15,24,1.5,4,2.5,5
R_6R3FpYm469KcDsZ,19,Female,Right,Monday_PM,Myself_First,Visual_First,19,15,15,14.5,15,24,1.5,4,2.5,5
R_XWZTQAUHg6cqxyh,20,Female,Right,Monday_PM,Partner_First,Visual_First,19,15,15,12,21,24,1.5,4,2.5,5
R_3I3HuG98DhI2cAF,18,Female,Right,Friday_PM,Myself_First,Auditory_First,13.5,10,15,13.5,8,10,25,17,18,10.5
R_2EtlHkBCWlAXUpa,18,Male,Right,Friday_PM,Partner_First,Visual_First,3,4,4.5,3.5,7,3.5,4.5,5,5,9
R_3kyKCq8JrZ0cQ2e,18,Female,Right,Friday_PM,Myself_First,Visual_First,2,3,1,3,4,6,8,13,17,12
R_2aIEU6u393afDI0,18,Female,Right,Friday_PM,Myself_First,Auditory_First,9,12,9,9,3,4,17,12,17,9
R_1C9IErEKAZEqK2B,19,Female,Right,Friday_PM,Myself_First,Auditory_First,21,17,21,15,17,20,29,26,6,27
R_3m3mLWf2pKmcuN6,18,Female,Right,Friday_PM,Myself_First,Auditory_First,8,8,17,19,11,9,25,30,11,16
R_2riMtkGYEeXRGEY,21,Male,Left,Friday_PM,Partner_First,Visual_First,19,15,18,15,16,15,17,20,21,27
R_2qBLStKiIAwhzKs,19,Female,Right,Friday_PM,Partner_First,Visual_First,23,11,18,11,23,6,24,8,4,1
R_3rGwKZKK1i4ju7Y,18,Female,Right,Friday_PM,Partner_First,Visual_First,13.5,15.5,11,15,16,NA,30,NA,23.5,NA
R_2UfP5ecq50nHMrO,21,Female,Right,Friday_PM,Partner_First,Auditory_First,7,13,12,12,9,10,14,20.5,27,13.5
R_cvhuePBSZ7TYz8l,18,Female,Right,Friday_PM,Partner_First,Auditory_First,15,15,17,22,22,6,8,17,13,12
R_yPWFvQT7yTNHrpL,18,Male,Right,Friday_PM,Myself_First,Visual_First,13,13,11,15,8,6,25,23,15,7
R_1gIKOnf2D1j3Dw2,18,Male,Left,Friday_PM,Myself_First,Visual_First,19,18,14,11,14,18,21,29,20,1
R_3R9iBwAoUwy7pYh,19,Female,Left,Friday_PM,Partner_First,Visual_First,21,2,7,7,11,2,1,2,15,3
R_2aCwku1JszT9wRS,19,Female,Right,Friday_PM,Myself_First,Visual_First,15.5,21,19.5,16.5,16,22,NA,NA,26.5,17.5
R_1CeHdMBJlJQBYg6,19,Female,Left,Friday_PM,Partner_First,Visual_First,14,16,16,7,5,27,4,30,25,33
R_sHhsMbYfnMr7jDb,19,Female,Right,Friday_PM,Partner_First,Auditory_First,6,13,5,7,11,9.5,30,13,8,29
R_3lPVOUmssRL0IuZ,28,Male,Right,Friday_PM,Myself_First,NA,15,17,17,13,1,10,12,21,17,3
R_1LHTxbtNCPlsOEY,19,Male,Right,Friday_PM,Partner_First,Visual_First,26,17,16,10,16,9,21,2,15,0
R_1es1zz9tmz9Ufv9,19,Male,Right,Friday_PM,Myself_First,Visual_First,18.7,13,13,19,15.5,6,0,0,8,0
R_1ieYfjkw79BhCGA,19,Female,Right,Friday_PM,Myself_First,Auditory_First,22,18,11,16,14,23,21,30,15,24
R_2s0XhjPbq2YFiHA,22,Male,Right,Friday_PM,Myself_First,NA,12,10,7,16,15,21,14,33,7,33
R_1LcZnFVQtwDkuyN,20,Male,Left,Friday_PM,Myself_First,Visual_First,11,11,12,11,12,17,40,15,13,13
R_1OC76VwVm2yZk2x,18,Female,Right,Friday_PM,Myself_First,Visual_First,27,22,28,20,10,28,30,26,30,13
R_RrdUJNllXJclXk5,19,Female,Right,Friday_PM,Myself_First,Auditory_First,12.5,5.5,25,12,10.5,5.5,11.5,21,22.5,29
R_1pxKFR43adkG8nR,19,Female,Right,Friday_PM,Myself_First,Visual_First,16,17,14,19,17,29,7,5,20,18
R_C4FlKKwYbcjMDJf,18,Male,Right,Friday_PM,Partner_First,Auditory_First,8,2,3,11,12,4,3,12,17,10
R_3nenw6uChIUCEoi,20,Female,Right,Friday_PM,Myself_First,Visual_First,5,19,19,20,16,29,18,19.5,30,25
R_1qdM6ObapuRjYpP,18,Female,Right,Friday_PM,Myself_First,Auditory_First,15.5,17,13.5,13,10.5,30,15,4.5,7,9.5
R_3Ol8TacqIom8pDw,18,Female,Right,Friday_PM,Partner_First,Visual_First,5,19,19,20,16,29,18,19.5,30,25
R_2VBWj3g504E4Fd5,19,Female,Right,Friday_PM,Partner_First,Visual_First,7,11,20,13,7,20,25,29,6,12
R_3OqxCptkvaTtQOG,18,Female,Left,Friday_PM,Partner_First,Auditory_First,6,23,28,3,25,17,9,12,17,10
R_2QhqhLeFSU7fHWk,18,Female,Right,Friday_PM,Partner_First,Visual_First,2,3.5,7,6.5,11,1,1.5,19.5,3,16
R_2WMe8NUgpX1qUnx,18,Female,Left,Friday_PM,Partner_First,Auditory_First,14.5,12,20,17,19,25.5,23.5,23.5,9,26
R_3r0sCAXev94IHvm,19,Male,Right,Friday_PM,Myself_First,Visual_First,8.5,26.5,10.8,14.4,11.1,5.7,24.2,13.1,20.8,10.4
R_uxr3EyIPFORXvkR,19,Female,Right,Friday_PM,Myself_First,Visual_First,10,18,20.5,12.5,16,NA,NA,NA,20,NA
R_tEXPP2w1fWfdGCt,18,Female,Right,Friday_PM,Partner_First,Visual_First,20,18.5,15,15.5,21.5,13,23,17,26,8
R_1q4Eimr0I0as0Up,19,Female,Right,Friday_PM,Myself_First,Visual_First,12,16,16,9,12,10,10,14,15,9
R_2dLmucXvOCqM7rx,18,Male,Right,Friday_PM,Partner_First,Visual_First,17,14,12,10,12,27,7,18,32,21
R_3LhkhJiiXX6z7aN,19,Male,Right,Friday_PM,Partner_First,Visual_First,22,19,8,8,13,15,12,19,11,17
R_ZrtjpbWwnCPy2OZ,18,Male,Right,Friday_PM,Myself_First,Visual_First,21,14,12,17,2,21,24,27,24,16
R_3sgHLZkOqGX8aLL,18,Female,Right,Friday_PM,Partner_First,Auditory_First,14,23.5,19,16,13,NA,NA,NA,30,NA
R_2TUdXelafnNsgzz,18,Female,Right,Friday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_3ptgWPMcEUDtF3E,18,Female,Right,Friday_PM,Partner_First,Visual_First,25,12.2,10.3,20,9.2,4.6,9.1,9.1,12.2,10.5
R_tY5o59ksnC4Dnl7,26,Male,Left,Monday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1C3XyJyf331Wbmb,19,Female,Right,Friday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1KeVAFBNgn9jKtb,18,Male,Left,Friday_PM,Myself_First,Visual_First,14,14,14,15,15,24,25,24,23,26
R_Ycc99FBrZjU6FOh,17,Male,Right,Monday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_Rk0YLsHvesnowbD,17,Male,Right,Monday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_1DOLlQD5uBxEF7k,19,Female,Left,Tuesday_AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2usQIoDDNwfh7M9,23,Female,Right,Tuesday_AM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_2ZE7LDnxHU2aDTV,20,Female,Right,Friday_PM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
