v5,v6,kstot,age,male,toomuchscience,solveprob
7558,5,7,38,0,,
7559,5,7,60,1,,
7560,5,6,36,0,,
7561,5,5,36,0,4,3
7562,5,7,41,0,2,2
7563,5,11,39,1,,
7564,5,7,39,0,,
7565,5,8,60,0,,
7567,5,9,57,1,,
7568,5,9,39,1,,
7569,5,7,36,1,,
7570,5,11,43,1,2,0
7571,5,12,36,1,2,0
7574,5,7,46,0,,
7575,5,9,39,1,,
7577,5,8,34,1,,
7578,5,6,36,0,4,3
7582,5,11,39,0,,
7584,5,9,42,0,,
7586,5,12,57,0,,
7587,5,9,31,1,2,3
7588,5,9,25,1,1,0
7589,5,1,46,0,,
7590,5,3,30,1,,
7591,5,1,45,1,4,3
7592,5,2,35,0,,
7594,5,4,50,1,3,3
7595,5,2,37,0,,
7597,5,5,50,1,,
7598,5,9,50,1,3,3
7599,5,5,41,0,3,3
7600,5,7,27,0,3,3
7601,5,4,50,1,3,3
7602,5,8,36,0,,
7603,5,8,36,0,,
7604,5,10,29,0,,
7605,5,12,32,1,,
7606,5,10,63,0,,
7607,5,12,54,1,3,0
7608,5,6,42,0,,
7609,5,10,65,0,,
7611,5,10,43,0,,
7614,5,9,54,1,3,2
7615,5,10,37,1,3,2
7616,5,3,51,1,,
7617,5,5,49,0,3,3
7618,5,11,37,0,2,2
7620,5,12,46,0,,
7621,5,3,63,0,,
7622,5,9,56,1,1,3
7623,5,4,39,0,,
7624,5,7,72,0,3,3
7625,5,2,90,0,3,3
7626,5,8,57,1,,
7627,5,2,36,1,,
7628,5,9,19,0,2,1
7629,5,6,45,1,,
7630,5,0,58,0,2,2
7631,5,1,67,0,,
7632,5,13,68,0,,
7633,5,11,34,1,3,2
7634,5,12,19,0,,
7635,5,9,48,0,,
7636,5,10,37,0,2,0
7637,5,10,48,1,2,3
7638,5,12,17,1,,
7639,5,10,41,0,,
7641,5,11,63,0,,
7642,5,11,44,0,,
7643,5,8,83,1,,
7644,5,10,46,1,3,0
7645,5,11,40,0,,
7649,5,10,44,0,1,1
7650,5,11,26,0,,
7651,5,12,50,1,,
7652,5,12,59,1,1,3
7653,5,10,46,1,0,0
7654,5,11,41,0,,
7655,5,9,45,0,0,0
7657,5,11,59,1,,
7658,5,10,27,0,,
7659,5,10,36,0,4,1
7660,5,10,27,1,0,2
7661,5,12,22,1,0,2
7662,5,10,26,0,,
7663,5,12,27,0,3,1
7664,5,9,18,1,,
7665,5,12,23,0,1,4
7669,5,12,20,0,,
7670,5,5,47,0,,
7673,5,9,54,0,,
7674,5,10,45,0,,
7675,5,9,16,1,,
7676,5,12,39,0,,
7677,5,11,42,1,,
7678,5,11,59,0,3,3
7679,5,11,39,0,,
7680,5,11,30,0,1,3
7681,5,9,45,0,0,2
7682,5,6,19,1,,
7683,5,7,38,0,,
7684,5,7,71,0,,
7685,5,10,32,0,2,3
7686,5,4,24,0,,
7687,5,8,29,0,,
7688,5,7,40,0,,
7689,5,7,45,0,,
7690,5,8,25,0,2,2
7691,5,6,18,0,4,3
7692,5,5,39,0,3,3
7693,5,6,45,1,4,4
7694,5,3,60,1,,
7695,5,4,23,1,3,3
7696,5,6,18,1,4,4
7697,5,7,50,1,3,3
7698,5,8,60,0,,
7699,5,5,19,1,4,4
7700,5,10,45,1,4,2
7701,5,6,60,1,,
7702,5,8,51,1,3,3
7703,5,4,29,0,1,1
7704,5,3,50,1,4,4
7705,5,5,60,1,,
7706,5,13,51,0,,
7707,5,9,65,1,2,2
7708,5,6,41,1,,
7709,5,5,66,0,3,3
7710,5,9,37,0,,
7711,5,9,34,0,3,2
7712,5,11,36,0,,
7713,5,10,34,0,,
7714,5,11,34,0,3,3
7715,5,11,46,0,3,4
7716,5,11,32,0,,
7717,5,9,46,0,,
7718,5,12,33,0,,
7719,5,10,67,1,3,3
7720,5,10,64,0,,
7721,5,9,38,0,,
7722,5,10,15,0,,
7723,5,10,38,0,,
7724,5,13,32,0,2,2
7725,5,11,59,0,,
7726,5,12,52,0,,
7728,5,12,41,0,2,1
7729,5,12,44,1,,
7730,5,9,29,0,2,1
7731,5,12,35,1,,
7734,5,9,55,0,1,3
7735,5,11,38,1,3,3
7736,5,8,40,0,,
7738,5,10,25,1,,
7739,5,9,45,0,4,0
7740,5,6,51,0,,
7741,5,10,38,1,1,1
7742,5,12,39,1,1,2
7743,5,9,67,1,2,3
7744,5,3,45,1,,
7745,5,8,47,1,,
7746,5,9,41,0,,
7747,5,6,33,0,2,2
7748,5,8,39,1,,
7749,5,11,19,0,1,3
7750,5,7,26,0,,
7752,5,9,60,1,2,0
7754,5,9,33,1,0,3
7755,5,10,30,1,,
7756,5,10,59,1,0,3
7757,5,10,49,0,,
7759,5,10,34,1,,
7767,5,5,31,1,,
7768,5,7,62,0,,
7769,5,8,33,1,2,2
7770,5,9,36,0,,
7771,5,7,39,0,,
7772,5,7,42,0,,
7773,5,3,43,0,1,2
7774,5,2,46,0,,
7775,5,10,27,0,,
7777,5,4,44,0,2,2
7779,5,9,32,0,2,2
7780,5,12,36,0,2,1
7782,5,10,18,1,3,3
7783,5,5,65,0,,
7785,5,7,47,1,,
7786,5,8,32,0,,
7787,5,8,37,0,2,2
7788,5,10,51,0,3,3
7789,5,7,15,0,1,0
7790,5,9,33,0,3,3
7791,5,8,31,1,3,3
7792,5,10,46,0,3,3
7793,5,6,55,0,,
7794,5,10,29,0,,
7795,5,6,71,0,2,2
7797,5,6,57,1,2,2
7799,5,11,46,0,,
7801,5,5,49,0,2,1
7802,5,6,55,1,,
7803,5,10,23,1,,
7804,5,8,25,1,,
7805,5,11,29,0,,
7806,5,12,22,0,3,3
7808,5,11,50,0,,
7809,5,1,50,0,4,4
7810,5,7,29,0,,
7811,5,4,37,0,,
7812,5,7,49,1,2,4
7813,5,11,37,0,,
7814,5,10,58,0,,
7815,5,10,52,0,3,1
7816,5,7,70,1,,
7817,5,3,71,0,,
7818,5,8,27,1,3,2
7819,5,9,46,0,3,3
7820,5,9,50,1,,
7821,5,10,59,1,3,4
7822,5,6,26,0,,
7823,5,7,60,1,3,2
7824,5,13,38,1,,
7825,5,11,50,0,3,1
7826,5,11,57,0,,
7828,5,10,47,0,,
7829,5,13,50,0,1,2
7830,5,7,50,0,2,2
7832,5,8,64,1,3,3
7833,5,5,58,1,1,1
7834,5,11,75,0,,
7835,5,11,26,1,0,2
7836,5,9,61,0,2,1
7837,5,8,60,0,3,3
7838,5,9,31,1,4,3
7840,5,8,48,0,3,1
7841,5,9,52,0,,
7842,5,9,35,0,3,2
7843,5,11,43,1,,
7844,5,7,38,0,,
7845,5,10,47,0,,
7846,5,12,41,0,0,3
7847,5,12,29,0,,
7848,5,5,61,0,1,1
7849,5,9,43,0,,
7850,5,9,52,0,,
7851,5,8,62,0,,
7852,5,13,40,1,2,1
7854,5,10,46,0,4,0
7855,5,8,45,0,1,0
7856,5,9,25,0,,
7857,5,9,57,0,,
7858,5,11,37,0,1,0
7859,5,11,32,0,,
7860,5,6,52,0,,
7861,5,10,26,1,0,2
7862,5,3,64,0,4,3
7863,5,10,56,1,,
7864,5,8,50,0,2,3
7866,5,7,30,1,2,3
7867,5,11,50,0,,
7868,5,7,27,1,3,3
7869,5,9,26,0,3,3
7870,5,4,31,1,1,4
7871,5,8,19,0,,
7872,5,4,26,0,,
7873,5,9,26,0,3,3
7876,5,12,54,1,1,1
7878,5,13,32,0,,
7879,5,13,43,1,,
7880,5,12,65,1,2,0
7883,5,13,42,1,,
7884,5,7,26,0,,
7885,5,9,48,0,2,2
7886,5,9,33,0,,
7887,5,10,45,0,,
7888,5,11,38,0,1,2
7889,5,9,34,0,2,4
7890,5,11,58,0,,
7891,5,9,45,1,2,2
7892,5,12,28,0,2,2
7893,5,7,29,0,3,2
7894,5,9,64,0,3,3
7895,5,7,40,1,3,3
7896,5,6,28,0,,
7897,5,6,41,0,3,2
7898,5,11,56,0,,
7899,5,8,51,1,,
7900,5,10,47,1,1,2
7901,5,6,17,1,1,2
7902,5,9,55,1,,
7903,5,12,37,0,,
7904,5,8,33,1,,
7906,5,8,58,0,,
7907,5,12,48,0,2,3
7908,5,11,19,1,1,2
7910,5,4,52,1,3,2
7911,5,10,50,0,0,1
7913,5,5,53,1,,
7914,5,3,27,1,3,0
7915,5,11,54,0,0,2
7918,5,2,20,1,2,0
7919,5,11,38,0,2,2
7920,5,10,76,0,,
7921,5,10,18,1,4,4
7922,5,9,69,0,,
7923,5,10,53,0,2,2
7924,5,11,53,0,,
7925,5,11,23,1,,
7926,5,10,41,1,,
7927,5,8,51,0,2,2
7928,5,12,60,1,3,3
7929,5,12,39,0,,
7930,5,13,49,0,3,3
7931,5,12,52,1,,
7932,5,11,29,0,,
7933,5,12,54,0,2,3
7934,5,13,45,0,2,4
7935,5,10,39,1,1,0
7937,5,13,24,1,3,2
7938,5,11,24,1,,
7939,5,11,54,1,2,2
7940,5,9,34,1,2,3
7942,5,11,44,1,,
7943,5,10,31,1,,
7944,5,10,27,0,,
7945,5,9,15,1,2,3
7946,5,8,58,0,3,2
7947,5,11,21,1,,
7948,5,11,30,0,2,3
7949,5,11,32,1,2,1
7950,5,8,48,1,,
7951,5,9,17,1,3,3
7952,5,7,39,1,,
7953,5,8,45,1,,
7954,5,10,43,0,,
7955,5,9,33,0,3,3
7956,5,8,51,1,3,3
7957,5,10,37,0,,
7959,5,4,64,0,,
7960,5,9,33,0,,
7961,5,9,35,0,2,3
7962,5,5,70,1,,
7963,5,8,44,0,1,1
7965,5,11,49,1,,
7966,5,9,69,0,,
7967,5,5,29,0,,
7968,5,10,15,0,,
7971,5,11,18,1,,
7973,5,7,39,0,3,2
7974,5,8,74,1,3,2
7975,5,9,28,0,,
7976,5,4,76,0,,
7977,5,10,21,1,3,2
7978,5,2,69,0,,
7979,5,9,44,0,,
7980,5,8,40,0,,
7981,5,9,44,0,3,3
7983,5,10,59,0,,
7984,5,8,55,0,,
7985,5,5,43,0,4,3
7986,5,8,32,0,3,3
7987,5,5,45,1,,
7988,5,5,43,1,3,4
7989,5,4,19,0,3,3
7990,5,5,31,1,3,0
7991,5,12,40,0,4,2
7992,5,13,31,0,,
7993,5,10,34,0,,
7995,5,11,26,1,4,2
7996,5,11,19,0,,
7997,5,8,36,1,,
7998,5,11,29,0,4,2
7999,5,10,33,0,2,2
8000,5,7,15,0,,
8001,5,11,35,0,,
8002,5,10,28,1,3,2
8003,5,10,25,0,2,2
8004,5,8,19,1,3,2
8005,5,11,22,0,,
8006,5,11,21,0,4,1
8007,5,10,51,0,,
8009,5,8,44,1,,
8010,5,5,83,0,,
8011,5,11,25,0,1,2
8012,5,3,42,0,3,1
8013,5,13,35,0,,
8014,5,11,69,1,,
8015,5,10,21,0,,
8018,5,9,37,1,,
8020,5,8,30,0,1,1
8022,5,9,44,1,,
8023,5,9,27,0,2,1
8025,5,9,23,0,,
8029,5,6,39,0,3,3
8030,5,6,30,0,,
8031,5,5,59,0,,
8032,5,6,37,1,,
8033,5,8,37,1,4,1
8034,5,10,35,1,,
8035,5,5,30,0,2,3
8037,5,11,40,0,2,1
8040,5,12,34,1,,
8041,5,12,49,0,,
8042,5,12,29,0,2,2
8043,5,12,30,0,2,2
8044,5,13,37,0,3,1
8046,5,8,58,0,,
8047,5,8,53,0,3,2
8048,5,11,68,1,,
8049,5,10,48,0,0,3
8050,5,6,49,1,3,3
8051,5,7,38,0,1,3
8052,5,8,65,0,,
8053,5,6,25,0,,
8054,5,8,25,0,3,3
8055,5,11,36,0,,
8056,5,12,28,1,2,2
8057,5,11,23,0,2,2
8058,5,10,25,0,2,2
8059,5,10,28,1,,
8060,5,12,28,1,,
8061,5,9,29,1,2,2
8062,5,11,29,0,4,0
8063,5,10,30,1,3,0
8064,5,12,65,0,4,0
8065,5,9,36,1,,
8066,5,9,28,1,4,0
8067,5,12,32,0,,
8068,5,11,32,0,4,4
8069,5,6,29,0,,
8070,5,10,42,1,2,2
8071,5,4,54,1,,
8073,5,9,36,0,,
8074,5,12,40,1,2,1
8075,5,8,48,1,,
8076,5,11,30,1,0,1
8077,5,11,43,0,,
8078,5,10,57,1,0,0
8082,5,10,68,0,4,0
8083,5,11,41,1,,
8084,5,11,54,0,,
8085,5,8,30,0,,
8086,5,10,36,0,,
8087,5,9,54,1,3,0
8088,5,10,32,1,3,2
8089,5,10,62,1,4,1
8090,5,10,39,1,,
8091,5,6,50,0,,
8092,5,12,56,1,,
8095,5,12,45,1,,
8096,5,11,45,0,,
8098,5,6,70,0,1,0
8100,5,11,57,0,0,2
8101,5,9,29,0,2,2
8103,5,10,32,0,1,4
8104,5,9,57,0,,
8106,5,7,67,1,,
8107,5,7,55,0,1,2
8108,5,4,45,0,4,1
8109,5,6,56,1,,
8110,5,4,68,0,,
8111,5,7,39,0,3,0
8112,5,10,59,0,0,3
8113,5,10,61,0,,
8114,5,9,58,0,,
8115,5,10,32,1,0,4
8116,6,6,37,1,3,1
8117,6,7,42,0,3,1
8119,6,8,52,0,3,1
8122,6,6,47,1,0,0
8123,6,7,64,0,4,0
8124,6,8,65,1,4,0
8125,6,12,30,1,2,3
8126,6,12,49,0,0,0
8127,6,9,61,0,2,1
8130,6,13,19,0,1,1
8131,6,12,44,1,2,0
8132,6,7,39,0,3,1
8133,6,9,63,1,0,3
8134,6,8,37,0,3,1
8135,6,11,33,1,1,0
8136,6,11,62,1,3,1
8137,6,13,41,1,2,1
8138,6,11,52,1,1,1
8139,6,10,52,1,4,0
8141,6,8,76,0,,1
8142,6,7,21,0,1,0
8143,6,10,69,0,2,0
8145,6,12,78,1,1,1
8146,6,5,47,1,0,4
8147,6,10,74,0,4,0
8149,6,10,16,1,1,1
8150,6,10,46,0,3,1
8151,6,6,48,0,3,0
8154,6,8,40,0,3,3
8156,6,7,47,1,3,1
8157,6,7,35,0,2,0
8159,6,8,43,0,3,1
8162,6,9,33,0,3,0
8165,6,12,41,1,2,2
8166,6,13,42,1,3,3
8168,6,11,54,1,2,0
8171,6,13,35,1,0,0
8172,6,13,65,1,3,1
8173,6,11,73,1,0,0
8174,6,10,37,0,0,0
8175,6,8,29,0,0,0
8176,6,13,36,0,1,3
8177,6,7,24,1,1,1
8180,6,9,48,0,1,0
8181,6,8,18,0,3,0
8182,6,12,46,0,0,0
8183,6,12,28,1,0,1
8184,6,8,24,1,1,3
8185,6,6,66,0,4,0
8186,6,10,73,0,0,0
8187,6,10,72,0,,1
8188,6,11,67,1,1,0
8189,6,5,58,1,4,3
8190,6,11,21,0,4,0
8191,6,7,53,0,3,2
8192,6,7,34,0,,3
8193,6,8,49,0,4,0
8194,6,8,35,0,2,0
8195,6,8,67,0,3,1
8197,6,13,64,0,1,2
8198,6,12,68,1,2,2
8199,6,13,35,1,1,3
8200,6,12,58,0,2,2
8202,6,9,48,1,3,0
8203,6,8,66,0,2,0
8206,6,10,37,0,4,0
8207,6,11,39,1,4,0
8208,6,11,46,0,0,0
8209,6,11,17,0,4,0
8212,6,7,50,0,4,1
8213,6,6,45,1,4,
8214,6,9,70,1,4,0
8215,6,6,74,1,0,4
8216,6,7,77,0,4,0
8217,6,9,61,0,4,0
8218,6,8,55,1,0,1
8219,6,12,20,0,1,1
8221,6,11,44,0,3,0
8222,6,11,27,1,0,1
8223,6,10,45,0,0,0
8226,6,9,27,1,1,0
8227,6,10,37,1,1,0
8228,6,7,44,1,4,0
8230,6,12,37,1,0,0
8231,6,13,46,0,0,0
8232,6,13,39,1,1,3
8233,6,12,40,0,2,1
8234,6,13,29,0,3,3
8235,6,13,40,0,3,3
8236,6,13,32,0,1,3
8241,6,5,61,1,,
8242,6,10,55,1,4,4
8243,6,5,61,0,4,1
8244,6,12,62,0,4,1
8245,6,11,66,0,3,1
8246,6,7,40,1,4,0
8247,6,7,68,0,0,0
8248,6,7,63,0,1,1
8249,6,9,64,1,2,1
8250,6,8,75,0,2,1
8256,6,8,26,1,2,0
8257,6,5,36,1,4,4
8263,6,10,64,1,4,0
8264,6,10,35,0,2,0
8265,6,9,64,1,3,2
8267,6,7,38,0,3,1
8268,6,7,50,0,0,0
8269,6,10,42,1,1,0
8271,6,6,64,1,0,2
8273,6,9,37,0,1,0
8275,6,6,35,0,,1
8278,6,6,70,1,3,1
8279,6,4,46,1,3,1
8280,6,7,46,1,2,1
8281,6,8,54,1,2,1
8282,6,8,42,0,1,0
8283,6,12,48,1,1,0
8285,6,12,43,1,3,1
8286,6,12,33,0,3,0
8289,6,9,31,0,2,2
8290,6,13,56,0,3,0
8291,6,7,59,0,3,0
8292,6,10,55,0,3,1
8293,6,5,74,0,3,0
8294,6,13,60,1,2,0
8296,6,10,44,0,2,1
8297,6,11,68,0,2,1
8298,6,9,45,0,3,1
8300,6,11,21,1,0,1
8301,6,12,21,1,0,2
8302,6,13,21,1,0,0
8303,6,13,83,1,4,0
8304,6,8,19,0,2,0
8306,6,7,27,0,2,0
8309,6,10,55,1,3,0
8310,6,9,49,0,2,1
8311,6,8,30,0,2,1
8312,6,8,45,0,1,0
8314,6,7,49,1,3,3
8315,6,11,15,0,3,0
8316,6,5,40,1,2,3
8317,6,11,31,0,4,0
8319,6,10,47,1,3,2
8320,6,5,72,0,1,0
8321,6,10,69,0,4,0
8322,6,5,63,0,1,1
8324,6,13,40,1,3,0
8325,6,10,42,0,2,0
8326,6,7,52,1,4,0
8327,6,12,56,1,2,2
8332,6,8,48,1,2,0
8333,6,11,60,1,1,0
8335,6,7,38,0,0,0
8336,6,8,18,1,3,0
8338,6,8,41,0,2,1
8339,6,9,65,1,4,1
8340,6,10,63,1,0,0
8342,6,6,70,0,3,3
8343,6,8,58,1,4,0
8344,6,11,67,1,0,0
8345,6,11,66,1,3,1
8346,6,8,53,0,0,1
8347,6,12,44,1,2,1
8348,6,10,78,1,0,3
8350,6,9,75,0,1,0
8351,6,10,40,1,3,1
8352,6,10,35,1,0,1
8353,6,8,25,1,3,0
8354,6,11,51,0,0,0
8356,6,6,41,0,2,2
8357,6,11,76,1,4,0
8358,6,10,37,0,4,3
8359,6,12,58,0,3,1
8360,6,12,36,1,1,0
8361,6,2,57,1,2,3
8362,6,11,68,1,4,0
8363,6,7,32,1,4,2
8364,6,4,44,0,4,4
8365,6,11,74,1,0,0
8366,6,13,78,1,0,0
8367,6,8,51,0,0,2
8370,6,11,19,0,2,1
8371,6,11,55,1,1,1
8372,6,10,15,1,3,0
8374,6,12,55,1,2,0
8375,6,13,36,0,4,0
8377,6,9,29,0,,
8378,6,9,65,0,,
8379,6,9,37,1,,
8380,6,10,47,0,,
8381,6,12,27,1,,
8382,6,10,69,1,,
8383,6,10,24,1,,
8384,6,11,22,1,,
8385,6,10,56,1,,
8387,6,7,48,0,,
8388,6,9,34,1,,
8389,6,11,39,1,,
8392,6,5,79,0,,
8394,6,10,41,1,,
8395,6,10,33,0,,
8396,6,11,41,1,,
8398,6,9,15,0,,
8400,6,9,37,0,,
8401,6,12,53,0,,
8403,6,8,33,0,,
8404,6,9,57,1,,
8405,6,8,17,1,,
8406,6,11,27,1,,
8407,6,6,54,0,,
8408,6,9,57,0,,
8409,6,9,22,0,,
8410,6,9,35,0,,
8411,6,8,46,0,,
8412,6,10,17,1,,
8414,6,7,48,0,,
8415,6,4,71,1,,
8418,6,7,35,1,,
8419,6,5,76,1,,
8420,6,13,38,0,,
8423,6,7,68,1,,
8424,6,12,57,1,,
8427,6,10,28,1,,
8428,6,4,38,0,,
8429,6,11,63,1,,
8430,6,7,35,0,,
8431,6,8,59,1,,
8432,6,6,34,1,,
8433,6,11,47,1,,
8434,6,13,73,1,,
8435,6,12,52,1,,
8437,6,9,42,1,,
8438,6,9,47,1,,
8439,6,11,39,1,,
8440,6,6,68,0,,
8441,6,9,54,0,,
8442,6,8,67,0,,
8443,6,11,58,0,,
8444,6,10,80,1,,
8446,6,7,44,0,,
8447,6,6,70,1,,
8448,6,8,40,1,,
8450,6,12,26,1,,
8451,6,9,33,0,,
8452,6,11,54,1,,
8453,6,9,28,1,,
8454,6,8,69,1,,
8455,6,7,43,0,,
8456,6,8,40,0,,
8458,6,8,52,0,,
8459,6,11,37,0,,
8461,6,10,68,1,,
8462,6,11,41,1,,
8463,6,9,15,0,,
8464,6,9,40,0,,
8465,6,9,19,0,,
8466,6,12,29,0,,
8467,6,8,51,0,,
8468,6,9,21,1,,
8469,6,5,48,1,,
8470,6,11,54,0,,
8471,6,10,42,1,,
8472,6,12,65,1,,
8473,6,10,49,0,,
8474,6,11,42,1,,
8475,6,7,21,1,,
8476,6,8,22,0,,
8477,6,11,29,1,,
8478,6,7,43,1,,
8479,6,5,36,1,,
8480,6,10,78,0,,
8481,6,13,34,0,,
8482,6,9,58,0,,
8483,6,12,48,0,,
8484,6,13,38,1,,
8486,6,6,80,0,,
8487,6,4,48,1,,
8488,6,10,40,0,,
8489,6,9,36,0,,
8491,6,7,85,0,,
8493,6,9,43,0,,
8494,6,7,16,0,,
8495,6,6,19,0,,
8496,6,8,15,1,,
8498,6,11,21,0,,
8500,6,7,73,1,,
8501,6,9,58,1,,
8502,6,12,40,0,,
8504,6,9,52,0,,
8506,6,7,61,0,,
8507,6,8,71,0,,
8508,6,13,66,0,,
8510,6,12,21,0,,
8511,6,8,38,0,,
8512,6,8,56,1,,
8513,6,12,56,0,,
8515,6,12,50,1,,
8516,6,12,41,0,,
8517,6,13,54,1,,
8518,6,11,56,0,,
8521,6,7,53,0,,
8522,6,10,66,1,,
8523,6,5,63,0,,
8524,6,9,54,0,,
8525,6,8,34,0,,
8528,6,13,60,1,,
8530,6,10,33,1,,
8531,6,11,55,0,,
8532,6,12,47,0,,
8533,6,9,78,0,,
8534,6,10,71,1,,
8535,6,12,38,1,,
8536,6,6,49,1,,
8537,6,10,15,0,,
8538,6,10,25,0,,
8540,6,9,31,0,,
8541,6,9,56,0,,
8543,6,11,55,0,,
8546,6,11,67,1,,
8547,6,12,42,0,,
8548,6,11,73,0,,
8549,6,12,49,1,,
8550,6,13,57,1,,
8551,6,6,68,0,,
8552,6,6,83,1,,
8553,6,9,39,0,,
8554,6,10,37,1,,
8555,6,12,32,0,,
8556,6,8,47,1,,
8557,6,9,54,1,,
8558,6,8,68,0,,
8559,6,7,71,1,,
8560,6,8,70,0,,
8561,6,4,72,1,,
8562,6,4,71,0,,
8563,6,7,66,1,,
8564,6,5,60,0,,
8565,6,13,74,1,,
8566,6,8,68,0,,
8570,6,10,37,0,,
8571,6,9,56,1,,
8572,6,11,31,0,,
8573,6,7,36,0,,
8574,6,10,35,1,,
8575,6,9,33,1,,
8576,6,8,45,1,,
8577,6,6,31,0,,
8578,6,6,43,1,,
8582,6,7,34,0,,
8584,6,12,57,1,,
8585,6,10,40,0,,
8586,6,5,50,0,,
8587,6,9,47,0,,
8588,6,9,36,0,,
8589,6,10,64,1,,
8594,6,11,19,1,,
8596,6,6,45,0,,
8598,6,7,42,0,,
8599,6,8,54,0,,
8600,6,10,68,1,,
8601,6,11,41,0,,
8602,6,12,42,1,,
8603,6,10,50,1,,
8606,6,13,47,1,,
8608,6,6,62,1,,
8610,6,11,71,1,,
8613,6,7,58,0,,
8615,6,8,66,0,,
8619,6,9,67,0,,
8621,6,3,43,0,,
8622,6,11,80,1,,
8623,6,10,39,0,,
8624,6,12,38,1,,
8625,6,9,38,1,,
8627,6,8,43,0,,
8631,6,11,65,0,,
8632,6,9,63,1,,
8633,6,7,70,0,,
8634,3,11,36,1,2,1
8635,3,11,52,0,,
8638,3,10,49,0,,
8639,3,8,37,0,,
8640,3,9,57,0,2,1
8641,3,11,76,1,,
8642,3,12,70,0,2,0
8643,3,9,47,1,4,0
8644,3,9,62,0,,
8645,3,9,46,1,0,3
8646,3,5,35,1,2,1
8647,3,7,43,1,1,1
8648,3,9,37,0,3,1
8649,3,7,30,0,2,1
8650,3,8,37,1,2,3
8651,3,7,59,0,,
8652,3,10,53,0,,
8655,3,11,45,0,,
8656,3,10,51,1,3,1
8658,3,8,43,0,1,1
8659,3,11,44,0,,
8661,3,7,61,1,,
8662,3,5,71,1,4,0
8663,3,8,51,1,,
8664,3,11,60,0,,
8665,3,11,61,0,,
8667,3,8,63,1,,
8670,3,8,71,0,1,1
8671,3,13,61,1,,
8673,3,13,56,1,,
8674,3,10,60,0,3,0
8675,3,7,50,0,,
8679,3,10,28,0,4,0
8680,3,7,54,0,0,0
8681,3,7,63,1,3,2
8683,3,9,52,1,3,2
8687,3,12,56,0,,
8688,3,3,82,0,4,1
8689,3,10,46,0,0,1
8690,3,10,58,1,,
8693,3,6,39,1,4,3
8694,3,11,46,1,,
8695,3,8,37,1,,
8697,3,12,47,1,0,1
8698,3,11,56,0,0,0
8699,3,12,68,0,1,0
8700,3,12,39,0,,
8701,3,10,38,0,,
8702,3,11,59,0,3,1
8703,3,12,58,1,,
8704,3,12,64,1,,
8706,3,12,68,1,0,0
8707,3,10,62,0,,
8708,3,11,40,1,,
8709,3,10,26,0,1,0
8710,3,13,35,1,,
8713,3,8,42,0,2,2
8714,3,9,43,0,4,3
8716,3,13,52,1,,
8718,3,9,68,1,,
8719,3,9,23,0,,
8720,3,12,34,1,3,0
8721,3,11,55,0,2,0
8724,3,10,23,1,,
8725,3,11,67,1,,
8726,3,8,61,0,,
8727,3,9,51,1,,
8728,3,10,30,0,,
8729,3,8,21,0,2,1
8730,3,8,38,1,,
8731,3,12,65,1,,
8732,3,13,50,1,2,0
8733,3,11,78,1,,
8734,3,9,63,0,2,1
8735,3,5,78,1,4,1
8736,3,8,31,0,0,0
8737,3,11,23,0,2,1
8738,3,8,62,1,2,0
8739,3,11,32,1,1,1
8741,3,9,38,0,,
8742,3,12,76,1,1,1
8743,3,9,42,1,,
8744,3,12,44,1,2,0
8745,3,11,43,0,2,1
8746,3,12,57,0,1,0
8747,3,10,61,1,0,0
8751,3,12,48,1,,
8752,3,12,61,1,1,2
8753,3,10,53,1,1,1
8754,3,5,64,1,,
8755,3,12,61,1,,
8756,3,11,53,1,,
8758,3,7,33,0,,
8759,3,10,62,1,,
8761,3,8,61,1,2,0
8762,3,9,32,0,2,0
8763,3,12,29,0,,
8764,3,11,72,0,0,0
8765,3,9,44,0,4,0
8766,3,10,42,0,,
8767,3,12,52,1,,
8768,3,11,50,1,1,2
8769,3,10,43,0,,
8771,3,11,61,0,,
8772,3,9,53,1,3,0
8773,3,10,43,1,,1
8775,3,6,63,1,2,0
8778,3,11,39,1,,
8779,3,10,46,1,,
8780,3,7,42,0,4,1
8781,3,12,21,1,0,0
8783,3,12,63,0,,
8784,3,12,34,1,,
8786,3,12,35,1,,
8787,3,10,22,1,0,0
8788,3,4,62,1,4,3
8789,3,9,63,0,,
8790,3,8,40,0,1,1
8792,3,7,43,0,2,2
8793,3,6,53,0,,
8795,3,10,32,0,,
8796,3,8,28,0,,
8797,3,13,33,0,1,3
8798,3,7,71,1,,
8799,3,4,75,0,,
8800,3,11,53,1,,
8801,3,4,66,0,,
8802,3,12,35,0,1,2
8803,3,8,46,0,2,1
8805,3,12,34,1,2,0
8806,3,11,49,0,,
8807,3,10,45,0,0,0
8809,3,13,40,1,3,0
8810,3,7,52,1,,
8811,3,9,32,0,1,0
8813,3,10,34,0,1,0
8814,3,7,79,0,1,1
8818,3,10,29,1,,
8819,3,5,41,1,,
8820,3,8,44,1,2,0
8821,3,6,28,0,,
8822,3,7,47,0,3,2
8823,3,10,28,0,2,3
8824,3,13,47,1,0,1
8825,3,9,27,0,2,0
8826,3,9,47,0,,
8827,3,9,57,0,,
8828,3,8,34,1,3,1
8829,3,9,55,1,,
8830,3,11,37,0,0,0
8832,3,9,58,0,,
8834,3,9,81,0,,
8835,3,11,44,0,1,0
8836,3,10,46,0,3,0
8837,3,8,46,0,,
8838,3,11,36,0,1,0
8839,3,10,66,1,,
8840,3,11,53,1,0,0
