birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,sleeprating,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,phone_unlocks,caffeine,caffeine_type,procrastination,multitasking
dec,172,other,dog,"nothing, everything, ok",2020,dapr1,Elsewhere,,,,,,,,,,,,,,,,
mar,172.72,hazel,dog,,2020,dapr1,UK,,,,,,,,,,,,,,,,
mar,172.72,hazel,dog,"American, Cheerful, Energetic",2020,dapr1,UK,,,,,,,,,,,,,,,,
may,173,grey,dog,"stubborn, open, talkative",2020,dapr1,,,,,,,,,,,,,,,,,
mar,173.5,green,dog,"Friendly, patient, helpful",2020,dapr1,Elsewhere,,,,,,,,,,,,,,,,
jul,174,brown,dog,"shy, dorky, affectiote",2020,dapr1,UK,,,,,,,,,,,,,,,,
jan,174,brown,dog,"Empathetic, perfectionistic, inquisitive",2020,dapr1,,,,,,,,,,,,,,,,,
jan,174,blue,dog,"ambitious, energetic, critical",2020,dapr1,UK,,,,,,,,,,,,,,,,
dec,174,brown,dog,"Determined,respectful,sensitive",2020,dapr1,,,,,,,,,,,,,,,,,
jul,175,blue,dog,"Confident, funny, tall",2020,dapr1,,,,,,,,,,,,,,,,,
may,175,brown,dog,,2020,dapr1,UK,,,,,,,,,,,,,,,,
feb,176,green,dog,,2020,dapr1,UK,,,,,,,,,,,,,,,,
dec,176.8,brown,dog,"Realist, Organised, Caring",2020,dapr1,UK,,,,,,,,,,,,,,,,
dec,177,blue,dog,"Geeky, sporty, empathetic",2020,dapr1,UK,,,,,,,,,,,,,,,,
oct,177.8,green,dog,"caring,ambitious,daydreamer",2020,dapr1,,,,,,,,,,,,,,,,,
jun,178,brown,dog,"curious, ambitious, organised",2020,dapr1,,,,,,,,,,,,,,,,,
may,179,hazel,dog,,2020,dapr1,UK,,,,,,,,,,,,,,,,
dec,180,blue,dog,An Introverted Extrovert,2020,dapr1,UK,,,,,,,,,,,,,,,,
may,180,brown,dog,"Determined, Ambitious, Out-going",2020,dapr1,Elsewhere,,,,,,,,,,,,,,,,
oct,180,green,dog,Bubbly friendly adventurous,2020,dapr1,,,,,,,,,,,,,,,,,
may,180,brown,dog,"calm, open, lazy",2020,dapr1,UK,,,,,,,,,,,,,,,,
dec,180,blue,dog,,2020,dapr1,UK,,,,,,,,,,,,,,,,
sep,181,blue,dog,"American, unpredictable, dilligent",2020,dapr1,,,,,,,,,,,,,,,,,
jul,188,hazel,dog,"sociable, confident, hard-working",2020,dapr1,UK,,,,,,,,,,,,,,,,
mar,,brown,dog,"Determined, kind, observant",2020,dapr1,,,,,,,,,,,,,,,,,
nov,149,hazel,cat,"Excited, anxious, passiote",2021,usmr,,female,80,10,Evening person,,33,44,44,22,39,28,,,,,
dec,153,hazel,cat,"reserved, nerdy, approachable",2021,usmr,,female,40,40,Evening person,,17,32,28,15,22,15,,,,,
sep,155,green,cat,"curious, sociable, diplomatic",2021,usmr,,,154,95,Morning person,,26,41,43,26,25,26,,,,,
jun,158,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
jan,158,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
jun,160,brown,cat,diligent smart optimistic,2021,usmr,,,,,,,,,,,,,,,,,
jun,160,brown,cat,"low-key, funny, nervous",2021,usmr,,,,,,,,,,,,,,,,,
nov,160,brown,cat,agreeable female sociophobic,2021,usmr,,female,68,25,Evening person,,23,40,34,25,39,19,,,,,
nov,162,hazel,cat,"Motivated, passiote, patient",2021,usmr,,female,73,25,Evening person,,37,41,26,22,43,24,,,,,
oct,162.56,hazel,cat,Ambitious Fun Friendly,2021,usmr,,,,,,,,,,,,,,,,,
may,163,green,cat,"funny, driven, curious",2021,usmr,,,,,,,,,,,,,,,,,
dec,163,green,cat,,2021,usmr,,,,,,,,,,,,,,,,,
mar,164,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
mar,164,blue,cat,"sarcastic, indecisive, kind",2021,usmr,,female,100,85,Evening person,,26,47,37,27,31,27,,,,,
nov,165,brown,cat,"colourful, linguist, overthinker",2021,usmr,,male,85,90,Evening person,,21,44,34,32,39,24,,,,,
nov,165,brown,cat,"optimistic, hard-working, dedicated",2021,usmr,,female,50,60,Morning person,,25,41,43,30,31,28,,,,,
may,165,,cat,"Likeable, friendly, creative",2021,usmr,,female,80,20,Morning person,,24,41,28,39,29,20,,,,,
oct,168,brown,cat,lazy,2021,usmr,,,,,,,,,,,,,,,,,
apr,168,other,cat,Night Owl Glasses,2021,usmr,,female,90,60,Morning person,,33,39,29,20,42,21,,,,,
jun,168,brown,cat,I don't know,2021,usmr,,,,,,,,,,,,,,,,,
oct,169,brown,cat,"outgoing, ambitious, compassiote",2021,usmr,,,,,,,,,,,,,,,,,
aug,170,green,cat,"Independent, Resourceful, Shy",2021,usmr,,female,50,90,Evening person,,40,48,35,16,34,18,,,,,
sep,170,hazel,cat,"creative, optimistic, sociable",2021,usmr,,,,,,,,,,,,,,,,,
jun,170,brown,cat,"straight-forward, persistence, interesting",2021,usmr,,female,75,75,Evening person,,34,47,42,22,39,19,,,,,
mar,171,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
sep,172,brown,cat,"Chaotic, happy, busy",2021,usmr,,non-biry,100,70,Evening person,,36,44,26,29,46,24,,,,,
oct,173,brown,cat,anxious creative haunted,2021,usmr,,,,,,,,,,,,,,,,,
oct,175,green,cat,"Creative, introspective, dedicated",2021,usmr,,female,60,2,Evening person,,27,39,33,31,49,22,,,,,
feb,175,hazel,cat,"quiet, thoughtful, anxious",2021,usmr,,female,63,10,Evening person,,20,37,34,18,36,26,,,,,
nov,178,green,cat,,2021,usmr,,male,87,67,Evening person,,24,42,45,33,37,26,,,,,
jan,180,blue,cat,,2021,usmr,,male,75,20,Evening person,,29,30,38,34,33,29,,,,,
nov,183,brown,cat,"hiking, photographing, open-minded",2021,usmr,,male,30,5,Evening person,,39,45,25,45,40,20,,,,,
sep,190,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
jun,191,brown,cat,,2021,usmr,,male,65,15,Evening person,,20,44,36,18,41,13,,,,,
oct,,brown,cat,,2021,usmr,,,,,,,,,,,,,,,,,
mar,152,blue,dog,"creative, kind, fun",2021,usmr,,female,75,85,Morning person,,22,48,34,26,37,24,,,,,
apr,153,brown,dog,"kind, funny, smart",2021,usmr,,female,70,60,Evening person,,35,42,30,32,32,18,,,,,
oct,154.94,green,dog,"ambitious, empathetic, passiote",2021,usmr,,female,50,20,Evening person,,32,42,35,18,37,23,,,,,
feb,157,brown,dog,"Funny, Smart, Witty",2021,usmr,,,,,,,,,,,,,,,,,
sep,158,brown,dog,"quiet, easy-going",2021,usmr,,female,78,50,Evening person,,19,43,33,22,42,24,,,,,
may,160,brown,dog,excited outgoing friendly,2021,usmr,,,,,,,,,,,,,,,,,
nov,160,hazel,dog,,2021,usmr,,female,10,100,Morning person,,14,39,39,25,37,23,,,,,
feb,160,brown,dog,"strong, funny, smart",2021,usmr,,female,90,90,Morning person,,25,37,31,31,28,19,,,,,
aug,160,other,dog,"Enthusiastic, passiote, intelligent",2021,usmr,,female,80,80,Evening person,,41,34,32,31,36,24,,,,,
oct,160,brown,dog,like a sun,2021,usmr,,,,,,,,,,,,,,,,,
jun,162.56,brown,dog,Often googling stuff,2021,usmr,,female,50,50,Evening person,,25,31,32,20,34,15,,,,,
nov,163,grey,dog,,2021,usmr,,,,,,,,,,,,,,,,,
jan,163,brown,dog,,2021,usmr,,female,60,30,Evening person,,33,39,33,26,34,26,,,,,
sep,164,brown,dog,"warm,open-minded,perseverant",2021,usmr,,female,5,0,Evening person,,21,44,40,16,50,14,,,,,
sep,164,brown,dog,"Procrastitor, Tired, Determined",2021,usmr,,,,,,,,,,,,,,,,,
jun,165.09,blue,dog,"Chatty, social, caring",2021,usmr,,female,88,0,Evening person,,30,47,29,25,39,24,,,,,
jan,165.1,brown,dog,,2021,usmr,,female,50,50,Evening person,,24,43,38,26,31,27,,,,,
feb,166,green,dog,"Empathetic, motivated, disorganised",2021,usmr,,female,70,10,Evening person,,37,44,22,27,42,21,,,,,
apr,167,brown,dog,Awkward Sleepy Kind,2021,usmr,,,,,,,,,,,,,,,,,
feb,167,other,dog,a sleepy student,2021,usmr,,female,20,90,Evening person,,28,26,39,19,31,17,,,,,
apr,167.64,brown,dog,"curious, mountain-lover, Iraqi",2021,usmr,,,,,,,,,,,,,,,,,
mar,168,blue,dog,"curious, thoughtful, funny(ish)",2021,usmr,,,,,,,,,,,,,,,,,
oct,168,brown,dog,"nerdy, artsy, adventurous",2021,usmr,,,,,,,,,,,,,,,,,
may,168,grey,dog,"Student, Psychologist, Tourist",2021,usmr,,female,85,50,Evening person,,29,37,35,38,32,21,,,,,
jun,169,brown,dog,"sensitive, kind, ordiry",2021,usmr,,female,90,0,Evening person,,37,41,32,30,29,18,,,,,
may,170,blue,dog,,2021,usmr,,female,50,5,Evening person,,26,46,42,31,39,25,,,,,
nov,170,blue,dog,"kind, generous, crazy",2021,usmr,,non-biry,100,0,Morning person,,41,49,47,17,50,25,,,,,
sep,170,brown,dog,,2021,usmr,,,,,,,,,,,,,,,,,
may,170,hazel,dog,"sociable, funny, clever",2021,usmr,,,,,,,,,,,,,,,,,
feb,170.7,blue,dog,"Caring, Honest, Loyal",2021,usmr,,female,65,54,Evening person,,26,49,36,23,41,26,,,,,
dec,171,green,dog,,2021,usmr,,female,65,60,Evening person,,34,48,37,23,31,23,,,,,
jun,173,brown,dog,timid positive listenting,2021,usmr,,,,,,,,,,,,,,,,,
aug,173,brown,dog,"curious, stupid, happy",2021,usmr,,female,50,65,Morning person,,41,45,26,23,37,16,,,,,
jul,174,brown,dog,"resilient, lively, confident",2021,usmr,,male,70,80,Morning person,,31,43,36,30,32,21,,,,,
apr,175,hazel,dog,,2021,usmr,,,,,,,,,,,,,,,,,
jan,175,brown,dog,I am excited,2021,usmr,,female,90,24,Evening person,,35,47,45,32,46,27,,,,,
dec,175,brown,dog,,2021,usmr,,female,80,50,Morning person,,40,45,35,36,30,21,,,,,
dec,175.5,green,dog,"spontaneous, curious, loving",2021,usmr,,,,,,,,,,,,,,,,,
oct,177,brown,dog,kind postive trustworthy,2021,usmr,,male,10,60,Evening person,,23,41,33,23,39,14,,,,,
nov,178,brown,dog,"Hard-working, loyal, determined",2021,usmr,,male,60,50,Evening person,,25,37,28,27,34,23,,,,,
may,185,blue,dog,curious deliberate motivated,2021,usmr,,male,100,0,Morning person,,15,29,37,17,46,16,,,,,
may,195,grey,dog,Tall Lanky Pole,2021,usmr,,male,70,10,Morning person,,29,37,39,33,42,23,,,,,
dec,180,brown,dog,agreeable; conscientious; excitable,2022,usmr,,,,10,Morning person,73,30,42,33,30,33,26,,,,,
jul,162,brown,dog,"Creative, Positive, Distractible",2022,usmr,,,,65,Evening person,,34,39,36,31,33,24,,,,,
nov,175,brown,cat,"imaginative, analytical and introverted",2022,usmr,,,,20,Evening person,75,22,44,29,27,37,22,,,,,
nov,175,brown,cat,inquisitive; introverted; creative,2022,usmr,,,,50,Morning person,75,23,40,35,20,42,22,,,,,
jul,168.5,brown,dog,"Persistent, youthful, melancholic",2022,usmr,,,,44,Morning person,66,16,36,31,27,40,21,,,,,
may,157.48,brown,dog,"flexible, adventurous, organized",2022,usmr,,,,80,Evening person,80,34,44,42,37,36,27,,,,,
may,170,brown,cat,"Passionate, curious, creative",2022,usmr,,,,60,Morning person,60,32,43,32,24,40,26,,,,,
aug,168,blue,dog,"Non-judgemental, introverted, stressed",2022,usmr,,,,50,Morning person,60,32,35,43,16,28,24,,,,,
jul,178,blue,cat,"Determined, organised, honest",2022,usmr,,,,60,Morning person,90,31,42,42,20,46,26,,,,,
jun,166,brown,cat,"Happy, curious, mediterranean",2022,usmr,,,,80,Evening person,85,31,43,39,36,34,23,,,,,
jul,189,green,dog,"energetic, thinker, excited",2022,usmr,,,,90,Evening person,78,40,44,33,27,40,28,,,,,
apr,180,brown,dog,"Smart, Honest, Lazy",2022,usmr,,,,20,Evening person,60,18,44,36,25,34,18,,,,,
jul,168,brown,dog,"Rational, assertive, introverted",2022,usmr,,,,60,Evening person,40,21,31,41,24,49,23,,,,,
jul,154,brown,cat,"Stubborn, opinionated, eccentric",2022,usmr,,,,70,Morning person,40,24,30,27,13,37,18,,,,,
aug,159,brown,cat,sleepy all day,2022,usmr,,,,30,Evening person,90,27,39,26,27,26,20,,,,,
nov,177,blue,cat,"Introspective, anxious, existentialist",2022,usmr,,,,4,Morning person,79,19,41,32,34,42,23,,,,,
jun,161,brown,dog,"Funny, Brave, Kind",2022,usmr,,,,80,Morning person,87,30,44,38,27,40,27,,,,,
jan,177,blue,dog,I am Josiah!,2022,usmr,,,,15,Morning person,50,20,38,39,31,39,22,,,,,
jun,188,blue,dog,Open; Driven; Contemplative,2022,usmr,,,,70,Morning person,75,33,36,37,38,46,26,,,,,
sep,170,grey,cat,"Funny, curious, moody",2022,usmr,,,,65,Morning person,25,32,34,32,20,44,22,,,,,
sep,152.7,blue,cat,"ambicious, , brave, curious",2022,usmr,,,,0,Evening person,68,24,29,46,14,47,30,,,,,
may,170.18,blue,cat,"Indecisive, open, and curious.",2022,usmr,,,,75,Evening person,50,26,43,37,23,41,23,,,,,
aug,166,brown,cat,curious passionate energetic,2022,usmr,,,,10,Evening person,80,40,43,38,21,45,22,,,,,
dec,161,other,cat,Motivated  warm collaborated,2022,usmr,,,,85,Evening person,90,37,40,31,42,35,20,,,,,
nov,168,hazel,cat,"Conscientious, Disagreeable, Introverted",2022,usmr,,,,50,Evening person,90,20,17,42,47,50,30,,,,,
nov,153,blue,cat,"curious, sensitive, driven",2022,usmr,,,,75,Morning person,60,29,43,30,22,38,19,,,,,
may,168,brown,cat,"ideological, curious, empathetic",2022,usmr,,,,30,Evening person,45,35,44,41,18,39,19,,,,,
jun,163.8,hazel,dog,"Emotional, stubborn, observant",2022,usmr,,,,15,Evening person,70,37,32,22,18,35,25,,,,,
apr,181,brown,dog,Never give up,2022,usmr,,,,40,Evening person,70,34,44,35,34,39,26,,,,,
may,158,brown,cat,"adventurous, shy, independent",2022,usmr,,,,90,Morning person,78,19,40,39,20,35,22,,,,,
oct,165,brown,dog,"bubbly, amiable, thoughtful",2022,usmr,,,,80,Morning person,20,40,46,31,10,44,20,,,,,
oct,178,brown,dog,"Happy, crazy, curious",2022,usmr,,,,60,Morning person,90,34,44,29,38,31,25,,,,,
aug,175,blue,cat,"Cunning, Caring, Impulsive",2022,usmr,,,,85,Evening person,70,40,41,26,27,46,21,,,,,
mar,157.4,brown,dog,Independent. Resourceful. Creative.,2022,usmr,,,,85,Morning person,75,30,41,40,27,47,23,,,,,
dec,168.5,brown,dog,"Introverted, nice, interesting",2022,usmr,,,,90,Evening person,85,18,41,37,28,26,15,,,,,
aug,160,other,dog,"idealist, procrastinator, bookworm",2022,usmr,,,,70,Morning person,50,29,43,36,26,34,20,,,,,
oct,158,brown,dog,"Kind, silent, and calm.",2022,usmr,,,,89,Evening person,99,12,35,42,22,28,18,,,,,
mar,,brown,cat,,2022,usmr,,,,20,Morning person,90,27,33,33,39,26,23,,,,,
apr,164,brown,dog,positive development  free,2022,usmr,,,,90,Evening person,85,33,39,31,35,30,25,,,,,
apr,182,green,dog,"kind, empathetic, sensitive",2022,usmr,,,,50,Morning person,75,26,43,35,25,30,23,,,,,
jun,157,hazel,dog,"fun, overthinker, movie junkie",2022,usmr,,,,50,Evening person,70,40,45,39,32,40,25,,,,,
jun,156,brown,cat,"Honest, Passionate, Organised",2022,usmr,,,,90,Morning person,80,36,45,39,28,37,24,,,,,
sep,157,brown,dog,"Intelligent, witty, caring",2022,usmr,,,,88,Evening person,78,40,47,47,39,45,21,,,,,
jan,172,blue,dog,"Athletic, chatty, easygoing",2022,usmr,,,,60,Evening person,89,43,40,40,28,34,21,,,,,
dec,177.8,green,dog,"curious, kind, open-minded",2022,usmr,,,,70,Morning person,80,38,46,35,38,36,23,,,,,
dec,154,brown,cat,"open-minded, myopic, musical",2022,usmr,,,,70,Evening person,15,28,30,36,41,36,24,,,,,
jul,162,brown,dog,"quiet, silly, curious",2022,usmr,,,,8,Morning person,7,26,44,34,23,45,26,,,,,
sep,175.26,other,dog,"Caring, Enthusiastic, Respectful",2022,usmr,,,,50,Evening person,70,31,41,39,38,32,24,,,,,
apr,162.56,brown,cat,"creative, optimistic, curious",2022,usmr,,,,0,Morning person,90,36,43,31,27,38,19,,,,,
may,170,hazel,dog,Trying my best,2022,usmr,,,,90,Morning person,60,17,32,29,25,26,16,,,,,
mar,178,blue,dog,"Ambitious, Weird, Loyal",2022,usmr,,,,70,Evening person,50,30,36,37,24,40,24,,,,,
jul,167,green,cat,"Resillient, intuitive, open-minded",2022,usmr,,,,25,Evening person,75,37,44,35,37,36,26,,,,,
apr,170,blue,dog,"open-minded, excitable, sociable",2022,usmr,,,,20,Evening person,70,39,42,37,31,36,24,,,,,
mar,157,hazel,dog,"Sweet, curious, adaptable.",2022,usmr,,,,100,Evening person,90,23,47,45,33,42,27,,,,,
feb,162.4,brown,dog,"introvert, earnest，dependent",2022,usmr,,,,50,Evening person,66,15,32,27,29,35,23,,,,,
aug,157,green,dog,Fun smiley friendly,2022,usmr,,,,100,Morning person,50,46,39,45,27,38,26,,,,,
dec,164,brown,dog,"Honest, Friendly, Sensitive",2022,usmr,,,,70,Morning person,70,29,45,40,26,32,21,,,,,
may,162.5,brown,dog,"anxious, curious, kind",2022,usmr,,,,100,Evening person,65,26,34,29,25,29,23,,,,,
jun,180.3,brown,cat,"tired, funny, tall",2022,usmr,,,,80,Evening person,65,41,38,27,40,41,23,,,,,
jan,160,green,cat,"kind, interested, anxious",2022,usmr,,,,15,Evening person,60,26,44,34,19,40,26,,,,,
nov,157,brown,cat,"sleepy, perfectionistic, clumsy",2022,usmr,,,,80,Evening person,40,13,38,37,17,34,20,,,,,
mar,177,brown,cat,"patient, friendly, good-listener",2022,usmr,,,,70,Morning person,85,28,33,38,40,29,23,,,,,
may,182,brown,dog,"confident, smart, outgoing",2022,usmr,,,,80,Evening person,90,30,39,37,26,41,18,,,,,
may,164,brown,cat,authentic slow observant,2022,usmr,,,,90,Evening person,75,36,46,26,35,50,23,,,,,
may,178,green,cat,,2022,usmr,,,,99,Morning person,3,50,22,14,18,18,6,,,,,
jun,173,hazel,dog,"gameness, foodie, chitchat",2022,usmr,,,,60,Evening person,75,36,33,20,31,41,16,,,,,
jul,173.4,brown,dog,extrovert helpful emotional,2022,usmr,,,,70,Evening person,45,32,34,30,32,43,20,,,,,
jul,172,brown,dog,"Adventurous, energetic, positive",2022,usmr,,,,50,Evening person,73,39,46,27,45,39,30,,,,,
jun,174,brown,cat,,2022,usmr,,,,65,Evening person,75,34,40,36,31,37,21,,,,,
sep,152.7,blue,cat,"complicated, smart, witty",2022,usmr,,,,17,Evening person,57,22,28,44,10,50,30,,,,,
oct,164,brown,dog,"honest, introvert, curious",2022,usmr,,,,100,Morning person,90,26,38,44,41,42,25,,,,,
jul,176,blue,dog,"quiet, special, coffee-lover",2022,usmr,,,,68,Morning person,43,30,43,42,26,42,23,,,,,
jul,178,blue,cat,"Honest, Determined, Reliable",2022,usmr,,,,50,Morning person,90,33,41,42,15,47,26,,,,,
mar,177,brown,cat,,2022,usmr,,,,78,Morning person,85,27,35,38,37,27,19,,,,,
jan,172,blue,dog,,2022,usmr,,,,60,Evening person,25,43,40,40,10,34,17,,,,,
nov,153,blue,cat,,2022,usmr,,,,75,Morning person,10,29,43,30,20,38,16,,,,,
jun,173,hazel,dog,,2022,usmr,,,,60,Evening person,30,36,33,20,13,41,14,,,,,
apr,174,blue,dog,,2022,usmr,,,,20,Evening person,25,39,42,37,22,36,14,,,,,
oct,155,brown,cat,"Random, forgetful, honest",2022,usmr,,,,100,Evening person,79,28,40,33,13,25,18,,,,,
apr,181,hazel,cat,"awkward, adventurous, curious",2022,usmr,,,,60,Morning person,90,32,38,28,20,36,25,,,,,
jan,176,blue,dog,blah blah blah,2023,usmr,,,,,Morning person,40,,,,,,,90,4,coffee,35,60
apr,168,brown,cat,outgoing confident brave,2023,usmr,,,,,Morning person,85,,,,,,,26,2,coffee,80,70
mar,164,brown,dog,"Reliable, optimistic, and determined",2023,usmr,,,,,Morning person,80,,,,,,,133,2,coffee,60,70
aug,165,hazel,cat,"curious, compassionate, witty",2023,usmr,,,,,Evening person,75,,,,,,,,1,coffee,90,75
oct,172,blue,dog,"Organised, creative, hydrated",2023,usmr,,,,,Evening person,82,,,,,,,212,2.5,coffee,87,36
mar,160,blue,cat,"AuDHD, introverted, creative",2023,usmr,,,,,Evening person,20,,,,,,,,0.5,tea,10,75
aug,162,brown,dog,"Organised, Helpful, Thoughful",2023,usmr,,,,,Evening person,35,,,,,,,130,2,energy drinks,40,70
apr,174,other,dog,"curious, conscientious, miraculous",2023,usmr,,,,,Evening person,55,,,,,,,25,0.1,soft drinks (e.g. cola),70,70
oct,175,hazel,cat,,2023,usmr,,,,,Evening person,25,,,,,,,,2,coffee,,60
jul,160,blue,dog,Short Shy Funny,2023,usmr,,,,,Evening person,90,,,,,,,,1,coffee,50,40
nov,150,amber,cat,"Spontaneous, Loving, Introspective",2023,usmr,,,,,Morning person,85,,,,,,,,0,tea,90,90
may,160,blue,cat,outgoing imaginative empathetic,2023,usmr,,,,,Evening person,25,,,,,,,,2,tea,30,70
jun,152.4,green,dog,"funny, outgoing, bubbly",2023,usmr,,,,,Morning person,90,,,,,,,145,0,i don't drink caffeine,90,70
sep,173,brown,,"creative, emotional, humorous",2023,usmr,,,,,Morning person,90,,,,,,,50,0,i don't drink caffeine,30,60
sep,162,brown,cat,kind anxious responsible,2023,usmr,,,,,Morning person,80,,,,,,,50,3,coffee,60,60
jan,182,brown,cat,,2023,usmr,,,,,Morning person,43,,,,,,,33,3,coffee,47,39
jun,168,green,cat,"reliable, relaxed, cheerful",2023,usmr,,,,,Morning person,70,,,,,,,69,1,coffee,20,70
jul,162,brown,dog,autistic introverted passionate,2023,usmr,,,,,Morning person,85,,,,,,,84,1.5,coffee,78,0
jan,162,hazel,cat,"Ambitious, Creative, Analytical",2023,usmr,,,,,Evening person,40,,,,,,,,4,tea,90,97
oct,160,brown,cat,kind curious flexible,2023,usmr,,,,,Evening person,80,,,,,,,100,0,i don't drink caffeine,20,20
apr,163,brown,dog,"Casual, friendly, helpful",2023,usmr,,,,,Evening person,70,,,,,,,0,1,coffee,5,20
feb,158,brown,dog,"Loyal, caring and chill",2023,usmr,,,,,Evening person,70,,,,,,,43,2,coffee,70,80
dec,165,brown,dog,dog person / shy/ kind,2023,usmr,,,,,Evening person,50,,,,,,,60,1,soft drinks (e.g. cola),70,70
jan,177,brown,cat,funny outgoing peaceful,2023,usmr,,,,,Morning person,59,,,,,,,34,2,coffee,12,21
aug,170,other,cat,,2023,usmr,,,,,Morning person,70,,,,,,,,1,tea,60,60
jul,167,brown,dog,"procrastination, Virgo, social phobia",2023,usmr,,,,,Evening person,90,,,,,,,50,1,coffee,10,35
jan,172,blue,dog,"Friendly, Positive, Adventurous",2023,usmr,,,,,Evening person,65,,,,,,,40,1,coffee,30,70
apr,172,brown,cat,"Funny, Kind Sarcastic",2023,usmr,,,,,Morning person,80,,,,,,,,1,energy drinks,75,85
jan,167,blue,cat,"Hardworking, passionate, brave",2023,usmr,,,,,Morning person,90,,,,,,,,0,i don't drink caffeine,95,80
may,160,brown,cat,ambitious practical eager,2023,usmr,,,,,Evening person,60,,,,,,,,1,coffee,20,85
nov,162,green,dog,1) Resilient 2) Creative 3) Curious,2023,usmr,,,,,Evening person,65,,,,,,,123,2,tea,60,55
sep,162,other,cat,"easy-going, kind-hearted, lovely",2023,usmr,,,,,Evening person,80,,,,,,,24,1,soft drinks (e.g. cola),95,20
mar,160,brown,dog,"Kind, Loyal, Introverted",2023,usmr,,,,,Morning person,7,,,,,,,89,1,coffee,90,65
sep,167.6,blue,dog,"Ambitious, friendly, enthusiastic",2023,usmr,,,,,Evening person,50,,,,,,,,2,coffee,75,50
oct,168,brown,dog,"introverted, disengaged, curious",2023,usmr,,,,,Evening person,85,,,,,,,128,0,i don't drink caffeine,60,65
jun,162,brown,,"Easy-going, good-tempered, introvert",2023,usmr,,,,,Evening person,80,,,,,,,30,0.5,coffee,80,60
jul,172,green,dog,,2023,usmr,,,,,Evening person,55,,,,,,,181,3,coffee,10,50
mar,158,blue,cat,"Cheerful, emotional, inquisitive.",2023,usmr,,,,,Morning person,65,,,,,,,74,2,coffee,70,40
sep,164,brown,dog,Ambitious Stubborn Kind,2023,usmr,,,,,Morning person,80,,,,,,,,1,coffee,75,80
jan,180.34,blue,dog,,2023,usmr,,,,,Evening person,20,,,,,,,,2,coffee,50,55
jul,172,blue,cat,,2023,usmr,,,,,Morning person,0,,,,,,,108,2,coffee,40,53
dec,158,blue,cat,reserved empathetic meticulous,2023,usmr,,,,,Evening person,45,,,,,,,32,2,soft drinks (e.g. cola),85,50
dec,168,brown,cat,,2023,usmr,,,,,Evening person,70,,,,,,,40,1,soft drinks (e.g. cola),20,50
may,163,blue,cat,"Outdoorsy, Ambitious, Sociable",2023,usmr,,,,,Evening person,43,,,,,,,,1,coffee,50,89
feb,175,other,cat,yes and no,2023,usmr,,,,,Evening person,50,,,,,,,35,3,soft drinks (e.g. cola),50,50
dec,168,blue,dog,"happy, neurotic and adventurous",2023,usmr,,,,,Morning person,80,,,,,,,,2,coffee,15,70
apr,183,brown,dog,"I, Don't, Know",2023,usmr,,,,,Evening person,80,,,,,,,56,0.3,soft drinks (e.g. cola),40,60
mar,170,brown,cat,"Fun, Kind, Introvert",2023,usmr,,,,,Evening person,70,,,,,,,58,2,coffee,55,60
apr,171,brown,dog,Tough but weak,2023,usmr,,,,,Morning person,90,,,,,,,106,1,coffee,37,57
,,,,,2023,usmr,,,,,,,,,,,,,,,,,
jul,170,brown,cat,general life enjoyer,2023,usmr,,,,,Evening person,70,,,,,,,,1,tea,40,50
mar,168,brown,cat,"crazy, unpredictable, extreme",2023,usmr,,,,,Evening person,80,,,,,,,31,2,tea,50,50
jun,165,brown,dog,"foodie, animal-lover, ADHD",2023,usmr,,,,,Evening person,80,,,,,,,130,0,tea,0,0
oct,159,brown,dog,,2023,usmr,,,,,Morning person,95,,,,,,,,2,tea,65,90
mar,166,brown,cat,shy outgoing friendly,2023,usmr,,,,,Evening person,80,,,,,,,10,0,soft drinks (e.g. cola),,70
jan,164,green,dog,"enthusiastic, curios, contemplative",2023,usmr,,,,,Evening person,50,,,,,,,,1,coffee,70,80
mar,163,brown,cat,"compassionate, creative, kind",2023,usmr,,,,,Evening person,40,,,,,,,44,2,coffee,85,20
dec,,brown,dog,"energetic, young, enthusiastic",2023,usmr,,,,,Evening person,51,,,,,,,177,0,i don't drink caffeine,87,90
nov,160,brown,dog,,2023,usmr,,,,,Evening person,45,,,,,,,20,1,coffee,2,50
jul,172,green,cat,Chaotic disciplined coffee,2023,usmr,,,,,,76,,,,,,,75,3,coffee,82,2
feb,153,brown,dog,"autistic, chaotic, neurotic",2023,usmr,,,,,Evening person,0,,,,,,,53,2,coffee,10,40
mar,158,brown,cat,mean chaotic OCD,2023,usmr,,,,,Evening person,40,,,,,,,10,3,coffee,80,70
may,177.8,green,cat,,2023,usmr,,,,,Morning person,98,,,,,,,5,9,tea,5,99
aug,178,hazel,dog,"anxious, careful, smart",2023,usmr,,,,,Evening person,80,,,,,,,,2,coffee,75,90
mar,164,other,dog,"Organized, introvert, thinker",2023,usmr,,,,,Evening person,80,,,,,,,,1,coffee,80,75
may,172,blue,cat,,2023,usmr,,,,,Evening person,50,,,,,,,,1,energy drinks,50,80
