"attitude1"	"attitude2"	"attitude3"	"attitude4"	"SN1"	"SN2"	"SN3"	"SN4"	"PBC1"	"PBC2"	"PBC3"	"PBC4"	"int1"	"int2"	"int3"	"int4"	"int5"	"beh1"	"beh2"	"beh3"	"beh4"
"299"	1	3	4	5	6	6	4	5	5	5	5	7	7	5	6	6	6	7	6	6	1
"300"	4	4	6	5	5	1	5	4	4	5	4	3	1	2	2	2	3	2	5	3	5
"301"	2	3	4	5	5	5	4	5	6	5	6	5	7	4	5	6	5	4	5	7	4
"302"	3	5	3	4	4	5	5	3	5	5	4	7	6	4	5	5	5	3	6	4	3
"303"	5	5	5	6	3	4	5	3	5	5	4	6	5	5	4	3	6	5	4	5	4
"304"	4	4	2	2	3	2	4	4	4	5	6	3	2	3	3	3	3	3	4	5	4
"305"	5	3	5	4	5	5	5	6	5	6	6	5	5	4	5	4	6	5	6	5	4
"306"	4	3	2	4	3	3	4	4	4	3	3	4	4	6	6	6	5	4	3	5	3
"307"	3	3	4	4	4	4	3	4	4	4	2	4	5	6	4	6	5	3	5	5	2
"308"	4	5	4	4	2	4	3	2	3	4	3	5	4	4	3	2	4	2	6	4	5
"309"	5	6	4	5	3	2	3	2	2	4	3	3	4	4	3	4	4	4	6	5	2
"310"	6	6	5	4	4	6	4	3	6	5	5	7	4	4	5	4	6	3	5	4	3
"311"	4	4	6	2	5	4	4	4	2	4	4	3	5	5	5	5	5	4	4	6	3
"312"	3	5	4	3	3	5	4	5	3	4	5	4	4	5	4	4	5	6	4	4	4
"313"	2	5	4	3	2	2	3	2	4	4	3	4	3	3	4	3	4	4	4	4	3
"314"	4	5	4	5	5	5	3	5	3	3	4	4	5	3	3	3	5	2	2	4	5
"315"	4	5	3	5	5	5	4	4	5	5	4	6	6	4	6	3	5	4	4	5	3
"316"	5	5	6	5	3	3	4	5	3	5	4	5	5	6	5	4	5	4	4	4	2
"317"	6	5	3	4	3	5	4	4	4	5	4	6	5	5	6	5	5	4	6	6	3
"318"	5	5	1	3	4	3	5	4	4	3	5	4	3	5	5	4	4	4	4	5	3
"319"	5	5	5	2	3	5	4	2	3	1	2	1	2	3	4	3	4	3	3	1	3
"320"	4	5	5	4	5	1	4	3	5	5	3	6	4	3	4	4	6	4	3	5	3
"321"	4	4	2	4	4	3	3	4	3	4	3	4	5	3	4	3	4	4	3	3	4
"322"	5	4	3	6	2	2	4	4	3	3	2	5	2	4	2	4	4	4	4	5	5
"323"	4	4	4	4	3	3	4	4	2	4	2	3	5	2	4	3	5	6	3	4	3
"324"	5	5	4	5	5	3	4	3	5	4	5	4	3	4	3	5	4	3	3	3	6
"325"	4	4	3	4	4	5	4	4	4	6	4	3	1	4	1	3	5	4	2	1	5
"326"	5	5	3	3	3	2	4	3	3	4	3	5	5	4	3	5	6	5	5	5	4
"327"	4	6	4	5	3	3	4	4	6	5	4	3	5	5	5	4	6	6	5	5	4
"328"	3	4	4	4	2	4	3	4	5	5	4	5	5	4	3	4	3	3	3	5	3
"329"	4	6	7	6	3	5	5	2	4	4	4	4	4	5	3	5	4	4	5	6	2
"330"	3	5	5	5	5	6	4	4	6	4	4	7	4	4	4	4	6	4	4	3	7
"331"	7	5	5	4	2	3	3	3	4	4	3	4	3	3	3	3	3	2	4	5	4
"332"	4	3	3	4	5	5	5	3	4	5	4	4	4	4	4	5	4	3	6	5	3
"333"	4	1	3	3	3	2	3	2	3	2	4	5	6	5	4	5	4	4	5	5	3
"334"	3	4	4	5	4	4	5	5	5	3	4	3	6	3	6	4	4	5	3	2	4
"335"	5	4	4	5	6	3	4	4	5	5	5	5	3	5	4	4	5	3	5	4	4
"336"	4	5	5	5	6	3	5	4	4	6	6	5	5	4	3	4	5	3	5	4	4
"337"	2	3	5	4	5	5	4	3	3	4	4	5	2	2	2	2	3	1	2	1	6
"338"	2	3	3	4	3	5	3	3	3	2	4	2	2	2	3	3	2	3	3	2	4
"339"	4	3	3	3	6	3	3	2	4	3	3	3	5	5	2	4	5	5	3	5	3
"340"	2	4	2	4	4	3	4	3	5	4	3	5	5	4	5	5	4	2	3	3	4
"341"	4	5	3	5	4	3	4	3	5	3	4	5	4	3	2	5	4	4	3	6	5
"342"	5	3	2	2	3	4	4	4	5	5	4	4	5	3	5	3	6	4	5	4	4
"343"	6	4	1	4	4	3	4	3	3	4	3	2	3	4	4	4	4	5	2	4	5
"344"	3	6	5	4	4	3	4	5	3	2	4	4	2	3	4	2	5	4	3	4	6
"345"	4	4	5	5	5	3	3	3	5	4	5	4	5	2	4	2	4	2	4	5	5
"346"	4	2	2	4	5	2	2	2	3	3	4	4	4	4	5	3	4	3	5	4	5
"347"	4	4	3	6	6	3	5	6	5	6	5	5	7	5	5	5	5	5	4	4	4
"348"	4	3	3	2	4	5	5	3	2	4	4	4	4	3	4	3	4	3	3	3	4
"349"	4	4	4	4	5	5	5	3	4	5	4	2	4	5	6	3	5	4	4	4	5
"350"	4	3	4	2	4	3	4	6	3	3	4	5	2	4	4	3	3	3	4	4	4
"351"	4	3	5	3	3	3	4	3	2	1	4	4	5	2	4	4	4	3	3	4	4
"352"	4	4	3	5	3	4	3	3	3	4	2	3	3	3	3	3	3	6	4	4	4
"353"	5	5	4	3	4	5	6	3	3	3	4	4	4	3	5	4	6	4	3	4	6
"354"	5	5	3	5	4	5	5	5	4	5	3	4	3	4	4	4	4	5	6	6	2
"355"	5	6	5	4	5	3	3	4	4	5	6	6	6	5	6	5	5	6	3	5	4
"356"	4	5	5	6	5	2	5	3	4	4	5	5	2	2	3	3	4	4	5	5	4
"357"	4	5	3	3	4	6	5	4	5	5	5	5	4	4	5	5	5	3	3	5	4
"358"	4	2	1	4	5	2	3	5	3	3	2	5	5	2	3	3	4	5	3	3	4
"359"	6	2	6	5	4	4	4	4	4	5	2	5	5	4	5	4	5	3	3	4	5
"360"	4	3	3	3	4	4	5	4	2	5	4	4	4	3	4	3	5	5	5	5	2
"361"	4	4	4	4	3	3	4	3	3	3	3	3	4	3	4	4	5	4	4	4	5
"362"	4	5	3	4	3	3	3	3	3	3	4	2	2	4	3	3	4	4	4	4	4
"363"	5	5	5	5	5	4	2	3	4	5	3	4	6	4	3	3	5	3	5	5	4
"364"	3	4	4	4	4	4	3	5	4	5	4	5	6	5	5	5	6	3	6	6	4
"365"	3	3	5	4	3	2	3	3	4	5	5	4	3	3	3	2	3	4	4	5	4
"366"	4	3	4	4	3	4	4	3	5	5	4	5	2	3	5	4	4	4	5	6	4
"367"	3	2	3	4	4	4	4	4	4	5	5	6	7	5	4	5	6	2	4	5	3
"368"	3	4	4	4	4	2	5	3	3	3	4	3	6	4	5	5	6	3	5	4	5
"369"	4	3	4	3	3	5	2	3	1	3	3	4	4	4	5	2	5	3	3	2	6
"370"	3	5	4	4	3	3	4	3	4	5	4	5	3	3	4	2	4	2	4	3	5
"371"	2	3	3	4	4	3	3	4	5	4	3	3	3	3	2	5	1	2	4	4	6
"372"	6	5	2	4	3	3	2	3	2	2	1	4	4	3	3	2	4	3	4	2	5
"373"	2	5	4	2	3	4	3	4	3	5	5	3	5	3	4	3	4	4	4	5	4
"374"	7	6	4	5	5	4	5	7	5	5	5	4	5	5	7	5	5	2	6	6	3
"375"	2	2	2	2	1	4	5	4	3	3	2	2	3	2	4	3	4	4	3	4	4
"376"	4	4	3	5	1	3	2	4	3	4	5	4	5	5	5	4	5	4	3	3	4
"377"	4	4	4	5	5	5	5	6	4	5	4	4	4	4	5	4	6	5	5	6	5
"378"	6	2	6	4	5	3	4	5	3	2	4	3	5	3	4	3	3	5	6	5	5
"379"	6	6	7	4	5	6	6	7	6	4	7	5	6	5	5	6	6	5	3	4	4
"380"	5	4	4	3	5	3	3	5	3	4	3	2	4	4	5	4	6	2	1	2	7
"381"	3	3	2	3	3	3	4	5	3	3	2	2	4	3	5	2	4	4	5	5	5
"382"	7	6	6	4	5	2	5	3	4	5	6	4	6	3	5	3	5	5	5	7	3
"383"	3	4	5	5	3	4	4	3	4	3	4	4	2	4	3	5	2	3	7	3	5
"384"	4	5	4	5	4	3	4	4	5	4	6	4	6	3	5	1	3	3	4	4	5
"385"	5	6	5	5	4	5	5	3	5	5	5	4	6	4	5	3	5	2	3	3	6
"386"	2	4	3	4	3	2	4	3	6	4	5	5	4	4	6	5	5	3	4	4	5
"387"	5	6	3	5	5	4	4	4	2	4	4	5	5	5	6	6	6	6	6	7	2
"388"	3	4	4	3	5	4	5	4	3	2	4	4	5	4	5	4	3	3	4	4	6
"389"	5	2	5	1	4	4	4	4	5	4	5	5	3	2	4	2	5	3	5	4	4
"390"	7	7	7	5	5	5	5	6	5	4	4	5	4	5	5	4	4	2	4	3	4
"391"	4	5	4	5	4	5	3	4	2	3	3	3	5	4	6	4	6	3	3	4	5
"392"	4	5	6	4	6	4	4	4	4	4	4	3	4	3	6	4	6	6	4	6	2
"393"	2	4	3	2	2	3	2	2	3	4	4	2	3	4	4	4	4	2	4	5	3
"394"	5	4	7	4	3	4	4	6	4	5	4	4	4	2	4	3	5	4	2	4	5
"395"	4	4	4	5	4	4	3	3	3	3	4	4	5	5	4	4	4	3	5	6	5
"396"	3	3	2	3	6	3	5	6	3	4	3	2	4	4	4	3	4	5	5	3	4
"397"	3	4	3	2	5	4	4	3	3	4	3	2	6	5	5	6	5	5	4	5	5
"398"	6	4	3	4	6	4	5	3	3	5	2	4	4	2	3	1	4	3	4	2	6
"399"	4	6	3	6	2	4	4	3	2	3	2	4	4	5	6	4	6	5	4	6	2
"400"	5	4	4	2	3	2	4	2	4	4	2	3	4	3	4	2	5	1	4	5	5
"401"	1	2	3	3	4	3	4	2	2	3	1	3	2	2	2	3	4	4	4	3	6
"402"	4	5	2	5	4	6	4	4	1	3	4	3	4	3	6	2	7	5	4	5	4
"403"	4	3	1	2	5	4	3	4	5	5	4	4	3	4	4	3	7	5	3	4	5
"404"	5	5	6	4	5	5	6	5	3	3	4	5	5	5	5	6	6	5	6	5	4
"405"	4	4	3	5	5	4	4	4	3	4	2	4	4	4	5	4	5	4	4	3	5
"406"	4	4	4	6	5	4	3	2	1	4	3	4	5	3	4	3	4	3	3	3	5
"407"	5	6	5	4	5	5	3	5	4	4	4	4	4	4	5	5	4	5	6	5	5
"408"	4	4	4	4	3	4	4	4	3	4	4	7	3	5	4	6	5	6	5	5	3
"409"	5	4	5	5	6	4	5	4	4	5	5	4	6	4	6	4	5	3	5	4	2
"410"	5	4	5	5	6	3	4	6	1	4	5	2	5	6	5	5	7	5	4	5	3
"411"	4	6	4	5	5	6	5	6	4	5	4	4	6	6	6	6	6	6	7	5	3
"412"	4	5	4	5	4	5	4	3	4	3	4	6	6	3	5	3	5	4	4	6	5
"413"	2	4	4	3	4	1	3	3	2	3	3	3	4	2	4	2	3	3	4	4	4
"414"	5	6	5	3	3	3	4	3	6	7	5	6	2	4	5	4	6	2	4	1	5
"415"	5	5	5	6	4	4	4	4	5	3	4	5	6	5	6	4	5	6	6	5	3
"416"	2	5	5	6	3	4	4	4	4	4	4	4	5	4	4	5	5	3	3	4	4
"417"	5	4	5	3	4	4	7	5	4	3	3	4	4	3	5	3	4	5	3	4	4
"418"	6	5	3	5	4	4	3	5	4	5	3	5	4	4	4	4	4	3	3	5	6
"419"	3	5	5	4	4	6	3	6	3	5	4	6	3	3	3	4	3	5	5	6	3
"420"	4	5	5	4	4	3	3	3	3	3	2	3	3	4	6	3	5	4	5	4	3
"421"	4	3	5	5	3	4	5	5	5	4	4	5	6	5	6	4	6	4	5	5	2
"422"	4	4	4	3	4	4	3	4	5	6	5	6	5	4	4	5	5	5	4	4	2
"423"	4	4	4	6	5	5	3	4	4	4	3	4	5	4	3	3	5	3	4	3	5
"424"	4	2	5	5	3	5	3	5	2	1	3	2	3	4	5	2	5	5	5	4	3
"425"	4	3	5	2	3	4	4	5	4	3	4	5	5	4	3	5	4	2	5	4	5
"426"	6	4	4	5	4	3	3	3	6	4	4	4	4	6	3	4	3	3	2	5	5
"427"	5	3	3	2	4	5	4	6	3	3	4	2	4	4	5	4	5	3	4	4	2
"428"	5	6	4	4	5	5	7	6	4	3	6	5	4	5	5	4	5	5	4	5	3
"429"	4	4	4	4	4	2	3	3	4	2	4	2	1	5	3	4	5	3	3	2	5
"430"	3	3	4	3	3	4	4	4	5	5	4	4	5	4	4	6	5	5	6	4	4
"431"	3	4	4	4	7	5	7	4	4	3	4	4	6	5	4	5	5	4	6	5	4
"432"	5	4	4	4	4	4	3	5	4	4	4	4	3	3	5	3	3	2	3	2	7
"433"	5	3	3	3	5	5	4	4	4	3	5	7	6	5	6	5	6	6	5	6	4
"434"	4	4	1	4	2	5	4	4	5	4	5	5	4	3	5	5	6	4	5	6	5
"435"	4	3	2	3	4	5	4	3	3	3	3	5	5	4	5	5	3	4	4	4	4
"436"	5	5	5	5	3	4	3	2	4	4	5	4	5	3	4	3	4	5	4	3	4
"437"	4	2	3	4	5	3	4	3	5	5	4	4	5	5	5	5	4	5	4	5	2
"438"	2	4	2	3	5	2	3	3	3	3	4	2	3	4	5	4	5	3	3	4	2
"439"	3	3	2	3	5	3	4	3	4	4	2	5	5	4	5	4	5	4	4	5	3
"440"	1	6	5	2	6	5	7	5	4	3	2	3	5	3	5	2	5	2	5	4	3
"441"	4	3	4	4	3	4	4	2	3	3	1	3	3	1	2	2	2	2	3	3	6
"442"	4	3	5	4	5	2	5	7	3	4	3	3	3	3	3	2	4	5	2	2	5
"443"	5	5	5	5	5	2	5	3	3	3	3	4	3	3	4	3	5	3	3	2	7
"444"	7	6	5	3	4	2	2	3	4	2	4	3	2	2	3	1	3	4	3	2	6
"445"	5	6	6	5	3	3	4	2	4	2	2	3	7	5	6	4	5	2	4	3	3
"446"	2	4	5	3	3	3	6	5	5	5	5	3	4	4	3	5	5	3	4	5	3
"447"	4	3	4	4	6	4	6	5	3	4	3	3	5	4	4	4	5	5	7	5	3
"448"	6	6	6	6	2	3	4	4	3	3	3	3	7	5	3	4	6	4	4	2	6
"449"	5	4	3	4	3	4	4	3	3	4	3	4	5	3	4	4	5	4	5	6	3
"450"	4	3	2	3	4	5	3	3	5	4	4	5	3	3	3	2	5	3	4	4	5
"451"	3	5	3	5	4	4	5	4	4	5	4	3	4	5	5	4	4	4	4	4	4
"452"	4	6	4	4	5	4	6	3	4	4	3	5	2	3	2	3	1	4	3	3	5
"453"	5	5	4	5	3	3	4	4	5	5	4	7	2	4	4	4	6	4	2	5	4
"454"	6	5	5	4	4	3	4	6	5	6	3	4	4	5	6	4	5	4	6	4	5
"455"	4	4	3	1	4	3	5	3	5	4	4	4	4	4	5	4	4	4	5	3	4
"456"	2	2	3	2	5	6	4	5	4	4	3	4	5	4	5	4	5	5	5	4	5
"457"	3	2	1	4	4	4	6	3	4	4	4	6	6	6	5	5	4	5	4	6	2
"458"	3	4	4	6	3	3	3	3	3	5	4	3	4	5	4	4	4	2	4	5	4
"459"	4	3	3	4	6	4	4	2	3	3	4	4	4	3	5	4	5	4	3	3	6
"460"	5	4	5	6	5	4	6	5	5	5	5	5	6	6	6	6	6	6	4	5	2
"461"	6	5	4	5	4	3	6	5	5	4	4	5	5	4	6	5	4	4	6	5	2
"462"	7	4	6	4	5	4	5	5	3	3	3	2	1	3	3	2	4	4	6	4	4
"463"	3	5	4	3	5	5	5	4	4	4	4	3	6	5	5	4	6	3	4	5	2
"464"	5	4	3	3	5	6	4	4	4	6	5	5	4	4	5	6	7	5	6	4	2
"465"	5	4	5	4	2	2	5	3	4	1	3	3	5	4	4	4	5	4	4	4	5
"466"	4	5	4	4	6	5	5	4	6	4	3	5	4	4	4	3	5	5	5	3	5
"467"	5	4	6	5	3	5	4	4	5	4	3	4	3	4	4	4	5	3	3	3	4
"468"	3	2	2	4	1	3	3	3	5	4	3	3	4	2	2	4	4	4	3	2	5
"469"	3	3	2	2	3	3	4	2	5	4	2	4	3	2	3	3	3	4	4	4	4
"470"	4	4	5	5	5	2	6	5	5	5	4	6	4	3	5	3	5	4	3	4	5
"471"	4	5	5	3	4	4	5	4	5	5	3	5	6	5	6	4	6	5	4	6	5
"472"	4	4	3	5	5	4	4	3	4	3	4	5	5	5	4	6	4	5	3	5	5
"473"	5	6	5	4	6	4	6	4	5	4	2	5	3	2	3	4	3	2	3	4	5
"474"	5	5	3	6	3	5	4	3	2	4	4	4	4	4	5	3	4	5	6	6	4
"475"	4	4	4	4	7	5	5	7	5	4	4	7	5	6	5	4	3	3	6	5	2
"476"	5	5	4	6	4	5	6	3	3	3	4	4	5	5	3	4	5	3	4	3	4
"477"	5	3	5	6	5	3	4	4	4	3	3	4	4	4	3	4	5	5	5	4	4
"478"	4	6	6	4	3	2	4	3	4	3	3	4	5	4	5	6	5	4	6	5	6
"479"	5	4	2	3	3	2	4	4	5	5	4	5	4	4	4	5	5	3	5	5	4
"480"	4	6	5	6	3	7	5	4	5	4	3	5	4	5	4	2	4	4	6	6	2
"481"	5	3	5	4	5	5	4	3	4	5	5	5	6	4	7	4	6	5	4	6	2
"482"	3	3	3	5	4	2	3	3	4	2	5	5	4	3	4	4	4	4	4	5	3
"483"	4	4	6	4	4	4	4	5	4	3	5	3	4	5	6	6	6	4	3	4	2
"484"	4	3	4	3	3	3	4	3	4	4	4	4	5	4	6	5	4	5	4	4	4
"485"	7	5	5	5	4	3	4	6	5	6	3	5	6	3	5	4	5	4	4	5	4
"486"	3	4	3	4	5	4	6	5	6	6	6	5	4	4	3	5	4	2	3	4	4
"487"	2	3	5	4	5	5	5	3	6	6	4	6	6	5	7	5	6	6	6	5	4
"488"	4	3	4	5	5	5	7	5	1	3	2	3	2	3	4	5	4	3	4	5	4
"489"	4	5	2	3	4	3	5	4	4	4	3	3	4	3	4	4	6	4	5	3	5
"490"	3	4	5	6	4	2	6	6	3	4	4	5	2	5	4	4	4	3	3	4	4
"491"	6	5	5	6	4	6	4	5	5	5	4	5	7	6	6	6	7	6	6	6	4
"492"	4	4	3	5	4	3	5	2	4	4	4	5	4	5	6	4	5	2	5	4	6
"493"	4	4	3	5	3	2	2	1	2	4	3	2	5	3	3	4	4	4	5	4	4
"494"	4	6	3	5	4	4	6	5	4	4	4	4	4	4	3	4	6	3	4	4	4
"495"	5	4	4	5	5	4	5	5	5	5	5	4	5	5	4	6	6	4	3	3	5
"496"	3	4	4	3	4	4	5	4	4	6	3	4	4	4	5	2	5	3	4	4	5
"497"	5	6	2	6	4	5	5	4	3	4	4	3	5	4	3	2	6	5	5	5	2
"498"	5	4	5	3	6	5	4	3	5	5	6	5	5	4	4	4	4	4	4	4	4
"499"	4	6	5	6	4	5	5	3	4	3	4	5	6	4	5	3	6	2	3	2	5
"500"	4	3	4	4	3	5	4	5	3	2	4	3	4	3	3	4	4	1	4	2	5
"501"	4	5	5	4	4	5	4	3	6	5	5	5	5	4	4	6	4	6	4	4	6
"502"	5	3	6	5	4	5	5	4	5	5	4	6	6	4	4	5	4	4	4	5	6
"503"	4	4	5	5	3	2	4	3	3	2	4	4	4	4	2	4	3	3	3	3	5
"504"	3	3	3	4	3	6	4	5	4	2	2	3	5	5	6	4	5	2	3	5	4
"505"	1	3	4	4	2	2	3	3	4	3	3	3	2	3	1	1	4	1	3	4	5
"506"	5	5	3	7	4	3	5	5	4	4	5	4	6	5	4	5	5	3	4	5	4
"507"	5	4	4	5	3	2	3	2	3	3	3	4	5	4	5	4	5	1	4	4	6
"508"	3	4	5	5	4	5	3	4	5	4	6	4	4	4	4	4	4	2	3	3	6
"509"	3	5	2	3	2	1	5	4	3	3	4	4	5	4	5	5	5	5	7	5	4
"510"	5	4	4	4	2	5	4	2	5	5	3	4	6	3	4	3	5	5	2	5	4
"511"	4	4	4	4	4	3	3	3	4	4	5	6	4	5	4	4	5	4	4	5	4
"512"	2	1	3	2	2	4	4	2	1	2	3	3	6	4	4	3	5	3	5	5	5
"513"	3	4	6	3	5	5	5	4	4	3	4	4	3	4	6	5	3	3	4	4	4
"514"	5	5	3	2	4	3	4	3	4	3	4	4	4	1	2	1	3	3	5	4	4
"515"	6	6	4	5	3	4	3	4	2	4	4	6	4	4	6	4	3	4	5	6	4
"516"	2	3	2	4	4	6	5	4	5	4	3	4	4	3	4	2	4	4	4	3	4
"517"	5	5	3	6	6	6	5	5	3	3	4	4	3	5	5	3	4	6	4	4	5
"518"	3	2	3	3	5	4	6	5	3	3	4	5	4	5	4	5	6	3	4	3	3
"519"	3	2	1	2	4	5	5	5	3	3	3	5	4	2	3	1	3	1	4	3	5
"520"	5	5	4	2	3	5	4	3	4	5	3	4	4	3	4	4	4	4	6	4	3
"521"	4	5	5	5	4	3	4	4	5	4	4	5	4	4	5	5	4	3	4	5	3
"522"	3	5	5	4	4	4	5	3	3	4	4	4	3	2	4	2	4	6	5	4	6
"523"	3	3	5	4	2	4	3	2	4	5	4	5	5	3	5	4	6	4	5	3	4
"524"	6	4	5	5	5	3	3	6	6	4	4	5	5	4	5	3	4	4	5	6	3
"525"	3	5	4	5	4	4	3	3	3	4	2	4	4	5	5	7	4	3	3	4	4
"526"	4	6	7	5	5	5	4	4	5	4	3	5	4	5	4	5	5	6	5	5	2
"527"	3	5	4	5	4	4	4	4	3	4	5	4	3	4	5	5	3	6	4	5	2
"528"	4	3	4	2	3	3	3	2	4	4	3	4	4	3	4	4	5	4	4	4	4
"529"	4	3	3	5	3	4	4	5	4	4	2	4	6	4	5	4	5	4	4	4	3
"530"	4	4	5	4	4	5	4	5	2	5	4	3	6	4	4	5	4	2	3	1	4
"531"	5	4	2	3	6	4	5	5	2	3	1	4	5	2	5	3	5	4	3	3	3
"532"	4	4	4	5	6	5	3	3	3	3	3	3	4	3	4	1	3	4	6	5	4
"533"	7	4	7	4	4	3	3	5	6	5	5	6	3	4	3	4	5	5	4	4	4
"534"	2	6	4	4	4	4	4	2	5	4	5	4	4	3	3	4	4	4	5	5	4
"535"	4	3	4	5	5	6	4	4	4	4	4	4	5	5	2	5	2	4	6	6	3
"536"	5	6	6	7	5	3	3	4	5	4	4	3	5	5	6	5	5	4	7	4	3
"537"	5	2	3	3	4	4	3	4	3	3	3	4	4	5	5	5	5	3	5	5	5
"538"	5	5	5	5	3	3	4	5	4	4	5	6	5	6	5	6	5	4	5	6	4
"539"	6	5	3	5	4	5	6	5	4	5	4	5	6	4	4	5	6	5	6	4	4
"540"	5	5	2	3	5	3	3	4	3	5	5	6	4	5	3	3	5	2	3	2	5
"541"	5	6	6	4	3	3	5	4	5	5	3	6	2	3	3	2	5	3	4	5	2
"542"	5	4	4	4	5	5	3	2	2	4	3	6	4	4	4	3	5	3	4	4	7
"543"	5	3	5	4	5	7	6	5	4	4	4	4	5	5	5	4	5	4	4	4	3
"544"	4	3	5	3	3	2	4	4	4	3	5	5	6	4	6	4	4	7	7	6	3
"545"	4	4	4	6	3	3	4	2	5	5	4	7	5	5	4	5	6	5	6	4	4
"546"	6	5	4	4	3	5	4	4	4	5	3	3	3	3	5	3	5	6	6	5	5
"547"	3	4	3	2	4	3	5	4	6	6	5	5	6	4	4	4	4	7	7	7	1
"548"	4	4	3	5	4	3	3	3	5	5	4	3	3	4	3	3	5	4	4	4	3
"549"	4	3	3	4	4	4	3	3	4	2	2	2	4	2	4	3	4	4	4	3	5
"550"	2	3	3	3	4	4	4	4	3	5	4	4	2	3	4	2	3	3	4	5	6
"551"	5	3	4	4	4	4	3	3	5	5	4	2	4	4	3	3	5	5	6	5	7
"552"	3	5	4	3	4	4	3	3	3	5	4	4	6	5	6	5	7	2	4	4	3
"553"	2	2	3	5	5	7	6	4	5	5	6	6	6	4	5	3	5	5	6	5	2
"554"	5	4	5	3	3	1	5	3	5	4	5	4	4	3	3	4	3	4	5	5	2
"555"	6	3	6	5	5	3	4	2	4	3	3	4	4	4	5	3	7	3	5	3	4
"556"	5	6	7	6	6	3	5	2	4	4	3	5	5	4	4	4	4	6	5	7	5
"557"	4	5	4	5	2	4	4	4	5	5	5	4	5	6	4	6	7	5	4	6	3
"558"	4	5	4	6	3	2	5	5	5	5	5	5	5	5	5	4	5	4	6	5	4
"559"	4	7	6	6	7	4	4	3	4	4	2	5	4	3	4	4	3	4	3	4	2
"560"	6	6	6	6	2	4	3	3	4	5	4	2	4	4	3	4	5	5	6	5	2
"561"	3	4	3	4	5	2	5	3	3	5	4	5	4	4	4	3	4	5	5	5	3
"562"	7	6	5	6	5	2	5	2	4	4	5	5	5	5	3	5	4	6	6	6	2
"563"	5	5	5	6	3	3	5	4	2	4	4	3	6	4	5	5	5	3	6	6	3
"564"	6	4	3	5	5	6	5	5	4	5	5	5	3	3	4	3	4	2	4	4	3
"565"	5	5	3	4	2	4	5	4	2	2	4	2	6	4	5	5	7	4	3	5	5
"566"	5	3	3	4	7	4	5	7	4	3	4	6	5	4	5	4	4	3	4	5	3
"567"	3	2	3	3	4	1	1	3	6	5	6	6	4	4	4	3	2	2	4	3	6
"568"	3	4	3	5	4	3	5	4	4	4	4	5	4	2	4	3	4	4	4	5	3
"569"	6	4	4	6	5	4	5	5	5	4	5	4	5	4	5	4	4	5	6	6	3
"570"	3	4	4	4	5	6	4	5	3	4	4	5	4	4	3	5	3	4	5	5	5
"571"	5	5	4	6	4	4	2	3	3	3	4	2	2	3	4	4	4	4	4	4	5
"572"	3	5	3	4	4	5	4	5	4	4	4	3	4	4	5	5	6	3	3	4	4
"573"	4	5	6	6	3	3	4	4	2	5	4	4	5	3	3	5	6	4	5	5	4
"574"	3	4	5	5	4	5	4	5	5	5	4	5	5	4	5	4	7	5	7	6	3
"575"	5	5	4	4	5	3	6	4	5	6	5	5	2	5	4	5	4	4	5	6	3
"576"	5	5	5	2	3	3	7	5	3	1	3	4	3	3	3	4	4	3	4	3	6
"577"	3	4	3	5	3	4	4	3	5	4	6	5	5	4	3	4	4	6	4	4	4
"578"	5	3	4	4	4	6	5	2	6	3	5	5	3	4	3	4	3	4	4	3	6
"579"	4	4	6	3	2	2	3	3	2	3	2	2	2	1	2	2	2	2	2	3	6
"580"	3	5	5	5	3	2	5	2	4	4	3	4	3	3	4	4	4	4	5	4	3
"581"	6	6	4	6	5	5	6	4	4	4	4	6	6	5	6	6	6	5	4	4	3
"582"	7	4	5	4	4	5	6	5	4	3	2	2	4	3	3	3	3	3	6	4	4
"583"	4	6	5	4	5	4	3	5	4	4	4	4	3	5	2	3	4	6	5	5	6
"584"	3	6	4	4	6	5	5	5	6	4	4	5	5	7	5	7	6	4	6	3	3
"585"	5	6	6	6	5	2	4	4	5	5	3	4	5	4	4	5	5	4	4	6	4
"586"	6	6	4	5	5	4	4	6	3	3	2	4	5	4	4	4	4	6	5	5	2
"587"	4	4	4	5	5	3	4	4	4	2	4	3	4	3	3	3	3	4	4	4	6
"588"	5	3	3	5	3	4	5	5	4	4	4	6	6	6	6	6	6	7	6	6	3
"589"	5	5	5	5	4	5	5	3	5	4	5	6	4	3	3	2	4	3	3	3	4
"590"	4	4	4	6	2	2	4	4	4	4	5	4	3	4	4	3	6	3	5	6	4
"591"	2	3	2	4	3	4	3	4	3	4	2	2	4	5	4	4	2	4	5	4	5
"592"	4	4	2	1	3	3	5	4	6	4	5	5	4	4	4	3	5	5	5	4	3
"593"	5	5	3	5	3	3	3	4	2	3	1	4	4	4	2	1	3	4	5	4	4
"594"	4	6	3	4	5	4	5	5	4	3	4	5	2	3	2	2	2	3	3	4	4
"595"	2	3	3	4	5	4	4	4	4	4	4	5	3	4	3	3	4	6	6	6	3
"596"	4	6	4	5	5	2	5	3	2	3	3	5	3	4	4	4	5	3	2	2	6
"597"	4	6	6	4	4	3	4	5	5	5	5	4	7	3	6	5	6	4	4	5	4
"598"	4	4	4	3	4	3	4	5	2	4	2	4	3	2	4	3	4	3	3	3	4
"599"	6	3	5	5	5	6	5	3	3	4	3	3	5	5	5	6	6	4	4	4	6
