age,education,religion,politics,climate_change,doc_condition,doc_length,global_warming,behaviour
74,UG,Yes,right-leaning,46,negative,6.5,0,70.5
54,HS,No,right-leaning,43,negative,2,1,27
47,UG,Yes,right-leaning,50,negative,1.5,1,49.5
62,HS,Yes,right-leaning,54,neutral,6.5,1,30
56,HS,Yes,right-leaning,55,positive,2.5,1,33
30,PG,No,unknown,38,neutral,4,1,66.5
43,PG,Yes,right-leaning,48,neutral,5.5,1,65.5
30,UG,Yes,left-leaning,29,positive,4.5,0,61.5
45,UG,Yes,right-leaning,55,negative,9.5,1,49.5
35,HS,Yes,left-leaning,43,positive,7,1,63
70,HS,Yes,right-leaning,46,neutral,5.5,1,29.5
47,UG,Yes,left-leaning,44,negative,8,1,57
22,HS,No,unknown,43,negative,2.5,1,43.5
74,HS,Yes,right-leaning,52,neutral,7,0,41
68,HS,Yes,left-leaning,34,negative,2.5,0,52
73,UG,Yes,right-leaning,48,neutral,1,0,62.5
50,PG,Yes,left-leaning,36,negative,3,0,60
72,HS,Yes,right-leaning,42,negative,3.5,0,36.5
21,UG,No,unknown,45,positive,2,1,59
29,UG,No,unknown,34,positive,10,0,50.5
61,HS,Yes,left-leaning,45,positive,2,0,57.5
43,HS,No,right-leaning,54,positive,8,1,66.5
27,PG,No,left-leaning,34,neutral,8,1,45
27,UG,Yes,left-leaning,42,positive,2,1,29.5
55,UG,Yes,left-leaning,40,negative,8,0,64.5
40,HS,No,right-leaning,49,positive,9.5,1,58.5
23,UG,No,unknown,45,neutral,9,1,30.5
40,PG,No,unknown,38,positive,4.5,1,43.5
46,PG,Yes,right-leaning,52,positive,9,1,59
40,PG,No,left-leaning,36,neutral,2,1,14
24,HS,No,left-leaning,40,negative,8,1,53
32,UG,No,left-leaning,42,neutral,2.5,1,24.5
42,UG,Yes,left-leaning,33,positive,7,1,47
26,PG,No,unknown,38,neutral,5.5,1,52
37,UG,No,left-leaning,42,positive,9.5,1,40
61,HS,Yes,right-leaning,51,neutral,4,1,44
21,PG,No,left-leaning,43,negative,7.5,1,88
68,PG,Yes,right-leaning,53,negative,6,1,70.5
58,HS,No,right-leaning,48,neutral,4,1,73.5
21,PG,No,left-leaning,45,positive,2.5,1,19
67,UG,Yes,right-leaning,44,neutral,3.5,0,44
73,HS,Yes,right-leaning,50,positive,5.5,0,51
24,PG,No,right-leaning,51,neutral,4.5,1,68.5
22,UG,No,right-leaning,46,positive,6.5,1,39
27,PG,No,right-leaning,49,neutral,2.5,1,46.5
58,UG,Yes,right-leaning,46,positive,5,1,13.5
37,HS,Yes,left-leaning,42,neutral,5,0,67.5
20,PG,No,left-leaning,44,positive,5,1,38.5
59,UG,Yes,left-leaning,35,negative,6.5,0,58
31,UG,No,left-leaning,41,negative,3,1,71
39,PG,Yes,left-leaning,41,positive,7,1,44
33,PG,No,left-leaning,38,neutral,7,1,30
56,UG,No,right-leaning,47,neutral,3,1,29.5
58,UG,Yes,right-leaning,48,neutral,6.5,0,58.5
66,HS,Yes,right-leaning,53,positive,4,1,38.5
75,HS,Yes,right-leaning,49,neutral,1,0,50
53,UG,Yes,right-leaning,47,positive,1.5,1,70
52,UG,Yes,left-leaning,42,neutral,6.5,1,63
28,UG,No,left-leaning,37,negative,2,0,75.5
54,HS,Yes,right-leaning,59,negative,2,1,60.5
69,PG,No,right-leaning,41,positive,7,1,39
19,PG,No,left-leaning,43,neutral,7,1,64
50,HS,Yes,right-leaning,52,positive,6.5,0,31
51,HS,No,right-leaning,49,positive,8,1,53.5
58,UG,Yes,right-leaning,53,neutral,2.5,0,74.5
66,PG,Yes,unknown,42,neutral,1.5,1,65
27,UG,No,left-leaning,40,negative,3.5,0,38
68,HS,Yes,right-leaning,51,neutral,8.5,1,53
36,HS,No,left-leaning,38,neutral,1,0,52
23,UG,No,left-leaning,39,positive,5,1,53
26,UG,No,left-leaning,42,neutral,8,1,63
26,UG,No,left-leaning,47,positive,7.5,1,49
29,HS,No,right-leaning,60,negative,5,1,87.5
19,HS,No,left-leaning,35,neutral,2,0,50.5
42,UG,No,unknown,42,neutral,4.5,1,57
33,UG,No,right-leaning,52,neutral,8,1,45.5
