ID,FOMO,Age,Gender,N,E,O,A,C
735,25,36,Male,32,30,32,22,31
736,20,37,Male,24,22,31,29,31
737,22,33,Male,24,16,33,26,34
738,35,33,Male,23,29,33,30,26
739,31,17,Male,27,25,34,27,29
740,26,46,Male,10,32,37,28,35
741,21,41,Male,27,27,47,34,39
742,29,40,Male,23,25,39,33,34
743,21,31,Male,21,24,41,43,36
744,37,19,Male,34,40,30,39,44
745,16,20,Male,19,28,35,30,40
746,31,26,Male,26,33,36,30,31
747,29,18,Male,23,26,37,35,32
748,26,26,Male,26,18,39,40,29
749,32,33,Male,26,21,41,34,37
750,16,63,Male,34,23,34,31,39
751,27,34,Male,19,23,33,24,25
752,20,30,Male,24,22,33,28,35
753,29,17,Male,21,30,44,32,23
754,34,46,Male,21,30,41,33,43
755,17,33,Male,23,27,22,25,23
756,29,20,Male,34,13,33,28,24
757,14,57,Male,21,23,28,34,32
758,25,15,Male,27,19,39,22,31
759,20,18,Male,21,29,40,27,29
760,28,24,Male,29,34,38,43,38
761,25,30,Male,23,31,43,27,29
762,21,39,Male,26,11,21,28,28
763,34,34,Male,28,23,39,27,24
764,31,12,Male,26,18,24,32,22
765,24,32,Male,10,28,43,27,22
766,30,16,Male,22,24,34,17,28
767,33,34,Male,19,19,29,28,20
768,24,50,Male,25,12,31,35,22
769,28,53,Male,30,29,41,37,38
770,25,31,Male,10,17,46,38,18
771,22,40,Male,14,33,40,24,28
772,22,46,Male,19,34,36,27,29
773,18,46,Male,17,25,40,40,22
774,30,30,Male,24,23,36,35,32
775,24,46,Male,24,17,26,32,21
776,20,38,Male,22,27,38,34,28
777,15,43,Male,8,28,49,42,25
778,20,47,Male,19,37,37,28,29
779,27,32,Male,29,21,29,41,36
780,32,43,Male,32,25,27,23,26
781,26,33,Male,21,27,36,35,35
782,14,34,Male,12,25,47,35,36
783,26,12,Male,13,24,45,25,26
784,24,41,Male,22,18,30,29,25
785,36,25,Male,26,14,30,28,20
786,25,27,Male,28,27,45,36,34
787,28,14,Male,23,28,33,25,25
788,26,15,Male,20,27,38,33,26
789,21,26,Male,28,19,49,40,38
790,24,30,Male,18,25,31,33,21
791,26,17,Male,28,22,29,33,31
792,20,23,Male,20,29,48,30,29
793,22,21,Male,35,23,38,35,33
794,35,39,Male,20,21,34,25,30
795,20,45,Male,19,30,42,36,32
796,22,24,Male,24,13,30,23,31
797,24,35,Male,28,29,30,22,34
798,17,34,Male,17,33,48,40,30
799,24,50,Male,16,26,38,36,28
800,31,26,Male,24,20,32,33,36
801,32,35,Male,29,19,34,40,29
802,22,53,Male,27,20,27,26,26
803,36,14,Male,24,28,42,26,25
804,34,14,Male,32,31,38,28,28
805,34,33,Male,21,19,29,22,25
806,32,18,Male,24,12,44,28,25
807,24,37,Male,26,26,35,32,30
808,20,40,Male,24,27,34,29,32
809,24,34,Male,24,35,47,29,38
810,21,26,Male,11,31,32,29,22
811,21,14,Male,23,27,25,21,27
812,26,27,Male,23,29,37,33,30
813,12,59,Male,19,27,28,29,32
814,24,35,Male,22,25,29,31,35
815,19,42,Male,16,23,43,37,25
816,24,20,Male,19,37,39,28,20
817,16,52,Male,15,23,42,24,28
818,35,17,Male,36,14,27,24,35
819,24,41,Male,31,17,29,37,26
820,15,38,Male,24,27,37,31,26
821,13,51,Male,13,27,47,32,39
822,36,42,Male,22,27,36,36,24
823,20,34,Male,18,32,42,30,29
824,22,20,Male,21,30,38,25,40
825,23,23,Male,28,23,33,26,35
826,26,21,Male,24,25,32,35,28
827,41,23,Male,32,20,26,27,30
828,15,31,Male,25,24,38,35,29
829,20,33,Male,14,24,42,32,24
830,22,47,Male,16,22,36,37,26
831,21,34,Male,31,39,27,35,44
832,29,22,Male,22,37,29,30,28
833,28,40,Male,26,28,30,31,24
834,24,20,Male,20,11,33,33,30
835,21,37,Male,10,34,43,18,29
836,33,26,Male,38,20,19,38,27
837,31,32,Male,20,25,41,32,31
838,27,52,Male,10,26,31,30,26
839,19,50,Male,17,22,33,25,27
840,35,13,Male,22,34,46,41,22
841,25,57,Male,16,29,35,30,24
842,25,13,Male,24,26,38,29,36
843,15,37,Male,18,21,38,33,25
844,19,53,Male,25,31,41,23,32
845,31,29,Male,21,26,27,22,25
846,17,31,Male,15,31,30,28,31
847,28,33,Male,30,29,43,42,41
848,17,28,Male,19,23,39,31,31
849,34,12,Male,26,33,33,31,28
850,19,40,Male,20,16,40,35,30
851,33,16,Male,22,26,45,38,35
852,18,34,Male,21,22,34,29,28
853,22,32,Male,29,20,34,27,28
854,26,37,Male,28,34,32,30,31
855,21,50,Male,16,26,38,32,19
856,23,27,Male,21,24,38,41,31
857,14,69,Male,13,34,34,34,40
858,37,18,Male,22,25,43,28,28
859,25,20,Male,26,18,39,31,34
860,25,17,Male,24,29,39,39,32
861,24,29,Male,25,27,25,33,23
862,23,36,Male,28,24,43,28,32
863,18,47,Male,23,18,31,41,28
864,14,34,Male,15,35,39,25,18
865,18,26,Male,12,27,43,27,26
866,38,25,Male,34,16,30,30,35
867,26,23,Male,25,25,33,33,21
868,24,37,Male,22,22,39,33,26
869,21,56,Male,15,25,35,21,26
870,29,33,Male,19,18,37,25,33
871,29,13,Male,19,11,46,32,25
872,38,22,Male,28,24,33,38,31
873,23,27,Male,27,20,35,29,33
874,35,42,Male,30,35,29,17,31
875,12,46,Male,29,17,31,34,26
876,18,48,Male,23,27,30,29,28
877,28,27,Male,23,16,41,29,21
878,15,29,Male,20,21,26,23,29
879,23,47,Male,27,24,39,32,38
880,24,32,Male,19,28,41,33,33
881,24,42,Male,22,36,36,37,35
882,29,37,Male,18,20,34,34,33
883,30,20,Male,28,20,34,33,31
884,17,37,Male,23,40,43,32,32
885,10,58,Male,11,28,39,28,26
886,18,31,Male,16,33,39,37,20
887,32,18,Male,29,34,39,38,32
888,24,33,Male,15,16,44,29,35
889,33,37,Male,27,23,30,24,29
890,11,54,Male,24,30,39,31,44
891,28,32,Male,26,21,31,32,31
892,29,21,Male,21,28,33,33,31
893,29,46,Male,27,25,28,32,31
894,26,34,Male,20,20,43,40,26
895,35,36,Male,25,17,36,33,35
896,25,26,Male,23,33,34,38,37
897,11,44,Male,17,27,36,33,30
898,25,47,Male,14,34,40,40,35
899,19,33,Male,21,31,41,36,29
900,24,36,Male,13,26,38,31,19
901,23,40,Male,18,25,42,42,30
902,10,58,Male,19,34,42,39,35
903,20,35,Male,24,24,36,30,32
904,18,48,Male,18,30,47,38,26
905,35,26,Male,36,23,24,28,27
906,24,34,Male,23,25,41,30,40
907,41,19,Male,28,29,28,20,34
908,13,41,Male,15,30,44,37,26
909,20,21,Male,20,15,36,26,35
910,28,44,Male,31,25,24,33,26
911,25,28,Male,22,33,42,37,29
912,31,36,Male,30,22,40,26,36
913,28,37,Male,21,17,35,34,23
914,21,51,Male,16,18,42,29,26
915,26,27,Male,28,26,26,23,27
916,16,49,Male,18,32,30,25,27
917,19,26,Male,23,27,33,23,28
918,26,23,Male,39,19,32,26,37
919,30,40,Male,30,28,26,27,27
920,26,35,Male,12,17,37,32,22
921,26,28,Male,22,19,32,35,33
922,29,33,Male,16,37,41,29,24
923,23,28,Male,22,30,37,37,34
924,21,43,Male,15,34,35,33,19
925,30,42,Male,22,24,37,28,36
926,28,29,Male,28,26,23,19,29
927,25,20,Male,31,23,34,36,28
928,28,22,Male,31,19,41,33,37
929,16,40,Male,19,11,40,27,34
930,16,58,Male,21,23,39,38,38
931,27,32,Male,28,27,35,32,33
932,14,38,Male,14,22,43,30,42
933,14,34,Male,16,31,37,37,35
934,32,33,Male,19,40,37,36,30
935,28,26,Male,10,26,33,31,23
936,30,38,Male,32,20,30,27,27
937,21,39,Male,19,28,35,39,23
938,20,39,Male,20,24,29,33,29
939,24,49,Male,15,28,40,35,15
940,38,15,Male,22,23,42,24,23
941,23,32,Male,23,22,21,23,36
942,19,58,Male,9,21,45,31,22
943,28,14,Male,18,29,38,26,30
944,21,36,Male,19,30,42,37,27
945,19,48,Male,21,24,35,33,20
946,26,22,Male,14,21,39,24,24
947,32,32,Male,18,23,35,31,24
948,20,28,Male,20,26,35,36,23
949,28,37,Male,18,24,32,26,26
950,32,33,Male,18,31,39,33,31
951,35,16,Male,23,23,36,25,33
952,18,52,Male,27,20,40,36,27
953,29,42,Male,21,30,29,39,22
954,27,25,Male,23,27,33,18,28
955,29,13,Male,21,27,34,29,23
956,23,42,Male,17,30,27,28,29
957,23,26,Male,18,24,38,31,32
958,26,29,Male,13,10,25,36,23
959,25,34,Male,16,29,42,23,25
960,21,23,Male,27,28,31,36,35
961,20,26,Male,26,16,23,20,28
962,26,21,Male,28,29,36,39,33
963,10,52,Male,21,19,34,34,38
964,26,34,Male,32,9,30,37,29
965,14,27,Male,18,26,43,37,29
966,27,41,Male,24,26,34,35,30
967,18,51,Male,28,33,33,27,31
968,17,29,Male,27,25,21,35,28
969,21,36,Male,21,24,43,30,36
970,21,35,Male,27,22,30,36,33
971,22,61,Male,10,37,41,37,20
972,33,12,Male,30,28,35,27,28
973,20,45,Male,21,33,41,25,25
974,29,34,Male,30,22,38,21,32
975,29,37,Male,20,22,39,25,26
976,21,33,Male,18,22,36,37,28
977,26,14,Male,22,37,38,37,31
978,18,34,Male,14,28,30,38,39
979,29,12,Male,16,29,41,36,23
980,30,13,Male,18,26,32,23,23
981,36,13,Male,25,28,37,36,31
982,21,26,Male,28,28,33,23,35
983,26,22,Male,25,19,31,22,38
984,28,13,Male,16,32,48,31,24
985,28,32,Male,17,32,38,38,34
986,28,16,Male,18,27,40,30,39
987,29,13,Male,23,37,41,26,26
988,22,49,Male,19,21,47,36,27
989,24,22,Male,13,26,35,21,32
990,22,39,Male,27,29,33,26,40
991,25,40,Male,19,21,30,27,19
992,32,27,Male,20,22,31,32,31
993,24,31,Male,24,23,47,34,31
994,26,41,Male,20,25,45,40,34
995,26,29,Male,19,36,34,28,27
996,34,26,Male,22,18,31,33,22
997,19,25,Male,21,27,37,39,22
998,23,55,Male,25,16,35,33,32
999,22,21,Male,14,27,36,32,21
1000,19,43,Male,25,22,26,29,29
1001,26,41,Male,26,24,36,41,26
1002,36,20,Male,24,22,40,27,29
1003,16,44,Male,18,23,36,27,39
1004,15,31,Male,22,24,40,38,40
1005,13,27,Male,28,36,44,34,43
1006,21,20,Male,17,29,39,29,32
1007,34,42,Male,27,26,39,33,28
1008,18,28,Male,22,28,34,20,34
1009,24,34,Male,21,23,43,28,25
1010,17,34,Male,26,10,34,30,34
1011,15,50,Male,17,28,40,42,28
1012,31,36,Male,38,22,34,37,29
1013,17,41,Male,20,32,32,29,35
1014,31,50,Male,22,36,35,31,27
1015,23,38,Male,19,26,41,31,31
1016,25,30,Male,13,32,41,28,34
1017,25,19,Male,23,34,37,32,32
1018,20,39,Male,21,34,45,32,42
1019,19,45,Male,18,24,33,26,27
1020,23,34,Male,11,15,35,30,22
1021,12,52,Male,14,32,40,36,22
1022,19,53,Male,19,25,45,34,36
1023,26,37,Male,19,34,43,42,24
1024,22,36,Male,30,35,29,33,30
1025,27,29,Male,30,21,33,35,28
1026,22,29,Male,25,31,39,25,34
1027,33,27,Male,22,33,39,23,30
1028,25,12,Male,24,24,42,28,31
1029,30,20,Male,19,29,43,30,29
1030,25,35,Male,25,17,45,41,35
1031,26,16,Male,26,24,42,26,29
1032,17,42,Male,15,29,39,34,25
1033,20,33,Male,31,31,27,31,36
1034,20,37,Male,20,27,31,31,32
1035,17,50,Male,29,31,27,22,41
1036,33,31,Male,37,31,35,40,32
1037,24,45,Male,14,34,33,42,26
1038,20,35,Male,27,28,43,36,38
1039,32,25,Male,18,26,40,30,25
1040,23,23,Male,21,26,46,38,40
1041,44,23,Male,38,20,30,30,33
1042,31,12,Male,25,30,31,19,29
1043,26,37,Male,21,30,34,25,32
1044,31,13,Male,17,32,42,36,26
1045,21,29,Male,29,25,34,32,31
1046,30,56,Male,24,19,41,41,42
1047,32,13,Male,34,33,42,29,32
1048,25,49,Male,23,23,36,31,27
1049,28,29,Male,12,28,49,34,28
1050,28,14,Male,17,12,39,27,33
1051,28,41,Male,21,34,33,35,37
1052,24,31,Male,14,33,38,21,28
1053,23,32,Male,30,35,38,32,35
1054,37,14,Male,19,15,28,35,17
1055,10,39,Male,22,29,43,43,38
1056,30,22,Male,18,21,36,30,41
1057,30,46,Male,23,30,31,36,25
1058,26,19,Male,20,18,42,36,23
1059,20,22,Male,12,36,42,22,26
1060,20,26,Male,27,32,34,28,32
1061,23,37,Male,11,30,42,29,27
1062,25,41,Male,23,30,36,28,33
1063,32,31,Male,33,23,36,29,25
1064,28,24,Male,25,20,45,40,28
1065,29,37,Male,37,35,28,31,30
1066,39,22,Male,32,17,43,39,30
1067,17,37,Male,22,38,42,35,31
1068,20,31,Male,20,20,29,28,24
1069,26,58,Male,30,23,25,33,32
1070,25,24,Male,21,36,39,28,35
1071,17,44,Male,18,14,36,32,25
1072,16,49,Male,24,33,34,41,34
1073,19,45,Male,29,17,31,30,30
1074,21,36,Male,25,21,50,32,35
1075,34,12,Male,26,35,31,29,26
1076,37,14,Male,21,22,38,23,24
1077,26,53,Male,18,28,39,26,30
1078,22,21,Male,21,31,35,40,28
1079,15,34,Male,18,25,48,31,20
1080,22,39,Male,20,12,36,34,31
1081,26,16,Male,25,31,38,25,32
1082,22,19,Male,19,25,39,33,26
1083,25,29,Male,21,22,37,35,26
1084,25,39,Male,20,35,41,28,30
1085,15,37,Male,14,29,47,39,31
1086,19,51,Male,19,18,37,37,31
1087,34,27,Male,20,20,41,32,28
1088,31,14,Male,37,22,30,22,28
1089,25,40,Male,19,24,34,27,29
1090,31,39,Male,23,15,37,24,29
1091,21,44,Male,16,26,42,33,30
1092,20,31,Male,28,31,36,31,41
1093,22,40,Male,21,27,39,34,29
1094,23,23,Male,24,25,33,33,36
1095,25,32,Male,25,33,33,31,32
1096,10,38,Male,8,19,41,31,27
1097,26,22,Male,23,21,35,30,31
1098,22,48,Male,23,21,25,27,24
1099,24,34,Male,27,26,32,31,28
1100,33,25,Male,25,29,32,29,21
1101,12,41,Male,23,30,39,26,38
1102,27,14,Male,13,34,40,29,37
1103,27,43,Male,26,28,36,30,32
1104,29,26,Male,25,23,39,33,19
1105,13,47,Male,18,24,33,23,33
1106,15,39,Male,14,27,46,37,36
1107,23,31,Male,19,38,32,37,26
1108,35,14,Male,26,15,36,35,24
1109,28,19,Male,32,17,38,24,35
1110,37,41,Male,14,22,43,31,24
1111,11,45,Male,16,33,43,30,41
1112,32,27,Male,29,9,27,28,41
1113,17,73,Male,16,21,33,38,29
1114,29,30,Male,16,35,44,32,22
1115,37,24,Male,26,19,29,22,19
1116,22,41,Male,19,24,33,31,32
1117,20,39,Male,23,21,26,34,35
1118,30,49,Male,15,40,35,32,33
1119,21,40,Male,29,19,38,41,28
1120,24,31,Male,37,16,39,35,43
1121,29,25,Male,19,15,33,32,27
1122,22,33,Male,16,34,49,28,31
1123,27,45,Male,16,32,43,32,20
1124,22,39,Male,18,27,40,34,32
1125,24,42,Male,21,28,45,34,34
1126,24,46,Male,18,31,32,41,38
1127,26,33,Male,21,26,34,31,18
1128,39,32,Male,30,28,36,26,25
1129,34,42,Male,27,22,31,25,23
1130,31,31,Male,19,28,42,37,30
1131,30,28,Male,30,28,38,30,25
1132,18,37,Male,19,34,37,35,31
1133,27,20,Male,23,34,34,34,35
1134,22,33,Male,19,28,32,24,25
1135,26,50,Male,21,26,36,31,30
1136,27,29,Male,23,22,30,37,35
1137,37,13,Male,35,21,31,21,33
1138,28,41,Male,28,28,20,31,29
1139,25,30,Male,20,30,46,36,30
1140,17,20,Male,16,10,34,29,29
1141,24,26,Male,28,22,34,20,26
1142,32,20,Male,21,28,36,32,32
1143,23,48,Male,23,22,32,26,24
1144,28,24,Male,29,30,28,35,27
1145,21,24,Male,11,30,47,35,23
1146,17,45,Male,18,28,40,30,38
1147,12,51,Male,18,33,34,37,35
1148,24,35,Male,22,19,32,29,27
1149,37,38,Male,23,33,33,27,29
1150,20,35,Male,19,25,35,32,27
1151,27,25,Male,22,22,30,28,23
1152,31,40,Male,29,18,27,22,35
1153,23,39,Male,28,28,45,26,40
1154,18,36,Male,23,31,31,30,34
1155,22,16,Male,28,20,31,28,33
1156,35,32,Male,22,32,36,24,32
1157,18,29,Male,15,34,35,23,25
1158,22,25,Male,21,33,41,40,34
1159,26,65,Male,19,27,28,26,25
1160,31,43,Male,25,17,32,26,25
1161,21,42,Male,15,34,46,29,36
1162,35,13,Male,30,28,37,28,32
1163,28,27,Male,30,29,28,38,28
1164,23,53,Male,24,26,30,32,23
1165,28,28,Male,19,23,43,24,26
1166,20,51,Male,11,26,31,30,27
1167,29,43,Male,13,30,47,36,25
1168,27,24,Male,24,33,34,42,31
1169,35,48,Male,21,23,38,35,29
1170,23,51,Male,17,25,33,30,23
1171,23,35,Male,23,13,35,31,29
1172,31,31,Male,17,21,35,29,21
1173,15,50,Male,22,30,33,27,30
1174,15,47,Male,13,38,40,28,34
1175,18,40,Male,25,29,41,40,33
1176,27,26,Male,37,20,35,35,38
1177,21,19,Male,25,27,33,28,28
1178,25,33,Male,21,26,34,27,29
1179,15,42,Male,19,32,34,37,36
1180,28,27,Male,21,26,38,27,25
1181,12,28,Male,15,34,37,16,29
1182,31,32,Male,32,26,25,31,28
1183,28,18,Male,25,31,37,34,32
1184,15,44,Male,18,28,39,30,37
1185,30,24,Male,25,21,40,40,26
1186,27,41,Male,28,24,43,33,31
1187,24,30,Male,26,27,35,26,43
1188,20,43,Male,20,13,32,27,28
1189,27,31,Male,22,32,37,32,31
1190,31,30,Male,32,19,34,33,38
1191,25,25,Male,19,28,37,30,19
1192,28,53,Male,20,18,35,39,33
1193,30,27,Male,22,19,29,25,33
1194,31,23,Male,25,18,44,27,31
1195,23,28,Male,21,23,39,33,38
1196,23,35,Male,28,29,32,34,29
1197,21,22,Male,22,26,42,36,31
1198,27,17,Male,26,19,31,25,30
1199,17,29,Male,15,36,35,28,34
1200,20,58,Male,18,27,41,40,38
1201,17,33,Male,17,23,44,36,27
1202,23,40,Male,24,19,38,35,34
1203,27,29,Male,23,29,35,34,29
1204,26,35,Male,30,30,32,27,33
1205,25,13,Male,14,25,48,22,31
1206,21,32,Male,17,15,35,34,24
1207,28,40,Male,31,31,29,30,34
1208,24,36,Male,17,27,40,36,28
1209,31,25,Male,24,27,33,32,21
1210,22,22,Male,18,34,46,31,33
1211,24,24,Male,14,29,34,33,24
1212,18,38,Male,25,21,43,32,40
1213,20,27,Male,25,22,30,27,27
1214,32,18,Male,30,25,34,32,35
1215,36,16,Male,21,22,28,35,31
1216,20,16,Male,22,26,37,41,25
1217,18,38,Male,21,22,35,28,30
1218,34,22,Male,30,35,28,28,32
1219,24,40,Male,25,32,24,28,27
1220,27,23,Male,24,18,42,35,22
1221,29,31,Male,23,24,34,27,31
1222,12,40,Male,13,25,45,36,25
1223,32,42,Male,17,22,41,37,25
1224,31,29,Male,22,27,36,26,27
1225,26,27,Male,29,25,39,42,35
1226,17,25,Male,25,32,33,25,33
1227,31,32,Male,25,28,36,33,27
1228,37,38,Male,40,12,22,26,31
1229,22,16,Male,18,30,42,33,26
1230,27,24,Male,23,32,35,28,33
1231,18,32,Male,27,32,38,33,31
1232,20,22,Male,21,26,31,32,18
1233,25,37,Male,26,13,28,32,26
1234,32,22,Male,15,28,49,38,34
1235,25,41,Male,28,31,33,28,29
1236,19,53,Male,16,20,39,24,26
1237,24,40,Male,21,32,29,30,30
1238,29,26,Male,25,16,32,27,27
1239,32,31,Male,36,33,35,33,38
1240,12,48,Male,19,26,37,32,36
1241,25,30,Male,31,28,39,25,37
1242,26,16,Male,19,24,31,30,29
1243,14,48,Male,24,25,40,35,45
1244,33,21,Male,13,27,38,29,25
1245,32,39,Male,19,15,33,29,13
1246,32,44,Male,27,30,42,32,29
1247,21,34,Male,29,26,40,35,30
1248,18,49,Male,19,33,39,31,26
1249,30,36,Male,30,24,38,33,32
1250,29,53,Male,24,22,39,40,27
1251,22,17,Male,25,37,38,40,30
1252,23,42,Male,17,22,35,33,21
1253,23,24,Male,9,27,45,32,29
1254,27,23,Male,28,28,50,43,21
1255,33,34,Male,32,25,24,29,24
1256,31,27,Male,30,23,38,27,28
1257,18,38,Male,18,22,37,33,32
1258,25,30,Male,20,25,34,29,26
1259,21,53,Male,20,23,34,42,33
1260,33,55,Male,13,36,27,28,25
1261,18,47,Male,22,18,41,33,34
1262,22,42,Male,14,35,34,29,23
1263,27,23,Male,21,33,45,31,29
1264,28,33,Male,27,29,33,32,31
1265,31,42,Male,31,27,34,27,31
1266,25,23,Male,17,22,38,30,27
1267,21,45,Male,23,20,34,26,32
1268,25,21,Male,29,28,24,21,25
1269,27,36,Male,18,25,31,34,27
1270,25,39,Male,22,33,40,36,29
1271,24,34,Male,13,24,42,36,25
1272,23,32,Male,21,19,31,28,33
1273,33,47,Male,27,19,37,30,34
1274,15,44,Male,18,26,36,43,35
1275,33,29,Male,31,19,33,23,33
1276,31,24,Male,21,27,33,31,26
1277,17,41,Male,22,20,35,35,38
1278,26,26,Male,17,25,28,27,22
1279,17,72,Male,21,23,28,23,25
1280,17,46,Male,29,18,28,37,34
1281,31,26,Male,10,22,45,35,21
1282,14,45,Male,13,35,40,33,21
1283,26,13,Male,15,24,35,26,23
1284,33,29,Male,25,31,35,41,29
1285,35,23,Male,32,13,28,23,34
1286,14,29,Male,11,29,47,30,27
1287,20,51,Male,22,23,36,32,31
1288,29,47,Male,30,16,31,28,26
1289,23,32,Male,29,25,28,41,36
1290,29,23,Male,26,22,41,26,38
1291,14,37,Male,16,28,43,27,29
1292,22,49,Male,23,25,33,29,31
1293,31,40,Male,37,13,32,36,38
1294,27,39,Male,17,27,37,37,24
1295,31,13,Male,26,22,44,31,36
1296,26,41,Male,22,38,34,28,36
1297,24,25,Male,20,31,34,29,18
1298,32,29,Male,23,22,31,26,26
1299,29,38,Male,20,17,31,27,27
1300,20,34,Male,28,26,33,38,29
1301,22,32,Male,20,26,38,29,39
1302,22,36,Male,30,28,29,30,43
1303,30,58,Male,30,19,28,36,31
1304,32,34,Male,21,35,42,38,33
1305,28,31,Male,28,21,29,17,28
1306,17,46,Male,28,29,24,34,36
1307,23,33,Male,21,27,37,33,24
1308,20,36,Male,9,38,43,33,36
1309,27,24,Male,20,23,29,30,27
1310,42,16,Male,28,32,41,29,29
1311,27,25,Male,21,31,30,25,32
1312,11,50,Male,15,32,31,28,33
1313,27,16,Male,12,33,47,33,22
1314,16,26,Male,19,23,46,29,37
1315,25,32,Male,25,29,40,37,42
1316,19,29,Male,21,31,33,26,23
1317,19,25,Male,13,18,32,28,33
1318,30,31,Male,20,22,34,39,30
1319,22,44,Male,15,29,42,37,45
1320,22,40,Male,14,20,36,19,29
1321,27,43,Male,27,33,33,30,40
1322,18,44,Male,10,28,41,36,21
1323,31,43,Male,30,25,33,31,34
1324,28,33,Male,25,25,34,33,24
1325,26,38,Male,13,26,30,26,27
1326,26,24,Male,27,27,33,34,28
1327,20,49,Male,18,25,41,28,34
1328,28,28,Male,22,25,43,27,35
1329,27,40,Male,19,34,46,37,33
1330,30,14,Male,24,25,42,43,29
1331,32,26,Male,14,30,38,32,18
1332,23,49,Male,24,34,41,28,31
1333,21,37,Male,20,20,39,33,25
1334,26,31,Male,28,27,41,31,35
1335,24,43,Male,25,23,31,24,20
1336,18,56,Male,15,23,41,33,32
1337,24,37,Male,23,36,32,37,29
1338,37,12,Male,22,38,47,36,22
1339,19,57,Male,11,25,50,38,24
1340,31,14,Male,25,23,27,20,38
1341,18,36,Male,17,23,48,39,26
1342,39,27,Male,27,29,35,31,39
1343,21,26,Male,19,28,34,31,30
1344,13,38,Male,23,30,32,29,22
1345,27,35,Male,23,23,27,24,18
1346,25,21,Male,31,28,37,35,27
1347,32,32,Male,14,37,35,40,21
1348,27,31,Male,21,19,29,19,28
1349,29,45,Male,21,38,34,32,29
1350,16,41,Male,25,30,27,32,32
1351,26,24,Male,15,33,44,31,28
1352,17,29,Male,19,26,38,25,34
1353,26,16,Male,26,25,35,39,31
1354,32,19,Male,25,30,24,22,25
1355,27,43,Male,22,20,35,32,27
1356,27,17,Male,24,22,35,27,23
1357,10,45,Male,9,28,30,25,22
1358,20,50,Male,15,34,42,27,27
1359,25,12,Male,24,28,34,33,29
1360,24,39,Male,19,27,33,36,22
1361,12,63,Male,21,31,32,36,28
1362,27,32,Male,29,23,30,31,28
1363,20,50,Male,33,26,36,30,40
1364,24,15,Male,25,29,47,41,28
1365,27,21,Male,24,20,37,32,29
1366,18,53,Male,24,26,25,24,34
1367,35,21,Male,17,27,34,36,24
1368,11,47,Male,21,25,37,25,35
1369,33,20,Male,34,24,35,30,27
1370,21,26,Male,26,30,34,20,30
1371,20,45,Male,20,21,39,39,30
1372,26,30,Male,27,31,33,34,33
1373,35,41,Male,23,35,34,38,31
1374,27,29,Male,20,12,30,28,23
1375,31,34,Male,24,20,33,28,27
1376,33,15,Male,18,22,36,27,27
1377,33,36,Male,37,24,26,33,29
1378,26,20,Male,21,32,41,29,29
1379,37,35,Male,40,29,29,25,34
1380,42,14,Male,28,26,50,30,33
1381,24,27,Male,13,32,47,31,37
1382,26,27,Male,28,24,42,33,32
1383,25,27,Male,21,35,43,32,33
1384,36,42,Male,19,21,41,30,30
1385,28,39,Male,34,21,26,24,35
1386,21,57,Male,29,21,33,29,33
1387,24,40,Male,26,25,34,34,34
1388,27,36,Male,28,33,32,34,34
1389,36,18,Male,31,22,18,25,27
1390,21,39,Male,11,32,37,33,28
1391,17,47,Male,25,28,42,36,31
1392,30,37,Male,20,35,39,39,28
1393,27,57,Male,20,20,38,28,33
1394,23,43,Male,20,16,40,33,33
1395,26,34,Male,33,32,35,40,34
1396,22,47,Male,29,23,34,27,39
1397,28,35,Male,22,28,36,34,30
1398,27,16,Male,17,22,36,26,32
1399,28,26,Male,8,32,38,28,24
1400,28,28,Male,18,26,33,27,23
1401,17,45,Male,10,33,41,36,30
1402,24,44,Male,29,30,36,31,30
1403,24,49,Male,25,19,14,24,29
1404,39,38,Male,23,32,37,27,26
1405,25,39,Male,22,36,43,36,28
1406,21,29,Male,27,31,37,29,38
1407,31,13,Male,29,23,37,30,38
1408,23,47,Male,24,28,39,30,35
1409,26,52,Male,15,23,38,39,30
1410,32,43,Male,24,33,38,23,29
1411,26,28,Male,16,31,49,33,34
1412,35,46,Male,18,31,36,32,17
1413,22,44,Male,12,31,36,36,31
1414,28,19,Male,27,25,34,32,29
1415,31,12,Male,27,30,28,42,23
1416,19,40,Male,29,29,34,39,29
1417,20,30,Male,26,29,35,22,34
1418,20,46,Male,20,13,32,28,31
1419,24,44,Male,21,26,41,33,38
1420,25,16,Male,17,38,43,34,32
1421,35,26,Male,19,28,44,29,34
1422,32,36,Male,25,18,37,29,32
1423,34,27,Male,29,27,29,31,29
1424,21,49,Male,14,32,41,39,38
1425,28,22,Male,19,24,36,32,28
1426,34,28,Male,22,29,36,33,30
1427,22,24,Male,26,31,37,26,40
1428,31,28,Male,37,27,20,32,34
1429,31,48,Male,22,33,37,37,28
1430,26,43,Male,30,33,37,42,44
1431,23,38,Male,18,18,37,27,36
1432,24,18,Male,28,26,38,36,35
1433,18,22,Male,22,26,40,34,35
1434,17,15,Male,23,28,32,33,32
1435,24,39,Male,18,23,33,30,23
1436,20,44,Male,20,13,34,35,31
1437,16,37,Male,19,40,38,30,31
1438,31,39,Male,29,15,42,29,31
1439,21,19,Male,17,32,37,23,29
1440,20,34,Male,11,27,40,26,26
1441,30,16,Male,20,17,45,38,29
1442,29,29,Male,23,21,32,35,27
1443,22,40,Male,21,32,37,36,36
1444,35,23,Male,23,20,35,31,27
1445,39,21,Male,36,8,30,23,33
1446,19,25,Male,23,18,41,32,37
