participant,trialnumber,RT
18,84,674.1
18,85,682.4
18,86,683.6
18,87,687.3
18,88,697.1
18,89,689.8
18,90,699.1
18,91,698.6
18,92,694.8
18,93,704.4
18,94,703.8
18,95,710.4
18,96,715.7
18,97,718.7
18,98,721.6
18,99,728.4
18,100,729.2
19,1,391.4
19,2,399.1
19,3,393.6
19,4,397.4
19,5,401.1
19,6,409.5
19,7,407.5
19,8,413.2
19,9,416.8
19,10,426.1
19,11,423.4
19,12,425.9
19,13,431.9
19,14,436
19,15,437.9
19,16,442
19,17,444.4
19,18,448.9
19,19,448.8
19,20,458.8
19,21,463.1
19,22,464.9
19,23,467.1
19,24,473.7
19,25,477.4
19,26,480.8
19,27,473.7
19,28,484.7
19,29,490.7
19,30,491.2
19,31,490.9
19,32,498.1
19,33,497.9
19,34,502.5
19,35,504.8
19,36,509.2
19,37,509
19,38,518.6
19,39,518.7
19,40,530.3
19,41,523.9
19,42,530.7
19,43,525.2
19,44,540.7
19,45,535.5
19,46,548.3
19,47,551.9
19,48,550.3
19,49,555.2
19,50,563.1
19,51,564.5
19,52,560.3
19,53,568.2
19,54,569.8
19,55,574.2
19,56,582.5
19,57,582.9
19,58,582.9
19,59,588
19,60,597.8
19,61,597.8
19,62,595
19,63,599.9
19,64,607.3
19,65,611.3
19,66,625
19,67,616.4
19,68,620.6
19,69,624.4
19,70,623.5
19,71,636
19,72,632.3
19,73,636.1
19,74,638.6
19,75,648.5
19,76,654.8
19,77,655.1
19,78,660
19,79,659.5
19,80,661.5
19,81,664.6
19,82,667.6
19,83,671.3
19,84,676.4
19,85,682.7
19,86,689.9
19,87,684.7
19,88,689.5
19,89,691.2
19,90,702.9
19,91,706
19,92,705.9
19,93,708.6
19,94,708.5
19,95,713.6
19,96,719
19,97,727.8
19,98,727.3
19,99,732.9
19,100,735.3
20,1,386.7
20,2,393.6
20,3,398.5
20,4,406.9
20,5,404.4
20,6,405.1
20,7,414.3
20,8,423.9
20,9,425.7
20,10,420.8
20,11,429.6
20,12,434.1
20,13,434
20,14,439.5
20,15,452.8
20,16,449.8
20,17,455.3
20,18,456.2
20,19,467.3
20,20,471.1
20,21,473.4
20,22,476.7
20,23,478.5
20,24,483.1
20,25,483.6
20,26,492.4
20,27,497.3
20,28,509.6
20,29,502.3
20,30,509.4
20,31,517.3
20,32,519.5
20,33,519.1
20,34,521.9
20,35,532.5
20,36,539.8
20,37,537.4
20,38,546.1
20,39,552.2
20,40,554.6
20,41,549.1
20,42,560.1
20,43,555.3
20,44,566.3
20,45,573.3
20,46,580
20,47,579.6
20,48,585.1
20,49,586.8
20,50,593.3
20,51,602.2
20,52,603.3
20,53,607.1
20,54,611.3
20,55,604.8
20,56,612.1
20,57,623.6
20,58,623.5
20,59,622.8
20,60,634.9
20,61,636.6
20,62,639.6
20,63,647.4
20,64,651.6
20,65,649.2
20,66,659
20,67,665
20,68,666.8
20,69,674.9
20,70,674.4
20,71,678.5
20,72,682.7
20,73,692.7
20,74,687.9
20,75,693.3
20,76,701.4
20,77,704.8
20,78,707.3
20,79,709.4
20,80,718.6
20,81,723.2
20,82,724
20,83,736.8
20,84,730.5
20,85,734.4
20,86,742.8
20,87,748
20,88,741.9
20,89,754.8
20,90,759
20,91,761.8
20,92,766.6
20,93,766
20,94,774
20,95,771.4
20,96,780
20,97,785.7
20,98,792.1
20,99,793.2
20,100,801
