online,imp_1,imp_2,imp_3,imp_4,imp_5,imp_6,gain
online,Strongly Agree,Strongly Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,-30
casino,Agree,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-33
casino,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-5
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-8
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-3
online,Neither Disagree nor Agree,Disagree,Agree,Disagree,Neither Disagree nor Agree,Disagree,-24
online,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,-30
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-18
casino,Disagree,Strongly Disagree,Neither Disagree nor Agree,Disagree,Agree,Strongly Agree,-15
casino,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-21
casino,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,-15
online,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,-2
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-11
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Agree,Agree,-27
online,Agree,Agree,Agree,Disagree,Disagree,Strongly Disagree,-9
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-21
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-15
online,Agree,Neither Disagree nor Agree,Agree,Agree,Strongly Disagree,Disagree,-21
casino,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-16
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-26
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-25
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-27
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,-19
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-21
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Disagree,-15
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-26
casino,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-17
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-25
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,-14
online,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-44
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-13
online,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,7
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-19
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-19
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-22
casino,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,2
online,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,8
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Strongly Disagree,Disagree,-27
online,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-8
online,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-12
casino,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Agree,Agree,-28
online,Agree,Disagree,Agree,Disagree,Neither Disagree nor Agree,Disagree,-25
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Agree,-19
online,Agree,Strongly Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,-13
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-9
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,-4
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-3
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-26
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-26
casino,Disagree,Agree,Disagree,Disagree,Strongly Agree,Neither Disagree nor Agree,-5
online,Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Strongly Disagree,-9
online,Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Disagree,-42
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-17
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-2
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-14
online,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-29
online,Disagree,Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-16
online,Agree,Strongly Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Disagree,-15
casino,Disagree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,-9
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,-10
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-16
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,Strongly Agree,-20
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Disagree,-25
casino,Disagree,Disagree,Disagree,Disagree,Agree,Agree,-26
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,-18
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-31
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,3
casino,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neither Disagree nor Agree,-16
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
online,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-19
casino,Disagree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Agree,Agree,-6
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Agree,Disagree,8
online,Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-10
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-4
casino,Disagree,Neither Disagree nor Agree,Disagree,Strongly Agree,Neither Disagree nor Agree,Agree,-11
casino,Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-21
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-8
casino,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,0
online,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-10
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-22
online,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-25
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,3
online,Disagree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-13
casino,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-24
online,Agree,Agree,Agree,Strongly Disagree,Neither Disagree nor Agree,Disagree,-17
casino,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Agree,-5
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Strongly Disagree,Disagree,Neither Disagree nor Agree,-23
casino,Disagree,Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,-17
online,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,-33
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,2
casino,Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-26
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,-6
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,-20
casino,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-17
casino,Disagree,Disagree,Disagree,Strongly Disagree,Agree,Strongly Agree,-16
casino,Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,-15
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Agree,Neither Disagree nor Agree,-20
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree,-14
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Agree,Neither Disagree nor Agree,-14
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-39
online,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Disagree,-9
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,-16
casino,Agree,Agree,Agree,Disagree,Disagree,Agree,-17
online,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,-9
casino,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-6
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-22
online,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-2
casino,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
casino,Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-31
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-24
casino,Agree,Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-24
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-19
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Agree,Agree,-15
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-11
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Strongly Disagree,Neither Disagree nor Agree,-18
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-19
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Disagree,-15
casino,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Disagree,-31
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-12
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-14
online,Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-35
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-17
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Agree,-4
casino,Disagree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-2
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-29
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,-20
casino,Disagree,Strongly Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-4
casino,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,-4
online,Agree,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-35
casino,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,-3
online,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Strongly Disagree,-9
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Neither Disagree nor Agree,-16
casino,Disagree,Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,-8
casino,Neither Disagree nor Agree,Agree,Disagree,Agree,Neither Disagree nor Agree,Agree,-29
casino,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Disagree,-5
casino,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,-11
casino,Disagree,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-22
online,Strongly Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,-25
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-18
casino,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,-13
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
online,Agree,Agree,Agree,Disagree,Disagree,Disagree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Agree,-12
casino,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-35
online,Disagree,Neither Disagree nor Agree,Disagree,Disagree,Agree,Agree,-4
casino,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-32
online,Neither Disagree nor Agree,Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-7
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Disagree,-16
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,6
casino,Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,Agree,-24
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,-2
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-25
casino,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-34
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Agree,-2
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-14
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,-10
online,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-30
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,Disagree,0
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-25
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Strongly Disagree,-12
online,Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,-19
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,-40
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Disagree,Agree,-25
casino,Disagree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-10
casino,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-28
online,Agree,Agree,Neither Disagree nor Agree,Strongly Agree,Disagree,Strongly Disagree,-32
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-27
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-15
casino,Strongly Disagree,Disagree,Disagree,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-17
online,Strongly Disagree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,-22
online,Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-40
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-18
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-12
online,Agree,Agree,Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,-33
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Disagree,-27
online,Agree,Agree,Agree,Disagree,Disagree,Disagree,-34
casino,Disagree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Agree,-28
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-7
online,Agree,Agree,Agree,Agree,Disagree,Disagree,-13
casino,Disagree,Neither Disagree nor Agree,Agree,Disagree,Agree,Neither Disagree nor Agree,-26
casino,Neither Disagree nor Agree,Disagree,Disagree,Strongly Disagree,Neither Disagree nor Agree,Agree,-14
casino,Disagree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,-22
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Agree,-24
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Agree,Neither Disagree nor Agree,-7
online,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Disagree,-14
casino,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-26
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Disagree,Disagree,-17
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Agree,Neither Disagree nor Agree,Disagree,-23
online,Agree,Strongly Agree,Agree,Agree,Disagree,Disagree,-28
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,-20
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,-32
casino,Strongly Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-24
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-14
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Agree,2
casino,Agree,Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-28
casino,Disagree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-6
online,Agree,Agree,Neither Disagree nor Agree,Disagree,Strongly Disagree,Neither Disagree nor Agree,-5
casino,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-9
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-11
casino,Strongly Disagree,Disagree,Disagree,Neither Disagree nor Agree,Strongly Agree,Strongly Agree,-1
casino,Strongly Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Agree,-7
online,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,-17
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-20
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-33
online,Agree,Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,0
online,Strongly Agree,Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Disagree,-22
casino,Neither Disagree nor Agree,Disagree,Strongly Disagree,Disagree,Agree,Agree,-1
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Strongly Agree,Strongly Disagree,Agree,2
online,Neither Disagree nor Agree,Disagree,Agree,Agree,Disagree,Disagree,-23
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-16
online,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,-12
casino,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Disagree,-19
casino,Disagree,Disagree,Strongly Disagree,Disagree,Agree,Neither Disagree nor Agree,-18
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Disagree,Disagree,-14
online,Disagree,Strongly Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,0
casino,Neither Disagree nor Agree,Agree,Disagree,Neither Disagree nor Agree,Agree,Disagree,-16
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-8
casino,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-10
online,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Agree,Neither Disagree nor Agree,Disagree,-12
online,Strongly Agree,Disagree,Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,-19
casino,Strongly Agree,Neither Disagree nor Agree,Agree,Agree,Disagree,Disagree,-17
online,Strongly Agree,Agree,Agree,Neither Disagree nor Agree,Disagree,Disagree,-11
online,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Agree,Neither Disagree nor Agree,-6
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-9
online,Strongly Agree,Strongly Agree,Strongly Agree,Neither Disagree nor Agree,Strongly Disagree,Strongly Disagree,-44
casino,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,-11
casino,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-7
online,Strongly Agree,Strongly Agree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,-17
casino,Disagree,Disagree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-13
casino,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Agree,1
online,Agree,Strongly Agree,Disagree,Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-25
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-13
online,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-10
casino,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Strongly Disagree,Neither Disagree nor Agree,Agree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,-20
casino,Neither Disagree nor Agree,Neither Disagree nor Agree,Neither Disagree nor Agree,Disagree,Neither Disagree nor Agree,Neither Disagree nor Agree,-9
