"PS1","PS2","PS3","PS4","PS5","PS6","FA1","FA2","FA3","FA4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4","ID"
2,4,3,3,2,2,3,4,4,5,1,1,2,1,2,2,2,2,347
2,3,4,3,2,2,2,2,2,2,2,3,3,2,3,3,4,3,348
2,3,2,2,3,2,2,2,3,2,3,2,2,3,1,2,2,2,349
4,3,3,4,3,3,3,3,3,3,4,3,5,4,3,3,3,3,350
1,3,3,2,3,1,3,3,4,3,2,2,2,2,2,3,2,3,351
3,4,3,3,2,2,4,2,2,2,4,4,3,3,3,3,3,3,352
3,2,3,3,4,4,5,4,3,3,3,3,3,3,3,2,2,3,353
4,4,3,5,4,4,3,3,3,3,3,2,4,3,3,3,4,3,354
2,4,3,2,3,3,4,3,2,3,4,2,4,2,3,4,2,3,355
4,3,3,3,3,3,4,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,356
3,3,2,4,3,3,3,3,4,2,3,3,4,3,3,4,4,2,357
2,3,3,2,2,3,3,4,4,5,3,3,3,2,3,2,3,3,358
2,2,3,1,1,3,4,3,4,2,3,3,3,4,4,2,4,3,359
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,3,3,3,3,360
2,3,4,3,3,4,4,5,5,5,4,2,4,4,3,2,2,2,361
2,3,3,3,2,3,3,2,3,3,2,3,2,3,2,2,2,1,362
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,363
3,2,3,2,2,1,2,4,3,2,4,3,4,3,2,3,2,2,364
2,3,3,2,3,1,4,4,3,2,3,3,4,2,3,3,2,3,365
3,3,2,3,2,2,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,366
2,3,3,2,2,1,4,3,4,3,3,3,3,3,2,2,1,1,367
5,4,4,5,4,5,2,2,4,2,4,4,4,3,4,4,4,4,368
5,5,4,3,4,4,2,2,3,3,3,3,4,2,4,3,4,5,369
3,2,2,2,3,3,4,4,4,4,1,2,2,3,3,2,2,2,370
3,4,3,3,4,2,5,4,4,4,3,3,3,3,3,3,3,2,371
4,4,3,4,2,3,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,372
2,3,2,2,3,2,2,2,3,1,4,4,4,4,4,4,3,2,373
4,4,3,4,4,4,3,3,3,3,4,4,4,4,3,3,4,3,374
3,4,4,2,4,4,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,375
2,3,3,3,3,1,4,3,5,3,4,3,3,3,2,3,2,3,376
4,3,3,4,4,3,3,3,2,3,4,4,4,3,3,3,4,4,377
3,4,3,4,4,2,3,3,3,2,3,2,4,3,2,2,2,2,378
2,3,3,2,3,3,3,3,2,3,4,3,4,3,3,3,2,3,379
3,3,4,3,2,3,3,4,2,3,2,2,2,2,3,3,3,4,380
3,3,3,2,3,4,2,3,3,2,2,3,3,4,3,4,4,3,381
2,5,4,5,3,2,2,3,3,1,3,3,4,3,3,3,3,3,382
4,4,4,4,4,2,2,3,3,3,3,4,2,3,3,2,3,4,383
3,3,3,3,2,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,384
3,3,4,3,3,3,1,2,2,2,3,3,3,3,3,3,2,4,385
3,4,3,4,3,4,4,4,4,4,2,2,3,2,2,2,2,3,386
3,4,4,3,3,3,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,387
3,3,4,3,4,3,4,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,388
4,4,5,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,389
4,4,4,4,3,4,3,2,3,2,5,4,5,4,3,4,4,5,390
4,4,4,3,4,3,2,3,4,2,NA,NA,NA,NA,NA,NA,NA,NA,391
3,3,3,3,3,3,3,3,3,2,2,3,3,1,3,2,3,3,392
2,4,4,4,3,3,4,4,3,3,3,4,4,3,4,4,3,4,393
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,394
3,4,3,4,3,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,395
3,3,3,3,2,3,5,3,3,3,3,2,2,3,2,2,2,3,396
2,3,4,3,3,1,3,4,5,2,4,3,4,4,3,3,2,2,397
3,2,3,3,2,2,4,4,5,5,NA,NA,NA,NA,NA,NA,NA,NA,398
3,4,5,3,3,3,3,3,3,2,3,3,3,3,3,4,3,3,399
2,4,2,3,2,1,3,4,4,5,5,4,4,4,5,2,4,4,400
3,4,4,5,4,4,3,2,2,3,4,3,3,3,4,3,5,3,401
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,402
3,4,3,4,3,4,1,1,1,2,4,4,4,4,3,3,3,3,403
2,3,3,4,4,3,4,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,404
3,4,2,3,3,3,3,4,3,3,3,3,4,3,3,4,3,4,405
3,4,4,4,3,4,4,3,4,2,3,2,2,3,3,3,3,3,406
2,2,2,3,3,1,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,407
2,3,3,2,3,2,4,4,3,3,4,3,4,4,2,3,2,3,408
3,4,4,3,4,4,3,3,2,3,5,4,5,4,3,4,3,3,409
4,3,3,2,3,2,3,3,4,4,2,3,2,3,2,3,1,3,410
2,3,3,1,2,1,3,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,411
3,3,3,4,3,3,4,2,2,3,4,4,4,3,4,3,3,2,412
5,5,4,4,4,4,3,3,3,3,4,3,4,3,4,4,3,4,413
3,2,3,3,3,1,5,4,3,3,2,3,3,2,2,4,2,3,414
1,3,2,2,1,2,3,4,5,5,1,2,1,2,1,1,1,2,415
2,3,2,2,3,2,4,5,5,4,3,3,3,2,3,3,4,2,416
3,4,1,2,3,2,3,4,3,2,2,3,1,2,3,3,4,2,417
2,4,3,2,3,3,4,3,5,4,2,2,2,3,1,3,2,2,418
3,3,3,4,4,2,2,2,2,2,4,3,4,4,4,3,4,3,419
3,4,3,4,3,3,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,420
4,3,3,2,3,2,3,3,3,4,3,3,4,2,3,5,2,3,421
2,1,2,2,2,1,4,2,3,3,3,2,3,2,3,3,2,3,422
4,3,4,4,4,3,3,2,3,3,4,3,4,4,4,5,2,5,423
4,4,3,4,3,4,3,3,2,2,5,4,5,5,5,5,5,4,424
3,3,3,3,2,2,3,4,3,2,2,3,3,2,2,2,3,3,425
2,1,2,2,2,3,4,5,4,4,2,2,2,3,3,2,2,2,426
3,3,2,2,2,2,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,427
1,3,4,3,2,3,3,4,4,3,3,3,3,3,3,3,4,4,428
3,4,5,3,3,4,2,2,3,3,5,2,4,3,4,3,4,4,429
2,2,2,3,2,1,3,5,4,5,4,4,4,4,4,3,4,4,430
2,4,3,3,3,4,2,3,3,2,5,4,5,3,4,4,4,4,431
4,3,4,3,3,4,4,3,3,3,5,5,4,4,4,4,3,3,432
4,5,5,4,4,5,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,433
4,2,4,3,3,3,3,3,3,3,5,4,5,4,4,4,4,3,434
3,3,2,3,3,2,4,3,4,3,4,4,4,5,4,4,3,3,435
3,5,2,2,2,2,2,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,436
3,2,3,2,3,2,2,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,437
3,4,3,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,438
3,4,3,4,4,2,4,4,4,3,4,3,4,3,3,3,3,3,439
3,4,3,4,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,440
3,4,3,4,3,2,3,2,3,3,4,3,3,4,4,2,3,3,441
3,3,3,3,2,4,3,4,4,3,4,3,4,3,2,4,3,3,442
3,3,3,4,3,2,1,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA,443
2,3,3,3,2,2,3,4,4,3,3,3,4,3,3,3,3,4,444
3,2,3,2,2,4,2,3,2,2,4,4,4,3,3,5,3,4,445
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,1,1,2,446
2,3,4,4,3,4,3,2,1,2,4,3,4,2,4,3,3,3,447
3,3,4,3,3,2,3,3,3,2,3,3,3,3,4,5,2,3,448
3,3,3,2,3,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,449
3,4,2,2,2,2,4,3,2,2,4,3,4,2,3,2,3,4,450
3,4,2,4,3,4,3,2,3,4,3,3,3,3,3,4,2,3,451
1,2,3,3,2,2,4,5,4,4,3,3,4,2,3,2,3,3,452
3,4,2,3,3,4,3,4,3,4,4,4,4,4,3,4,2,4,453
1,1,1,2,1,2,4,5,5,3,3,2,2,2,2,2,2,2,454
4,3,4,5,3,5,2,2,3,3,3,3,3,2,4,3,3,3,455
5,5,4,4,4,4,2,2,2,2,4,4,3,4,4,5,4,5,456
2,2,2,3,3,2,3,5,4,5,2,2,3,2,2,3,1,2,457
3,3,4,3,4,2,2,4,3,3,3,3,2,3,4,3,3,2,458
3,3,4,4,3,3,4,4,4,3,3,2,3,2,3,3,3,3,459
4,3,4,4,2,3,3,3,2,3,5,4,4,4,4,4,3,4,460
2,2,3,3,3,1,4,3,4,2,3,3,2,2,3,3,3,2,461
4,5,3,5,4,3,2,3,3,3,4,3,4,3,4,5,4,2,462
2,2,3,2,2,2,2,4,4,3,2,1,2,2,1,2,2,1,463
2,3,3,3,2,4,4,4,3,3,2,2,3,2,2,2,3,4,464
3,4,3,4,4,4,2,3,3,2,3,3,4,2,3,4,3,5,465
4,5,5,4,4,4,2,2,3,2,5,3,5,3,4,5,5,5,466
3,3,1,2,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,467
3,2,3,2,2,3,4,3,5,3,3,2,4,3,2,3,2,3,468
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,3,3,2,3,2,2,469
2,2,2,2,3,2,4,4,3,3,2,3,3,2,2,2,2,2,470
3,2,4,2,3,2,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,471
2,3,3,2,2,3,3,4,3,4,4,3,3,3,3,3,3,4,472
3,3,3,3,3,3,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,473
2,3,3,3,2,2,2,4,3,3,4,3,3,3,2,3,1,3,474
2,2,1,2,2,2,4,5,5,4,3,2,3,2,1,1,2,3,475
3,3,4,4,2,4,4,4,4,3,2,2,3,3,3,3,2,3,476
3,3,3,2,3,3,4,3,2,1,3,3,3,3,4,4,2,3,477
2,2,3,3,4,3,2,2,2,2,4,3,4,3,2,2,3,3,478
3,2,2,3,2,3,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA,479
4,4,3,2,3,3,2,3,2,2,2,4,3,2,4,2,3,1,480
3,3,3,3,2,2,1,2,2,3,4,4,4,2,3,3,3,3,481
2,3,4,2,3,3,2,3,3,2,4,4,4,4,3,4,2,5,482
3,4,2,4,2,3,3,3,4,4,4,4,4,4,3,3,3,4,483
4,3,3,2,3,3,3,3,3,2,4,3,2,4,3,4,4,3,484
2,4,3,3,4,2,3,3,4,3,2,4,3,4,3,3,4,3,485
4,3,3,1,3,2,3,4,3,2,1,2,3,3,2,3,3,2,486
3,2,3,3,3,1,4,5,4,4,3,4,3,3,3,3,3,4,487
2,4,3,4,2,3,4,2,3,4,3,3,4,3,4,3,3,4,488
3,3,3,2,1,3,3,5,4,4,3,2,2,3,2,2,2,1,489
2,2,2,3,2,3,3,2,2,3,3,3,3,3,2,4,3,2,490
2,3,3,3,2,2,2,2,3,3,4,4,4,3,3,2,4,3,491
3,3,4,4,2,3,3,2,4,3,4,3,4,4,3,4,3,4,492
2,3,3,2,2,2,2,4,4,4,2,3,3,2,2,3,3,2,493
3,4,4,4,1,3,4,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,494
3,4,4,3,3,4,4,5,3,3,3,3,3,2,3,3,4,4,495
1,1,3,1,2,2,3,3,4,3,2,1,2,2,2,2,3,3,496
4,2,3,4,3,4,3,4,3,2,2,3,3,3,3,3,3,3,497
3,2,4,3,3,4,3,3,2,3,3,3,3,3,3,2,3,1,498
2,3,4,3,3,2,3,3,4,4,2,2,3,2,2,2,2,4,499
2,2,1,3,2,2,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,500
4,3,3,3,2,4,4,4,3,1,4,4,4,3,4,4,4,3,501
4,4,4,4,3,5,2,2,3,3,5,4,5,3,3,4,3,4,502
2,4,2,2,2,2,3,3,3,2,3,4,3,2,2,3,3,2,503
3,3,3,3,3,5,1,2,3,2,3,3,3,3,3,4,3,3,504
4,2,3,3,3,3,3,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,505
1,3,3,2,3,1,3,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,506
2,3,3,2,3,2,2,2,2,3,4,2,4,2,4,4,4,4,507
3,4,4,4,3,3,3,3,4,3,2,3,2,3,3,3,3,3,508
3,2,3,2,2,1,4,3,4,4,4,2,3,2,3,3,4,3,509
3,3,4,4,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,510
3,4,3,3,2,3,3,4,3,4,3,3,4,2,3,2,3,2,511
3,3,3,3,3,2,4,3,2,3,4,3,3,2,3,3,3,3,512
2,3,3,1,2,1,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA,513
4,4,4,4,4,3,4,4,4,3,4,3,4,2,3,4,4,3,514
3,4,3,4,4,3,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,515
3,3,3,4,2,3,1,3,4,3,4,4,4,4,3,3,3,4,516
3,3,2,3,3,2,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,517
3,3,2,2,2,1,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,518
2,3,2,2,2,2,4,4,3,4,4,3,5,3,3,3,4,2,519
2,3,3,3,3,4,4,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,520
2,3,4,2,2,2,4,2,3,3,3,4,3,3,4,3,4,4,521
1,1,3,1,2,2,2,2,3,3,3,3,3,3,2,2,2,3,522
3,3,2,3,2,2,5,4,4,3,2,3,3,3,2,3,3,2,523
3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,4,3,4,524
4,4,4,3,3,4,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,525
4,4,4,4,4,3,3,3,2,1,4,4,4,3,3,4,4,4,526
3,4,3,4,3,3,2,3,3,3,4,4,4,3,4,3,4,3,527
3,2,3,3,3,2,3,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,528
2,3,4,4,4,3,2,2,3,3,3,4,3,3,3,3,4,4,529
4,4,3,3,4,3,3,3,3,3,4,3,5,4,4,4,4,5,530
3,3,3,1,2,1,4,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,531
2,4,4,2,3,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,532
3,3,4,4,3,4,3,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA,533
3,4,3,2,3,2,3,4,4,3,3,3,3,4,2,3,1,3,534
2,3,3,3,3,3,3,3,3,3,4,2,3,3,2,2,2,4,535
4,4,4,3,4,3,2,2,3,2,3,3,3,3,3,3,3,3,536
3,2,3,2,3,3,4,3,3,3,3,3,3,4,3,3,3,3,537
1,2,4,2,3,2,4,3,4,3,2,2,3,3,3,3,3,2,538
3,3,3,3,3,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,539
3,3,2,2,3,3,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,540
2,2,2,2,2,2,4,3,4,5,1,3,2,2,3,3,3,1,541
3,4,3,3,2,3,5,4,3,3,4,4,3,3,4,3,4,2,542
1,1,2,1,1,1,2,3,4,2,4,2,4,1,2,2,2,2,543
2,2,2,3,2,1,3,3,2,3,3,3,3,4,2,3,1,2,544
1,2,2,1,3,2,5,4,4,4,2,2,2,2,2,1,2,1,545
2,3,3,2,2,1,3,3,4,4,3,3,2,3,3,2,1,3,546
2,3,2,1,2,2,4,4,4,3,3,3,3,3,3,2,2,5,547
2,2,3,2,2,2,4,4,4,3,2,3,2,2,3,2,1,2,548
2,3,3,2,3,3,2,4,4,4,4,3,5,3,3,2,3,2,549
4,4,4,4,3,5,3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,550
2,4,3,4,3,3,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,551
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,552
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,553
1,2,2,2,1,1,3,4,5,2,2,3,3,3,3,3,2,3,554
3,3,2,1,3,2,3,4,3,3,4,3,4,3,4,3,3,2,555
3,5,5,5,5,5,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,556
4,4,3,3,3,2,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,557
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,558
2,1,2,3,1,2,3,4,4,3,2,1,3,1,1,1,1,1,559
3,4,4,3,4,2,3,3,4,3,5,4,5,4,3,3,3,4,560
