"FOMO","Age","N","E","O","A","C","TotalFollowers"
36,31,19,40,40,34,35,357
36,21,24,27,41,38,35,268
33,43,23,12,30,31,35,181
32,28,29,28,40,28,42,134
11,56,15,26,36,34,39,53
46,38,28,30,42,32,24,225
25,23,23,26,40,36,37,266
25,52,25,26,39,36,39,204
32,30,26,18,35,25,26,236
18,35,19,32,47,40,32,238
31,37,19,34,34,31,29,188
26,25,21,26,40,23,27,74
25,22,17,37,31,31,24,135
31,34,24,27,29,23,24,76
22,38,17,35,46,32,40,242
23,29,26,22,40,30,36,95
19,59,32,17,38,32,37,25
22,12,30,26,39,30,38,225
28,13,13,30,37,24,34,87
34,26,27,27,41,40,33,245
33,33,22,16,39,29,32,219
22,26,18,27,41,27,29,103
23,35,19,22,46,31,24,208
14,25,21,27,41,36,38,300
26,15,21,37,45,34,32,200
24,32,10,29,46,30,38,159
23,41,26,32,46,37,38,110
29,22,24,31,50,36,30,267
24,33,20,19,44,24,33,63
25,33,18,30,36,34,32,284
23,41,20,17,33,31,26,204
29,48,22,19,39,32,37,223
30,38,27,32,26,35,32,228
22,21,27,29,35,29,33,139
24,28,26,19,38,26,36,159
22,33,26,26,41,29,35,144
31,28,29,28,39,35,30,353
19,18,31,29,35,20,31,165
21,22,24,21,39,26,39,87
26,57,19,32,46,33,30,278
19,43,18,15,40,30,31,86
16,37,15,23,34,40,32,199
33,31,29,21,36,30,26,468
21,51,17,25,32,26,30,194
23,21,16,35,36,28,24,163
35,28,20,34,41,36,27,276
22,31,23,34,45,36,37,282
23,14,19,37,46,31,38,380
24,40,15,26,33,28,31,307
23,12,17,34,31,30,37,191
31,39,25,26,37,32,31,35
13,26,26,27,38,35,31,194
21,15,37,21,34,39,42,206
24,47,18,26,31,26,35,217
32,44,23,23,29,27,20,133
33,47,29,24,28,28,33,211
36,38,28,25,33,34,30,170
22,31,10,38,39,31,31,140
23,33,27,29,34,38,33,258
23,46,24,23,42,30,25,227
20,56,23,25,27,33,32,264
36,28,12,33,48,27,25,136
24,20,21,29,30,27,26,170
38,20,35,24,46,33,31,159
15,28,15,31,32,34,29,257
29,40,29,24,30,35,33,189
25,38,29,25,29,34,34,266
23,28,17,29,32,26,35,185
19,30,24,23,44,31,32,32
24,54,29,17,40,28,37,250
25,34,20,16,41,27,29,229
28,41,17,30,42,23,25,153
20,40,26,29,44,27,34,112
23,30,22,19,42,24,32,230
33,39,21,32,32,37,39,301
20,30,28,30,33,32,42,245
31,40,32,20,32,27,40,87
25,25,21,20,31,27,20,187
26,24,21,16,26,33,36,194
26,38,19,15,37,31,29,212
25,14,30,17,46,35,22,233
28,43,26,19,29,29,23,341
43,26,24,25,44,29,22,276
40,16,31,31,38,27,30,287
20,25,31,22,39,27,22,220
19,30,15,24,47,40,30,120
20,46,32,22,36,34,33,154
28,37,20,34,43,28,30,245
22,53,12,32,32,33,29,188
29,31,27,30,41,36,28,253
21,25,22,21,35,20,27,214
17,42,17,23,34,30,35,90
23,42,21,30,41,29,36,145
22,45,30,32,37,24,30,125
22,36,14,26,30,31,19,159
23,35,12,29,32,28,25,165
18,36,28,20,26,34,37,250
31,32,23,24,37,32,26,175
33,23,27,22,38,35,29,113
25,38,24,15,37,29,41,184
25,16,18,39,41,22,37,185
21,44,20,21,34,27,23,127
32,23,26,23,35,20,30,167
23,37,16,31,44,30,33,151
30,38,30,26,38,39,39,246
21,36,27,36,32,31,31,364
26,32,23,34,45,32,40,249
17,48,19,27,43,26,38,49
22,41,29,38,37,26,31,243
28,17,22,23,40,36,36,413
40,33,32,15,43,25,30,277
21,36,24,26,36,35,28,407
22,28,18,22,38,30,35,354
23,25,29,23,30,26,32,293
15,37,25,30,40,30,28,276
24,38,26,24,37,36,32,107
40,26,38,19,32,26,25,306
38,25,21,36,42,35,20,140
22,36,23,22,38,34,29,118
42,24,31,25,27,32,28,146
11,45,17,28,40,26,42,112
35,34,33,27,43,33,29,251
26,29,26,9,40,34,36,302
22,27,24,27,43,34,30,264
19,33,17,34,31,29,32,74
21,27,22,27,42,30,34,244
15,37,24,18,38,32,29,146
22,20,24,29,32,29,28,263
21,15,27,36,36,31,34,258
31,35,27,26,33,32,29,55
14,41,26,25,37,35,32,154
19,50,27,35,45,30,36,73
27,44,24,20,38,27,29,215
29,29,30,24,36,30,34,236
16,44,28,26,26,30,38,192
19,42,24,37,38,36,33,234
26,20,20,31,37,34,40,37
30,22,24,27,42,29,31,241
16,31,19,26,31,32,32,148
25,25,26,24,44,35,24,157
22,38,15,30,48,35,25,170
25,35,17,33,35,30,28,324
34,34,35,22,47,29,35,222
30,44,34,30,40,33,35,187
28,45,19,27,36,39,33,311
21,29,25,17,33,25,34,43
23,34,15,19,48,31,24,305
35,25,22,32,46,37,19,314
38,47,34,18,37,34,33,239
28,54,26,14,37,39,29,308
20,46,28,29,29,25,33,233
17,35,18,25,47,33,24,165
27,32,25,31,39,28,25,182
21,31,26,24,36,35,24,218
28,24,20,36,40,40,34,401
28,21,27,17,38,28,32,136
33,41,27,34,39,26,32,319
21,53,20,31,31,27,33,344
19,26,29,19,37,24,25,54
15,36,20,23,39,36,32,287
25,38,21,25,43,34,29,263
29,28,27,24,45,28,29,163
22,18,18,19,38,28,21,138
27,43,10,35,31,26,32,130
40,56,33,23,29,33,25,150
25,21,26,25,39,28,30,51
21,41,24,26,42,19,33,86
21,44,22,25,40,34,32,103
29,38,28,30,36,24,23,206
23,30,17,24,43,28,18,87
16,25,24,24,39,28,43,172
22,40,27,23,38,36,33,79
31,47,25,20,28,28,26,274
23,17,25,29,46,32,29,294
21,44,19,28,43,30,28,177
29,36,26,17,29,29,20,275
22,40,21,30,50,28,43,64
13,34,16,27,31,35,14,116
26,38,14,38,32,28,30,184
37,18,29,18,36,38,31,271
32,39,23,17,40,31,23,285
18,35,19,24,33,28,31,86
33,13,37,24,40,26,35,337
37,12,33,14,44,34,25,241
39,19,26,20,33,26,24,195
23,40,21,26,33,24,26,170
17,43,22,35,36,31,41,281
15,50,18,32,42,21,36,145
22,39,22,31,37,38,28,155
35,32,35,29,37,23,34,270
36,51,24,17,43,35,29,202
32,19,33,24,36,23,41,124
16,48,14,27,34,33,29,253
19,31,13,23,35,39,29,25
17,50,22,33,39,26,36,223
38,28,38,18,33,29,25,286
24,30,18,32,37,26,24,285
36,24,27,20,42,17,31,99
25,30,29,26,43,25,36,31
38,18,24,25,40,23,24,339
10,31,17,39,41,36,39,175
24,36,23,23,40,30,30,97
26,42,17,29,49,26,32,178
33,35,27,25,36,25,36,298
30,29,20,38,36,39,28,345
24,33,27,24,34,21,28,160
24,30,25,29,44,36,32,350
38,13,29,31,29,30,23,335
19,29,24,28,35,30,30,359
15,29,9,34,30,27,25,76
30,28,22,22,29,28,31,162
30,44,27,26,36,35,37,150
19,49,20,15,35,27,30,227
12,71,11,27,36,39,29,120
28,13,16,22,39,25,23,108
23,16,28,22,34,29,29,294
13,42,27,14,33,39,26,222
28,22,26,11,40,31,31,120
28,27,25,21,41,27,22,84
28,37,25,23,37,33,30,253
32,29,21,22,38,31,26,317
22,36,21,25,40,34,26,201
26,21,25,19,38,29,31,152
23,32,13,28,49,25,29,38
21,34,28,30,32,37,33,157
21,36,20,25,37,31,34,230
18,42,19,25,28,28,27,217
22,49,21,15,42,34,30,5
18,27,20,27,43,31,28,212
22,33,22,30,39,29,25,29
33,18,27,22,50,35,32,375
27,28,27,30,36,38,34,441
31,26,25,23,39,31,29,209
22,28,14,26,45,25,33,172
28,15,33,16,41,34,36,301
29,21,18,31,39,40,26,296
29,30,12,26,41,28,29,151
26,43,21,22,47,36,30,70
21,23,22,27,35,33,34,206
33,41,27,20,36,36,27,358
24,36,30,21,39,25,30,184
25,34,16,30,47,30,24,95
31,42,16,17,31,32,18,166
34,40,30,21,38,33,28,253
26,40,34,22,35,25,29,165
17,31,15,20,48,25,30,139
34,53,25,31,36,36,28,309
13,34,19,29,21,39,25,254
16,58,13,27,44,38,28,22
28,31,30,28,30,37,31,311
10,32,18,26,44,32,32,177
24,13,27,21,36,31,27,107
18,51,28,29,36,35,41,350
18,41,17,21,32,33,26,22
27,42,32,23,33,24,35,257
29,42,30,23,30,34,32,318
23,39,17,26,26,24,30,170
26,29,24,27,38,37,32,261
37,12,19,28,36,37,33,100
28,35,23,23,36,28,36,100
28,38,31,24,28,31,32,336
24,31,14,13,42,29,30,129
24,37,25,30,42,25,34,208
31,20,23,13,32,34,27,178
28,31,16,34,41,29,31,111
25,36,30,14,41,24,31,171
25,42,23,24,28,32,38,197
18,33,19,33,44,35,31,156
24,35,27,22,43,27,26,132
36,34,22,34,44,25,25,175
17,38,11,29,43,31,37,143
27,38,24,20,37,29,34,246
15,43,17,18,45,29,35,44
13,47,27,27,40,43,34,223
29,33,35,20,36,36,29,361
25,35,16,30,38,29,25,341
36,13,23,34,39,37,26,307
22,42,18,28,47,34,26,198
18,47,26,17,28,36,36,97
28,54,18,30,25,21,25,214
29,32,32,24,38,36,38,340
12,31,16,22,38,36,18,220
29,22,26,32,36,28,35,231
11,52,15,20,34,32,27,37
27,36,14,29,46,35,34,160
26,32,25,26,37,31,37,342
16,40,28,17,32,30,30,122
19,36,30,19,41,38,33,199
29,34,21,37,41,31,39,301
34,28,27,38,40,17,35,206
39,37,22,29,41,39,24,275
22,22,26,28,38,32,34,250
34,26,29,35,47,17,34,331
20,45,21,26,34,20,23,46
27,39,23,24,38,29,20,82
32,33,19,22,32,28,38,50
24,38,22,17,43,36,26,98
27,24,10,25,39,24,28,94
24,20,21,32,45,41,28,199
21,32,24,28,44,24,36,325
30,12,28,21,40,32,36,254
27,26,26,25,37,29,30,232
31,39,19,29,46,30,32,310
32,20,22,31,38,23,34,98
30,47,22,24,46,29,30,129
23,26,26,16,35,33,18,112
30,46,30,26,29,22,29,86
23,41,19,29,42,28,35,271
20,26,15,32,36,32,35,144
24,35,30,33,46,40,42,159
17,34,22,18,43,39,35,216
25,51,20,28,39,40,24,269
29,44,19,32,33,41,36,320
28,39,22,16,36,29,29,158
31,47,25,35,34,27,26,175
30,24,24,30,34,39,30,314
30,42,18,25,35,30,24,198
21,46,20,30,41,35,36,71
29,37,27,27,46,33,34,264
27,46,29,24,41,35,35,34
22,46,18,36,40,29,36,127
22,47,29,32,38,41,35,192
24,27,20,28,45,27,31,127
26,24,25,30,34,34,36,231
32,37,34,16,45,29,37,298
27,17,24,24,41,38,19,269
31,25,24,15,50,26,25,201
28,25,20,17,37,33,37,187
15,50,12,29,43,35,41,7
35,23,28,14,36,23,23,164
24,32,18,22,43,38,24,145
30,27,18,30,36,19,29,206
44,40,29,24,26,27,26,235
17,29,8,29,37,26,29,109
19,17,29,26,34,34,30,224
21,46,16,26,32,35,28,17
21,43,19,31,37,33,29,94
23,42,20,30,42,29,23,130
34,32,21,30,39,31,33,399
34,38,29,18,41,28,25,165
41,34,30,19,28,37,33,416
33,32,26,32,47,25,27,278
20,32,24,25,30,37,33,226
27,35,29,31,36,36,36,346
37,24,23,15,30,28,28,196
25,44,21,29,31,28,26,166
22,28,20,21,36,27,38,88
14,42,22,28,46,40,28,229
24,37,31,23,33,38,27,146
33,38,28,25,41,34,31,364
29,33,21,25,36,36,41,261
30,12,33,34,48,35,38,211
24,35,23,29,37,32,26,290
30,20,28,28,32,25,37,236
27,38,18,27,47,30,19,94
19,39,27,25,42,29,42,179
25,40,20,28,33,35,35,271
25,28,26,20,44,28,40,174
19,26,20,23,31,28,31,371
19,45,17,23,43,28,33,8
37,12,27,27,36,29,31,319
42,12,25,31,45,26,22,387
24,52,19,30,32,38,36,435
26,40,27,24,35,33,23,288
20,28,27,27,32,30,27,273
24,27,28,24,38,31,30,209
29,25,20,23,34,32,32,313
19,31,25,31,44,34,20,156
21,42,33,27,41,34,40,128
26,37,31,23,32,35,33,101
24,23,21,25,35,32,25,230
28,36,35,28,49,38,31,241
16,14,12,21,34,29,32,141
23,43,16,35,46,42,28,118
22,13,28,27,39,22,24,70
24,30,14,25,35,36,27,263
28,21,24,30,27,33,34,302
13,49,18,27,38,38,41,180
25,41,20,29,41,36,29,405
22,38,18,24,35,28,21,104
18,50,19,32,45,34,29,114
13,31,25,22,45,30,36,87
30,24,22,20,36,34,32,319
30,19,31,40,44,35,39,255
19,58,16,31,46,27,31,264
14,36,15,21,36,33,32,8
14,31,28,33,45,33,33,226
14,47,19,26,37,39,30,187
32,30,27,25,39,35,30,181
20,46,12,33,33,27,31,136
27,25,28,26,31,34,31,188
31,30,32,21,44,22,37,210
27,19,28,30,31,36,28,308
21,24,23,20,39,28,25,370
21,28,23,35,49,32,35,271
27,45,21,25,33,29,24,251
23,48,24,24,39,35,39,246
28,19,35,23,41,32,38,333
28,42,26,29,44,29,35,242
16,18,35,16,34,31,34,134
29,38,26,21,38,30,34,336
22,43,13,29,46,38,23,161
31,35,29,32,39,35,39,295
25,49,16,10,42,43,23,85
24,39,17,33,42,24,35,159
14,51,9,28,32,31,26,128
13,46,23,28,30,40,27,87
26,34,24,24,40,26,25,262
23,42,14,33,34,27,30,137
20,45,21,24,35,25,38,106
26,30,22,20,34,31,23,121
23,37,23,32,42,26,35,246
29,14,16,32,38,22,28,128
16,29,23,26,40,31,39,94
18,26,21,26,39,31,34,157
25,25,23,31,42,29,31,115
26,36,23,21,49,39,40,294
42,25,38,14,39,29,28,287
40,23,27,21,27,26,29,380
14,54,10,31,34,39,15,265
18,17,12,37,50,31,24,127
35,31,13,25,35,26,24,70
22,42,18,26,37,28,28,127
29,32,35,25,32,26,32,238
28,17,12,33,40,30,22,345
26,12,32,30,38,28,32,288
10,39,13,30,35,30,29,31
34,12,29,27,41,29,33,405
24,36,25,37,36,28,40,291
10,36,20,32,42,31,34,81
30,32,23,20,38,38,28,156
28,31,23,34,34,30,29,295
25,34,19,32,38,35,29,339
29,29,27,23,31,38,26,437
19,49,9,39,46,29,29,66
23,44,27,14,28,27,41,148
28,31,22,33,35,27,38,113
22,45,20,26,37,36,29,267
20,22,20,19,39,34,28,104
19,23,15,28,30,25,24,155
27,42,30,31,37,40,33,424
27,16,27,23,35,33,25,315
28,25,27,29,38,29,27,308
29,36,26,22,42,26,28,289
25,28,26,22,37,20,27,83
33,21,26,28,33,33,28,343
26,35,18,24,37,31,30,268
33,25,22,17,39,27,20,127
22,41,26,27,39,32,41,233
39,19,28,19,27,39,31,335
19,39,19,30,41,26,31,174
25,23,19,30,39,25,28,144
26,21,17,38,36,33,31,115
14,21,12,34,49,30,45,78
25,20,30,28,37,32,44,245
21,30,18,26,23,29,25,152
17,50,20,28,41,26,29,117
25,41,20,38,47,31,30,269
21,18,22,27,39,38,34,309
25,46,24,27,42,39,26,248
18,53,28,33,35,43,38,182
24,28,29,30,44,38,31,67
22,38,18,33,38,23,31,195
27,37,26,28,28,36,36,322
22,16,22,34,48,31,34,219
41,28,21,24,40,37,29,295
20,42,15,24,36,31,29,66
31,20,26,26,30,29,22,216
11,48,19,30,31,26,39,130
26,44,27,27,39,30,31,288
13,26,15,8,45,34,33,131
33,25,32,21,38,26,39,295
11,50,20,31,40,30,29,53
23,23,18,29,38,21,31,87
26,22,34,30,40,27,43,86
17,34,24,27,43,26,26,314
23,29,28,20,42,31,34,175
22,19,21,33,32,25,34,185
19,23,21,26,39,23,28,247
15,57,16,37,37,32,36,123
25,30,21,21,42,25,34,305
30,18,30,27,32,20,33,136
27,38,27,28,41,23,26,117
35,24,33,24,43,25,38,13
31,12,36,18,41,31,28,116
28,45,36,29,30,33,22,231
34,26,32,35,35,29,35,206
12,33,24,18,36,19,35,67
32,26,25,27,43,26,30,138
23,55,19,28,29,32,33,110
18,40,24,33,44,28,34,256
31,25,26,30,40,43,41,205
13,53,16,19,30,26,32,98
29,36,19,21,43,35,36,166
30,24,28,21,35,28,33,383
30,27,22,27,45,39,29,285
27,34,31,34,34,21,40,375
24,42,22,19,32,38,40,305
29,38,9,27,38,30,29,235
15,44,21,22,29,38,39,44
28,16,23,32,33,30,30,152
20,15,19,35,47,32,26,162
22,33,12,25,42,35,28,199
27,32,21,27,38,37,25,169
27,34,29,18,35,34,34,208
31,31,28,17,36,30,30,185
28,26,24,28,47,25,37,277
29,38,27,23,46,29,29,285
20,14,26,18,38,26,39,127
34,32,34,36,34,32,21,186
19,44,21,28,39,36,25,242
32,37,35,19,36,25,43,226
36,22,19,31,44,33,30,141
27,34,23,26,39,26,32,253
16,27,16,32,25,27,28,100
26,37,24,19,41,29,33,103
28,37,21,30,33,36,33,302
22,57,17,20,36,40,33,140
27,36,29,22,27,40,30,308
30,33,22,17,42,31,33,124
21,34,27,24,42,31,40,142
32,27,26,33,46,33,28,228
31,15,32,26,44,30,33,186
23,23,28,18,40,31,33,64
20,40,18,31,39,34,40,154
13,49,13,18,36,33,27,84
21,53,24,25,42,37,38,148
18,29,29,24,46,28,35,136
20,24,22,22,34,34,39,252
21,27,19,26,39,28,34,173
12,49,20,24,42,24,31,60
30,26,18,18,35,42,26,311
16,40,20,14,32,23,36,37
21,21,22,30,38,33,36,131
21,25,21,23,32,38,33,173
22,30,27,29,36,37,34,333
21,35,26,24,34,30,30,139
15,39,16,30,40,31,32,117
23,49,25,25,33,31,37,269
19,47,15,35,34,33,30,357
21,24,12,29,43,24,23,8
17,34,27,25,44,35,35,157
28,23,21,27,39,36,41,262
26,41,23,22,34,20,34,224
29,36,19,25,41,23,31,270
24,32,24,27,30,34,39,271
17,15,22,20,32,33,31,313
20,33,21,15,34,37,27,272
30,27,18,15,34,31,19,154
30,23,20,27,42,33,34,189
29,26,35,25,32,27,32,210
22,49,24,16,34,27,32,68
25,12,29,22,42,26,33,150
12,34,9,22,50,35,32,38
23,22,26,28,42,32,24,358
23,35,34,23,29,32,33,299
22,32,32,28,44,31,38,315
16,46,16,24,39,35,30,64
22,36,22,28,48,41,33,354
18,35,21,26,39,29,34,236
30,35,25,11,39,22,26,136
26,23,23,26,38,34,34,120
28,34,17,36,47,32,29,197
24,38,26,29,37,40,28,227
25,46,19,29,42,33,28,144
24,37,21,30,46,41,36,186
34,15,29,28,31,26,36,159
23,48,26,30,18,33,34,281
35,13,34,20,35,30,34,222
33,29,20,20,44,26,27,157
23,31,19,30,37,35,33,343
32,43,16,33,32,29,33,222
22,37,25,19,32,35,38,283
30,41,26,26,39,33,29,178
21,26,20,37,42,30,29,58
23,32,21,37,30,38,34,449
21,34,18,22,33,34,30,213
31,17,29,30,33,29,36,276
25,26,22,27,38,34,29,107
16,27,17,27,39,24,29,213
15,56,15,24,39,29,25,132
17,55,28,25,21,30,37,144
22,39,18,25,45,38,28,156
29,23,24,30,41,27,27,263
24,31,26,26,39,35,35,355
24,34,30,30,36,29,36,354
21,34,15,31,44,30,26,77
25,32,31,32,36,29,37,187
17,35,16,24,39,26,35,150
18,29,13,38,43,31,24,131
17,32,27,32,41,28,44,259
35,19,26,32,49,25,25,105
23,36,24,27,32,31,28,260
16,31,16,26,35,28,29,334
24,39,29,27,35,20,35,136
21,64,19,23,45,37,42,173
23,40,24,30,30,29,32,162
30,43,20,27,22,32,13,129
33,34,20,24,42,34,31,317
28,32,26,28,40,30,39,174
16,27,24,22,30,29,34,99
31,22,31,36,38,34,35,314
33,24,19,25,38,32,30,414
30,28,29,23,44,35,20,267
34,21,25,21,43,26,26,210
16,24,36,28,46,31,42,130
12,40,19,33,45,36,30,236
29,40,18,29,41,36,27,90
21,49,29,27,37,31,38,131
14,29,23,27,45,34,44,231
18,40,25,22,45,32,34,209
24,40,18,37,38,30,32,174
25,45,20,19,30,23,29,138
21,19,19,27,35,25,36,364
36,22,29,29,29,28,28,350
26,32,22,37,33,34,36,229
26,28,24,22,37,31,26,316
15,36,19,20,43,41,27,134
20,44,18,23,39,28,44,139
24,31,23,26,34,23,38,178
24,45,12,30,39,33,30,176
17,34,17,26,30,30,28,186
29,16,15,26,39,36,21,89
25,28,17,29,34,31,25,130
27,29,20,25,42,34,29,65
27,45,24,21,50,28,29,33
21,15,24,31,35,30,34,305
36,38,25,32,34,31,22,296
16,45,13,29,48,38,27,184
20,54,19,21,32,27,31,186
33,29,24,23,42,30,27,192
30,49,35,22,38,37,31,352
22,47,29,14,38,32,36,314
22,22,24,27,36,38,34,427
15,41,17,32,38,32,27,168
32,26,26,19,44,34,28,246
27,35,19,26,34,33,30,231
18,41,12,31,33,24,26,301
26,17,29,25,41,22,30,246
32,28,22,28,25,36,32,194
10,64,13,29,31,41,32,159
32,26,31,34,41,21,27,297
31,18,24,32,41,30,31,229
15,44,21,25,33,30,42,84
25,33,19,20,30,29,30,317
21,27,15,37,42,30,28,222
20,34,29,16,37,33,24,138
25,29,25,20,43,30,41,233
17,39,18,32,37,25,25,71
16,27,29,33,45,41,40,379
18,36,17,15,33,25,20,120
19,31,25,31,36,29,35,294
27,39,21,29,31,39,33,225
25,20,20,29,23,23,19,264
20,50,28,24,33,19,33,78
25,37,22,31,27,33,44,418
12,37,19,26,36,31,32,121
25,36,21,15,40,34,28,239
18,45,18,23,38,29,32,103
29,30,27,29,32,33,25,357
32,18,20,15,45,35,31,219
20,22,19,24,37,27,25,295
33,46,31,22,26,39,25,367
16,44,21,24,24,31,38,245
28,38,27,27,40,33,33,120
33,34,23,31,33,39,28,305
20,28,18,19,35,21,30,113
25,38,16,21,28,31,27,132
24,48,17,25,38,34,25,244
22,24,24,27,45,32,35,149
12,61,12,23,35,39,28,168
28,26,26,16,41,34,24,149
37,39,24,13,33,20,28,198
33,18,32,18,36,26,41,353
14,44,17,27,42,25,20,122
28,34,23,24,37,32,20,233
18,23,16,27,31,33,36,137
21,27,23,29,38,27,28,226
30,25,19,21,31,26,30,363
27,36,23,23,43,37,33,232
17,26,18,30,40,34,28,163
25,18,31,28,41,33,31,274
14,45,27,26,49,36,40,224
32,17,29,19,41,27,37,190
21,29,26,24,37,24,31,49
32,36,23,22,33,33,26,313
24,40,22,21,41,26,24,248
34,24,22,30,45,25,31,170
17,34,15,35,36,22,25,135
18,46,17,27,39,26,23,151
20,26,25,22,46,40,40,198
19,37,18,34,32,32,29,168
13,71,15,26,33,29,40,150
25,38,35,32,39,35,45,478
31,21,26,34,43,31,33,353
23,28,26,23,42,18,28,178
27,47,23,33,36,29,42,194
17,41,23,13,31,34,40,310
33,35,25,26,36,32,29,183
19,16,26,33,36,24,39,309
21,43,10,28,33,33,19,225
32,39,33,24,32,30,30,192
22,41,22,26,37,37,31,152
22,35,25,21,29,28,36,194
33,19,28,28,32,27,24,329
19,49,20,31,36,34,35,277
33,20,28,24,37,28,27,235
18,57,22,33,38,28,35,254
23,41,21,21,37,28,31,91
30,30,19,26,42,25,25,116
25,34,24,30,38,34,30,190
18,48,22,29,38,34,27,247
22,28,29,28,34,35,44,168
16,22,26,35,39,22,42,250
27,24,24,26,42,31,36,148
26,35,23,21,39,25,29,155
29,40,30,28,34,37,29,215
21,30,17,19,47,26,19,255
13,44,14,31,49,26,30,143
23,40,29,24,46,32,33,194
28,46,30,24,25,23,34,363
18,38,20,28,40,25,30,321
16,20,23,24,46,33,35,160
22,43,32,20,34,25,37,396
21,25,16,22,40,24,25,117
15,48,19,17,40,36,36,92
24,37,17,33,42,24,35,87
22,35,23,33,44,32,33,276
40,37,37,34,18,28,32,265
27,25,27,36,40,34,30,302
17,36,23,25,38,35,39,135
34,28,20,31,33,29,31,373
28,25,20,24,31,24,26,163
16,34,22,28,32,23,30,197
25,24,25,24,42,34,24,169
27,29,21,30,36,35,33,474
17,39,13,33,45,33,23,171
36,35,33,17,34,31,37,160
25,16,26,16,31,28,30,128
22,45,18,26,35,39,27,117
21,37,16,31,47,21,25,28
19,37,17,37,36,38,31,168
28,28,18,34,39,23,25,213
21,16,32,28,43,31,39,110
20,38,23,29,33,31,36,283
23,18,18,34,46,23,33,108
30,29,27,27,35,28,24,188
12,39,15,29,43,33,35,65
21,23,34,27,38,38,33,186
18,36,29,28,34,26,42,27
26,31,30,14,32,21,30,138
30,32,13,23,35,25,27,99
26,31,25,21,30,29,34,213
10,44,18,31,42,24,27,133
20,30,27,27,41,21,33,186
34,18,27,14,37,25,39,359
18,40,23,24,36,34,30,45
32,29,23,29,42,33,29,150
27,31,35,21,40,27,40,301
26,25,19,23,48,32,30,269
23,49,23,29,33,32,32,246
14,45,13,21,49,39,27,154
34,27,21,31,36,28,31,246
29,20,25,24,29,31,33,339
22,38,20,24,38,35,25,122
24,36,26,30,37,30,21,298
28,40,20,21,40,35,25,432
21,36,26,22,34,35,30,182
23,33,27,16,34,31,42,104
24,28,24,27,38,31,25,202
22,23,17,32,34,32,26,308
27,38,24,15,26,27,32,161
21,30,28,31,37,31,42,133
14,52,24,32,34,28,32,226
28,24,33,13,28,43,34,381
13,52,20,22,41,39,34,181
32,27,20,29,30,35,31,349
20,44,22,12,33,31,36,34
24,12,24,39,44,36,36,324
24,52,23,36,27,41,19,234
17,40,21,25,39,27,34,105
17,53,20,36,32,26,29,306
25,44,32,18,28,28,34,158
16,38,28,22,28,32,37,280
19,26,21,27,43,23,34,19
22,23,17,30,35,37,31,361
28,15,26,25,28,30,35,305
30,14,26,33,39,38,30,288
28,26,22,25,27,36,29,161
22,49,15,28,48,35,24,183
36,24,33,27,41,33,37,255
23,39,29,36,40,38,38,238
40,36,29,28,46,26,24,85
32,14,24,27,41,26,32,243
20,23,31,23,32,36,36,159
18,28,20,31,30,36,32,283
22,51,29,30,30,33,39,207
23,25,28,27,39,38,37,121
21,36,24,26,28,29,25,66
29,24,27,22,35,30,29,230
21,46,19,32,39,29,32,141
26,61,20,34,29,29,28,317
32,16,18,24,45,30,23,167
27,21,26,35,30,25,33,309
22,32,35,25,26,24,43,219
19,41,20,32,29,36,38,298
17,26,24,23,45,25,32,20
27,52,21,29,38,28,18,179
32,22,24,24,46,31,30,272
19,33,15,26,40,31,27,211
24,35,23,20,39,35,33,249
19,46,17,30,34,29,34,343
30,31,24,27,25,33,23,226
29,32,26,22,35,35,30,230
22,39,22,27,44,34,34,179
27,54,25,8,38,33,31,217
26,34,23,24,33,38,33,177
22,34,16,34,41,43,32,355
14,27,20,33,39,35,31,265
21,23,18,15,29,29,28,53
17,35,20,31,35,39,25,258
27,32,24,26,43,39,32,281
21,46,19,31,32,24,37,66
26,27,37,25,42,29,41,332
22,30,30,23,38,24,37,408
27,29,27,33,38,33,33,182
22,26,20,28,43,36,30,251
22,35,17,30,34,37,22,158
26,35,21,28,34,30,31,51
29,51,25,15,30,31,29,218
15,12,22,28,37,31,35,125
19,24,32,30,27,34,31,260
26,30,32,29,35,26,38,287
33,20,31,25,37,38,30,288
19,35,23,35,33,22,36,174
32,24,20,35,34,31,31,234
31,12,24,34,44,30,24,283
21,35,34,17,46,33,38,243
19,34,19,15,36,26,35,131
29,32,33,28,28,28,29,333
13,44,17,22,41,35,36,216
18,32,21,23,40,42,28,183
24,53,23,29,29,30,29,315
18,40,24,26,40,31,37,213
27,30,19,22,30,24,26,129
26,39,22,27,45,35,36,185
25,42,23,19,42,37,25,313
26,29,14,26,50,32,38,124
18,32,16,19,44,37,36,165
33,34,19,31,42,35,30,425
22,20,22,23,45,38,33,248
25,27,22,29,36,23,24,100
25,32,22,24,44,28,28,135
25,31,22,30,35,24,31,109
27,38,20,24,40,34,33,167
32,20,21,23,32,30,27,336
21,52,30,21,36,32,29,211
27,43,23,26,30,38,32,147
27,12,30,32,42,27,37,301
23,32,28,26,32,30,22,272
24,38,25,27,35,30,26,247
30,46,21,20,35,27,25,256
17,26,27,18,39,33,29,179
26,30,24,17,39,27,34,117
28,35,32,33,37,32,30,116
25,29,27,16,40,32,29,218
15,34,17,27,45,25,32,154
22,34,11,25,45,27,32,54
18,33,18,37,39,33,30,364
28,33,15,31,35,26,28,63
22,37,20,35,39,38,30,367
20,46,14,23,39,24,27,82
23,23,26,29,36,22,35,145
