I need a bit of encouragement to get things started,I contact my friends,I express my emotions,I think of new things to do during the day,I am concerned about how my family feel,I find myself staring in to space,Before I do something I think about how others would feel about it,I plan my days activities in advance,When I receive bad news I feel bad about it,I am unable to focus on a task until it is finished,I lack motivation,I struggle to empathise with other people,I set goals for myself,I try new things,I am unconcerned about how others feel about my behaviour,I act on things I have thought about during the day,"When doing a demanding task, I have difficulty working out what I have to do",I keep myself busy,I get easily confused when doing several things at once,I become emotional easily when watching something happy or sad on TV,I find it difficult to keep my mind on things,I am spontaneous,I am easily distracted,I feel indifferent to what is going on around me
Never,Occasionally,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Often,Occasionally,Almost Always,Occasionally,Occasionally,Almost Always,Occasionally,Often,Often,Occasionally,Often,Hardly Ever,Occasionally,Never,Often,Hardly Ever,Often
Hardly Ever,Often,Occasionally,Never,Hardly Ever,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Often,Almost Always,Almost Always,Occasionally,Often,Almost Always,Occasionally,Occasionally,Often,Often,Often,Occasionally,Almost Always,Hardly Ever,Often
Almost Always,Hardly Ever,Almost Always,Almost Always,Occasionally,Often,Almost Always,Often,Often,Occasionally,Often,Often,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Often,Almost Always,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Hardly Ever
Almost Always,Never,Hardly Ever,Never,Occasionally,Always,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Often,Occasionally,Often,Hardly Ever,Almost Always,Often,Often,Occasionally,Occasionally,Hardly Ever,Almost Always,Occasionally,Occasionally,Occasionally
Almost Always,Occasionally,Often,Almost Always,Often,Occasionally,Hardly Ever,Always,Occasionally,Often,Often,Occasionally,Almost Always,Hardly Ever,Hardly Ever,Occasionally,Occasionally,Often,Often,Occasionally,Almost Always,Occasionally,Often,Occasionally
Hardly Ever,Always,Almost Always,Often,Occasionally,Hardly Ever,Often,Almost Always,Often,Always,Occasionally,Often,Often,Often,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Often,Hardly Ever,Almost Always,Often,Never
Occasionally,Occasionally,Almost Always,Almost Always,Almost Always,Occasionally,Occasionally,Always,Always,Almost Always,Hardly Ever,Occasionally,Occasionally,Occasionally,Hardly Ever,Almost Always,Occasionally,Almost Always,Often,Occasionally,Hardly Ever,Often,Often,Often
Occasionally,Hardly Ever,Occasionally,Often,Often,Almost Always,Occasionally,Often,Often,Occasionally,Often,Occasionally,Occasionally,Often,Hardly Ever,Often,Often,Often,Often,Occasionally,Hardly Ever,Often,Occasionally,Occasionally
Often,Occasionally,Always,Often,Occasionally,Often,Often,Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Occasionally,Hardly Ever,Occasionally,Almost Always,Occasionally,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally
Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Often,Often,Often,Often,Hardly Ever,Occasionally,Never,Hardly Ever,Occasionally,Almost Always,Occasionally,Hardly Ever,Hardly Ever,Often,Occasionally,Occasionally,Never,Often
Almost Always,Hardly Ever,Hardly Ever,Occasionally,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Almost Always,Often,Often,Almost Always,Occasionally,Often,Occasionally,Always,Hardly Ever,Almost Always,Always,Almost Always,NA
Hardly Ever,Occasionally,Often,Often,Often,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Almost Always,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally,Hardly Ever
Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Occasionally,Almost Always,Often,Almost Always,Almost Always,Often,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Often,Occasionally,Often,Occasionally,Almost Always,Often
Hardly Ever,Hardly Ever,Almost Always,Often,Hardly Ever,Occasionally,Occasionally,Almost Always,Occasionally,Often,Hardly Ever,Almost Always,Hardly Ever,Occasionally,Almost Always,Often,Often,Almost Always,Occasionally,Hardly Ever,Often,Often,Never,Always
Occasionally,Often,Occasionally,Often,Almost Always,Almost Always,Often,Occasionally,Almost Always,Often,Occasionally,Often,Almost Always,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Never,Occasionally,Often,Often,Occasionally,Never
Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Always,Almost Always,Almost Always,Often,Occasionally,Often,Often,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Almost Always,Often,Occasionally,Hardly Ever,Never
Hardly Ever,Often,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally,Never,Almost Always,Occasionally,Occasionally,Occasionally,Often,Hardly Ever,Often,Occasionally,Often,Often,Almost Always
Occasionally,Often,Often,Often,Often,Often,Occasionally,Always,Almost Always,Always,Hardly Ever,Occasionally,Always,Often,Hardly Ever,Often,Occasionally,Hardly Ever,Hardly Ever,Often,Hardly Ever,Often,Occasionally,Hardly Ever
Never,Occasionally,Occasionally,Often,Hardly Ever,Occasionally,Never,Often,Occasionally,Almost Always,Occasionally,Always,Almost Always,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Hardly Ever
Hardly Ever,Often,Occasionally,Always,Often,Almost Always,Often,Occasionally,Often,Often,Occasionally,Often,Often,Almost Always,Often,Often,Hardly Ever,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Hardly Ever,Hardly Ever
Occasionally,Occasionally,Never,Hardly Ever,Never,Often,Never,Often,Never,Often,Occasionally,Almost Always,Never,Hardly Ever,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Never,Hardly Ever,Occasionally,Occasionally,Always
Often,Often,Often,Often,Always,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Occasionally,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Often,Almost Always,Almost Always,Occasionally,Hardly Ever
Occasionally,Often,Almost Always,Almost Always,Often,Often,Always,Always,Hardly Ever,Almost Always,Often,Occasionally,Often,Occasionally,Almost Always,Often,Never,Almost Always,Almost Always,Often,Occasionally,[NO ENTRY],Occasionally,Often
Often,Hardly Ever,Occasionally,Almost Always,Occasionally,Often,Occasionally,Often,Almost Always,Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Often,Often,Almost Always,Often,Hardly Ever,Often,Almost Always,Often,Almost Always
Hardly Ever,Often,Often,Often,Often,Occasionally,Often,Often,Often,Always,Hardly Ever,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Often,Never,Hardly Ever,Hardly Ever,Often
Almost Always,NA,Often,Occasionally,Always,Always,Always,Often,Occasionally,Hardly Ever,Almost Always,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Hardly Ever,Often,Often,Almost Always,NA,Often,Hardly Ever,Often,Hardly Ever
Occasionally,Occasionally,Often,Hardly Ever,Often,Occasionally,Almost Always,Often,Occasionally,Often,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Hardly Ever,Often,Often,Occasionally
Hardly Ever,Occasionally,Often,Hardly Ever,Almost Always,Occasionally,Almost Always,Occasionally,Occasionally,Almost Always,Often,Occasionally,Always,Occasionally,Almost Always,Almost Always,Occasionally,Occasionally,Often,Occasionally,Often,Often,Often,Occasionally
Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Hardly Ever,Never,Almost Always,Almost Always,Always,Never,Occasionally,Almost Always,Never,Often,Often,Often,Hardly Ever,Almost Always,Occasionally,Almost Always,Always
Hardly Ever,Often,Occasionally,Often,Often,Occasionally,Occasionally,Often,Occasionally,Almost Always,Occasionally,Always,Often,Often,Often,Always,Occasionally,Often,Hardly Ever,Hardly Ever,Often,Often,Hardly Ever,Often
Almost Always,Occasionally,Often,Occasionally,Almost Always,Often,Often,Occasionally,Almost Always,Often,Often,Almost Always,Often,Occasionally,Almost Always,Often,Often,Hardly Ever,Almost Always,Hardly Ever,Almost Always,Hardly Ever,Always,Often
Occasionally,Occasionally,Hardly Ever,Always,Often,Often,Often,Often,Almost Always,Occasionally,Occasionally,Always,Often,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Occasionally,Often
Almost Always,Occasionally,Often,Never,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Almost Always,Almost Always,Occasionally,Almost Always,Occasionally,Occasionally,Often
Never,Occasionally,Often,Hardly Ever,Occasionally,Hardly Ever,Often,Often,Hardly Ever,Always,Often,Almost Always,Often,Often,Often,Occasionally,Often,Occasionally,Hardly Ever,Often,Often,Almost Always,Occasionally,Occasionally
Often,Occasionally,Occasionally,Often,Occasionally,Almost Always,Occasionally,Often,Hardly Ever,Often,Often,Often,Occasionally,Hardly Ever,Often,Never,Occasionally,Almost Always,Almost Always,Hardly Ever,Almost Always,Often,Occasionally,Occasionally
Almost Always,Never,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Always,Almost Always,Often,Occasionally,Often,Hardly Ever,Almost Always,Hardly Ever,Often,Occasionally,Almost Always,Often,Almost Always,Almost Always
Occasionally,Occasionally,Always,Occasionally,Often,Often,Always,Often,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Often,Almost Always,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Often
Occasionally,Occasionally,Often,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Occasionally,Hardly Ever,Almost Always,Almost Always,Often,Occasionally,Almost Always,Hardly Ever,Often,Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally
Often,[NO ENTRY],Hardly Ever,Occasionally,Almost Always,Almost Always,Almost Always,Almost Always,Often,Occasionally,Hardly Ever,Occasionally,Hardly Ever,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Often,Often,Occasionally,Always,Occasionally
Never,Often,Hardly Ever,Almost Always,Occasionally,Often,Occasionally,Almost Always,Never,Always,Hardly Ever,Always,Almost Always,Often,Almost Always,Often,Never,Almost Always,Occasionally,Never,Never,Almost Always,NA,Almost Always
Occasionally,Often,Hardly Ever,Almost Always,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Occasionally,Often,Occasionally,Often,Often,Hardly Ever,Often,Almost Always,Occasionally,Often
Hardly Ever,Often,Occasionally,Almost Always,Often,Often,Often,Often,Often,Almost Always,Never,Often,Occasionally,Always,Occasionally,Almost Always,Occasionally,Often,Never,Occasionally,Hardly Ever,Often,Occasionally,Often
Almost Always,Often,Occasionally,Often,Occasionally,Often,Always,Often,Almost Always,Occasionally,Often,Often,Occasionally,Often,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Almost Always,Almost Always,Almost Always,Occasionally
Hardly Ever,Often,Often,Often,Occasionally,Almost Always,Almost Always,Occasionally,Occasionally,Almost Always,Often,Occasionally,Often,Occasionally,Often,Often,Often,Occasionally,Occasionally,Almost Always,Occasionally,Often,Often,Occasionally
Occasionally,Often,Often,Almost Always,Occasionally,Hardly Ever,Almost Always,Almost Always,Often,Often,Never,Often,Always,Almost Always,Occasionally,Occasionally,Occasionally,Almost Always,Often,Occasionally,Often,Always,Occasionally,Hardly Ever
Often,Hardly Ever,Often,Often,Occasionally,Often,Almost Always,Often,Hardly Ever,Almost Always,Almost Always,Almost Always,Almost Always,Hardly Ever,Occasionally,Often,Often,Almost Always,Almost Always,Often,Often,Hardly Ever,Often,Always
Occasionally,Hardly Ever,Occasionally,Almost Always,Hardly Ever,Often,Often,Often,Occasionally,Often,Almost Always,Always,Occasionally,Occasionally,Often,Often,Often,Occasionally,Always,Occasionally,Occasionally,Often,Almost Always,Almost Always
Never,Occasionally,Almost Always,Always,Often,Occasionally,Often,Often,Hardly Ever,Often,Hardly Ever,Often,Almost Always,Occasionally,Often,Almost Always,Occasionally,Occasionally,Often,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally
Never,Often,Often,Often,Often,Never,Almost Always,Often,Often,Almost Always,Occasionally,Occasionally,Almost Always,Often,Almost Always,Often,Occasionally,Often,Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally
Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Almost Always,Occasionally,Always,Occasionally,Occasionally,Almost Always,Almost Always,Occasionally,Often,Occasionally,Often,Hardly Ever,Occasionally,Often,Often,Occasionally,Occasionally
Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Hardly Ever,Often,Occasionally,Almost Always,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often
Occasionally,Occasionally,Often,Always,Occasionally,Occasionally,Almost Always,Almost Always,Occasionally,Almost Always,[NO ENTRY],Often,Occasionally,Often,Hardly Ever,Almost Always,Hardly Ever,Almost Always,Hardly Ever,Often,Often,Often,Hardly Ever,Occasionally
Occasionally,Almost Always,Often,Often,Often,Always,Occasionally,Often,Hardly Ever,Hardly Ever,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Occasionally,Almost Always,Almost Always,Occasionally,Occasionally,Often,Often,Occasionally,Often
Almost Always,Often,Occasionally,Often,Never,Always,Occasionally,Hardly Ever,Hardly Ever,Often,Often,Almost Always,Occasionally,Hardly Ever,Occasionally,Often,Often,Occasionally,Almost Always,Hardly Ever,Almost Always,Often,Almost Always,Almost Always
Hardly Ever,Almost Always,Hardly Ever,Always,Occasionally,Often,Never,Almost Always,Hardly Ever,Often,Occasionally,Almost Always,Almost Always,Occasionally,Almost Always,Often,Hardly Ever,Hardly Ever,Often,Hardly Ever,Occasionally,Always,Never,Almost Always
Occasionally,Often,Occasionally,Often,Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Hardly Ever,Almost Always,Occasionally,Occasionally,Often,Often,Occasionally,Often,Never,Often,Often,Almost Always
Occasionally,Almost Always,Often,Almost Always,Almost Always,Almost Always,Almost Always,Almost Always,Always,Occasionally,Almost Always,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Almost Always,Often,Often,Never
Almost Always,Hardly Ever,Often,Often,Often,Almost Always,Often,Occasionally,Almost Always,Often,Almost Always,Hardly Ever,Almost Always,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Almost Always,Occasionally,Almost Always,Often,Occasionally,Never
Often,Occasionally,Often,Often,Always,Occasionally,Occasionally,Occasionally,Often,Almost Always,Occasionally,Often,Often,Occasionally,Occasionally,Often,Occasionally,Often,Always,Occasionally,Occasionally,Often,Almost Always,Occasionally
Hardly Ever,Often,Almost Always,Almost Always,Almost Always,Never,Almost Always,Almost Always,Hardly Ever,Almost Always,Never,Hardly Ever,Always,Always,Occasionally,Always,Occasionally,Always,Hardly Ever,Often,Often,Always,Hardly Ever,Occasionally
Hardly Ever,Occasionally,Almost Always,Often,Often,Hardly Ever,Almost Always,Occasionally,Hardly Ever,Always,Hardly Ever,Often,Never,Hardly Ever,Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Often,Occasionally
Occasionally,Often,Occasionally,Often,Often,Occasionally,Always,Occasionally,Almost Always,Often,Often,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Often,Often,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally
Occasionally,Hardly Ever,Often,Occasionally,Often,Often,Almost Always,Often,Occasionally,Often,Often,Occasionally,Almost Always,Often,Often,Often,Often,Often,Often,Almost Always,Almost Always,Often,Often,Hardly Ever
Often,Hardly Ever,Almost Always,Occasionally,Occasionally,Often,Often,Often,Almost Always,Hardly Ever,Often,Almost Always,Hardly Ever,Hardly Ever,Often,Occasionally,Almost Always,Almost Always,Almost Always,Never,Always,Often,Always,Occasionally
Hardly Ever,Often,Often,Often,Occasionally,Occasionally,Occasionally,Almost Always,Occasionally,Almost Always,Hardly Ever,Often,Almost Always,Almost Always,Occasionally,Almost Always,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Always,Hardly Ever,Hardly Ever
Occasionally,Often,Often,Occasionally,Almost Always,Often,Always,NA,Often,Often,Almost Always,Often,Hardly Ever,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Almost Always,Occasionally,Occasionally,Hardly Ever,Often,Often
Occasionally,Almost Always,Often,Almost Always,Often,Hardly Ever,Often,Almost Always,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Hardly Ever,Often,Occasionally,Almost Always,Often,Occasionally,Hardly Ever,Always,Occasionally,Occasionally
Often,Occasionally,Often,Often,Often,Almost Always,Occasionally,Often,Often,Almost Always,Often,Often,Hardly Ever,Often,Often,Often,Occasionally,Occasionally,Often,Occasionally,Often,Almost Always,Often,Occasionally
Often,Hardly Ever,Almost Always,Hardly Ever,Often,Occasionally,Almost Always,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Occasionally,Often,Often,Often,Hardly Ever,Often,Occasionally,Often,Hardly Ever,Occasionally,Almost Always
Often,Occasionally,Almost Always,Occasionally,Almost Always,Often,Occasionally,Occasionally,Hardly Ever,Hardly Ever,Often,Almost Always,Occasionally,Often,Hardly Ever,Often,Occasionally,Often,Often,Almost Always,Always,Often,Occasionally,Often
Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Often,Always,Often,Almost Always,Hardly Ever,Often,Almost Always,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Occasionally,[NO ENTRY],Occasionally,Often,Occasionally,Occasionally
Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Often,Almost Always,Occasionally,Almost Always,Occasionally,Occasionally,Hardly Ever,Almost Always,Occasionally,Occasionally
Hardly Ever,Often,Almost Always,Often,Occasionally,Hardly Ever,Often,Almost Always,Almost Always,Always,Occasionally,Often,Occasionally,Always,Occasionally,Always,Hardly Ever,Almost Always,Occasionally,Hardly Ever,Occasionally,Almost Always,Hardly Ever,Often
Often,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Occasionally,Hardly Ever,Occasionally,Almost Always,Often,Almost Always,Often,Almost Always,Often,Almost Always,Occasionally,Almost Always,Occasionally,Almost Always,Often,Often,Occasionally
Often,Occasionally,Occasionally,Often,Often,Almost Always,Occasionally,Often,Occasionally,Never,Occasionally,Always,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Often,Occasionally,Often,Hardly Ever,Always,Occasionally
Occasionally,Occasionally,Occasionally,Almost Always,Often,Almost Always,Occasionally,Occasionally,Often,Never,Almost Always,Occasionally,Often,Almost Always,Often,Never,Almost Always,Almost Always,Almost Always,Often,Often,Often,Often,Occasionally
Hardly Ever,Occasionally,Occasionally,Often,Often,Almost Always,Almost Always,Occasionally,Often,Often,Occasionally,Often,Almost Always,Hardly Ever,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally,Often,Often,Almost Always
Hardly Ever,Hardly Ever,Almost Always,Occasionally,Occasionally,Often,Occasionally,Almost Always,Occasionally,Often,Often,Often,Almost Always,Hardly Ever,Often,Occasionally,Occasionally,Often,Often,Never,Almost Always,Occasionally,Occasionally,Often
Occasionally,Occasionally,Often,Hardly Ever,Often,Occasionally,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Often,Occasionally,Almost Always,Occasionally,Often,Often,Always,Often,Often,Often
Often,Occasionally,Often,Often,Occasionally,Almost Always,Always,Always,Often,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally,Often,Occasionally,Hardly Ever,Often,Often,Occasionally,Often,Often
Often,Hardly Ever,Hardly Ever,Hardly Ever,Never,Always,Hardly Ever,Almost Always,Never,Often,Always,Almost Always,Hardly Ever,Often,Often,Hardly Ever,Occasionally,Hardly Ever,[NO ENTRY],Hardly Ever,Always,Almost Always,Often,Often
Hardly Ever,Almost Always,Almost Always,Often,Often,Hardly Ever,Often,Almost Always,Occasionally,Always,Often,Occasionally,Often,Often,Occasionally,Often,Often,Often,Often,Often,Hardly Ever,Occasionally,Occasionally,Often
Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Almost Always,Always,Occasionally,Occasionally,Often,Occasionally,Often,Often,Occasionally,Hardly Ever,Often,Often,Often,Hardly Ever,Hardly Ever,Often,Often,Hardly Ever,Hardly Ever
Hardly Ever,Often,Often,Often,Almost Always,Occasionally,Almost Always,Almost Always,Often,Almost Always,Occasionally,Often,Almost Always,Almost Always,Occasionally,Occasionally,Hardly Ever,Almost Always,Often,Often,Occasionally,Hardly Ever,Occasionally,Occasionally
Occasionally,Often,Occasionally,Often,Hardly Ever,Often,Occasionally,Often,Never,Occasionally,Almost Always,Always,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Almost Always,Hardly Ever,Occasionally,Occasionally,Almost Always,Often
Often,Hardly Ever,Often,Occasionally,Often,Almost Always,Almost Always,Almost Always,Occasionally,Often,Occasionally,Almost Always,Never,Hardly Ever,Hardly Ever,Never,Occasionally,Occasionally,Often,Occasionally,Occasionally,Hardly Ever,Occasionally,Occasionally
Often,Often,Occasionally,Hardly Ever,Often,Often,Occasionally,Often,Occasionally,Occasionally,Always,Almost Always,Hardly Ever,Often,Almost Always,Often,Almost Always,Occasionally,Often,Occasionally,Often,Almost Always,Occasionally,Often
Hardly Ever,Almost Always,Often,Almost Always,Occasionally,Occasionally,Always,Almost Always,Occasionally,Almost Always,Occasionally,Often,Often,Often,Hardly Ever,Almost Always,Occasionally,Always,Often,Occasionally,Often,Almost Always,Occasionally,Occasionally
Occasionally,Occasionally,Often,Often,Occasionally,Hardly Ever,Occasionally,Almost Always,Hardly Ever,Often,Often,Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Occasionally,Often,Often,Occasionally,Often,Hardly Ever,Often,Never
Occasionally,[NO ENTRY],Occasionally,Almost Always,Occasionally,Hardly Ever,Occasionally,Often,Almost Always,Almost Always,Occasionally,Often,Occasionally,Often,Often,Hardly Ever,Often,Almost Always,Often,Never,Hardly Ever,Often,Occasionally,Occasionally
Often,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Often,Often,Hardly Ever,Occasionally,Almost Always,Almost Always,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often
Occasionally,Occasionally,Occasionally,Occasionally,Almost Always,Often,Often,Almost Always,Almost Always,Often,Hardly Ever,Occasionally,Almost Always,Hardly Ever,Occasionally,Often,Occasionally,Often,Almost Always,Occasionally,Often,Often,Occasionally,Hardly Ever
Often,Often,Often,Hardly Ever,Occasionally,Often,Often,Hardly Ever,Often,Often,Hardly Ever,Occasionally,Often,Hardly Ever,Occasionally,Occasionally,Occasionally,Often,Often,Often,Hardly Ever,Often,Often,Often
Occasionally,Often,Occasionally,Occasionally,Occasionally,Hardly Ever,Often,Often,Often,Often,Hardly Ever,Occasionally,Often,Often,Almost Always,Often,Hardly Ever,Occasionally,Never,Occasionally,Often,Occasionally,Often,Often
Often,Occasionally,Occasionally,Occasionally,Never,Often,Often,Often,Occasionally,Often,Often,Almost Always,Often,Occasionally,Often,Occasionally,Occasionally,Almost Always,Occasionally,Occasionally,Hardly Ever,Occasionally,Almost Always,Almost Always
Occasionally,Hardly Ever,Often,Occasionally,Never,Almost Always,Often,Almost Always,Hardly Ever,Occasionally,Often,Almost Always,Often,Often,Often,Often,Occasionally,Never,Often,Hardly Ever,Hardly Ever,Hardly Ever,Almost Always,Often
Often,Occasionally,Hardly Ever,Always,Never,Often,Occasionally,Almost Always,Hardly Ever,Occasionally,Almost Always,Always,Often,Occasionally,Often,Almost Always,Occasionally,Hardly Ever,Often,Never,Often,Almost Always,Often,Always
Hardly Ever,Hardly Ever,Occasionally,Often,Almost Always,Hardly Ever,Almost Always,Often,Almost Always,Almost Always,Never,Almost Always,Almost Always,Hardly Ever,Almost Always,Often,Hardly Ever,Often,Hardly Ever,Occasionally,Hardly Ever,Almost Always,Hardly Ever,Occasionally
Hardly Ever,Always,Almost Always,Almost Always,Occasionally,Occasionally,Almost Always,Almost Always,Occasionally,Almost Always,Occasionally,Occasionally,Almost Always,Often,Almost Always,Often,Occasionally,Often,Often,Occasionally,Occasionally,Almost Always,Hardly Ever,Hardly Ever
Occasionally,Often,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Often,Always,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Hardly Ever,Often,Occasionally,Hardly Ever,Often
Occasionally,Almost Always,Always,Always,Almost Always,Never,Never,Always,Often,Almost Always,Often,Often,Almost Always,Almost Always,Occasionally,Often,Hardly Ever,Always,Hardly Ever,Occasionally,Never,Almost Always,Often,Often
Occasionally,Never,Occasionally,Almost Always,Hardly Ever,Always,Hardly Ever,Always,Never,Occasionally,Often,Almost Always,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Often,Never,Often,Almost Always,Almost Always,Often
Almost Always,Often,Hardly Ever,Hardly Ever,Occasionally,Almost Always,Occasionally,Occasionally,Often,Often,Almost Always,Almost Always,Occasionally,Never,Often,Occasionally,Often,Hardly Ever,Always,Hardly Ever,Occasionally,Hardly Ever,Almost Always,Often
Occasionally,Occasionally,Hardly Ever,Often,Hardly Ever,Occasionally,Often,Almost Always,Often,Always,Hardly Ever,Almost Always,Often,Almost Always,Often,Often,Often,Almost Always,Hardly Ever,Occasionally,Occasionally,Often,Occasionally,Often
Often,Occasionally,Hardly Ever,Hardly Ever,Occasionally,Often,Often,Always,Hardly Ever,Almost Always,Often,Always,Often,Almost Always,Hardly Ever,Often,Occasionally,Almost Always,Often,Never,Occasionally,Almost Always,Occasionally,Often
Occasionally,Occasionally,Occasionally,Occasionally,Never,Occasionally,Hardly Ever,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Often,Often,Often,Hardly Ever,Often,Hardly Ever,Often,Occasionally,Hardly Ever,Often
Occasionally,Hardly Ever,Almost Always,Often,Often,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Often,Occasionally,Almost Always,Occasionally,Hardly Ever,Often,Occasionally,Occasionally,Almost Always,Occasionally,Never,Occasionally
Occasionally,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Occasionally,Often,Hardly Ever,Almost Always,Occasionally,Often,Occasionally,Often,Often,Often,Occasionally,Often,Occasionally,Almost Always,Occasionally,Often,Occasionally
Often,Occasionally,Often,Almost Always,Occasionally,Always,Occasionally,Almost Always,Occasionally,Occasionally,Occasionally,Almost Always,Always,Often,Often,Almost Always,Hardly Ever,Occasionally,Hardly Ever,Often,Almost Always,Almost Always,Often,Often
Hardly Ever,Occasionally,Often,Occasionally,Almost Always,Often,Always,Often,Often,Often,Never,Almost Always,Often,Often,Occasionally,Often,Occasionally,Often,Occasionally,Occasionally,Never,Often,Never,Often
Often,Hardly Ever,Often,Occasionally,Occasionally,Almost Always,Often,Occasionally,Occasionally,Almost Always,Always,Often,Occasionally,Occasionally,Occasionally,Occasionally,Occasionally,Often,Occasionally,Occasionally,Always,Often,Almost Always,Occasionally
Occasionally,Often,Almost Always,Almost Always,NA,Hardly Ever,Occasionally,Almost Always,Occasionally,Often,Often,Occasionally,Almost Always,NA,Often,Often,Hardly Ever,Often,NA,Occasionally,Never,Often,Never,Often
