"Player","Position","Team","TotalMoney","YearlySalary"
"Luke Stocker","TE","Falcons",5.5,2.75
"Mike Iupati","LG","Seahawks",2.75,2.75
"Clayton Geathers","S","Colts",2.75,2.75
"Spencer Pulley","C","Giants",8.25,2.75
"Jarrad Davis","ILB","Lions",10.969,2.742
"Taylor Decker","LT","Lions",10.967,2.742
"Calvin Ridley","WR","Falcons",10.901,2.725
"Charles Harris","43DE","Dolphins",10.844,2.711
"L.J. Collier","43DE","Seahawks",10.836,2.709
"Rashaad Penny","RB","Seahawks",10.765,2.691
"Keanu Neal","S","Falcons",10.738,2.684
"Evan Engram","TE","Giants",10.719,2.68
"Terrell Edmunds","S","Steelers",10.698,2.674
"Melvin Gordon","RB","Chargers",10.67,2.667
"Kevin Huber","P","Bengals",7.95,2.65
"Deandre Baker","CB","Giants",10.526,2.631
"Troy Hill","CB","Rams",5.251,2.625
"Gareon Conley","CB","Texans",10.468,2.617
"Ryan Kelly","C","Colts",10.451,2.613
"Phillip Dorsett","WR","Patriots",2.6,2.6
"Jabrill Peppers","S","Giants",10.342,2.586
"Shaq Lawson","43DE","Bills",10.279,2.57
"Kaleb McGary","RT","Falcons",10.266,2.566
"Darron Lee","43OLB","Chiefs",10.222,2.555
"Takkarist McKinley","43DE","Falcons",10.217,2.554
"Damien Williams","RB","Chiefs",5.1,2.55
"Will Fuller","WR","Texans",10.164,2.541
"Taven Bryan","43DT","Jaguars",10.155,2.539
"Xavier Williams","43DT","Chiefs",5.057,2.529
"Dustin Hopkins","K","Redskins",7.575,2.525
"N'Keal Harry","WR","Patriots",10.098,2.525
"Tre'Davious White","CB","Bills",10.091,2.523
"Adrian Peterson","RB","Redskins",5.03,2.515
"Taco Charlton","43DE","Dolphins",10.029,2.507
"Michael Palardy","P","Panthers",7.52,2.507
"Michael Schofield","RG","Chargers",5,2.5
"Jarius Wright","WR","Panthers",7.5,2.5
"Dustin Colquitt","P","Chiefs",7.5,2.5
"Kenny Wiggins","RG","Lions",5,2.5
"Theo Riddick","RB","Broncos",2.5,2.5
"Nate Ebner","S","Patriots",5,2.5
"Garrett Celek","TE","49ers",10,2.5
"Mike Remmers","RT","Giants",2.5,2.5
"Erik Harris","S","Raiders",5,2.5
"Jonotthan Harrison","C","Jets",5,2.5
"Adarius Taylor","43OLB","Browns",5,2.5
"Matt Slater","WR","Patriots",5,2.5
"Josh Bellamy","WR","Jets",5,2.5
"Cody Davis","S","Jaguars",5,2.5
"Allen Hurns","WR","Dolphins",2.5,2.5
"Jack Crawford","43DT","Falcons",9.9,2.475
"Mike Hughes","CB","Vikings",9.867,2.467
"Arik Armstead","43DE","49ers",9.843,2.461
"William Jackson III","CB","Bengals",9.706,2.426
"Jarrod Wilson","S","Jaguars",7.25,2.417
"Sony Michel","RB","Patriots",9.627,2.407
"Artie Burns","CB","Steelers",9.591,2.398
"Marcus Peters","CB","Ravens",9.584,2.396
"David Njoku","TE","Browns",9.525,2.381
"Lamar Jackson","QB","Ravens",9.472,2.368
"Nelson Agholor","WR","Eagles",9.377,2.344
"Kenny Clark","34DT","Packers",9.362,2.34
"T.J. Watt","34OLB","Steelers",9.259,2.315
"Andre Roberts","WR","Bills",4.6,2.3
"Chris Conley","WR","Jaguars",4.595,2.298
"Austin Reiter","C","Chiefs",4.55,2.275
"Reuben Foster","ILB","Redskins",9.036,2.259
"Greg Zuerlein","K","Rams",6.75,2.25
"Kendall Lamm","RT","Browns",4.5,2.25
"PJ Williams","CB","Saints",2.25,2.25
"Al Woods","43DT","Seahawks",2.25,2.25
"Vinny Curry","43DE","Eagles",2.25,2.25
"DJ Humphries","LT","Cardinals",8.912,2.228
"Ryan Ramczyk","RT","Saints",8.892,2.223
"Shaq Thompson","43OLB","Panthers",8.809,2.202
"Chris Jones","P","Cowboys",8.7,2.175
"Byron Jones","CB","Cowboys",8.602,2.15
"Tyler Larsen","C","Panthers",4.3,2.15
"Rashaan Melvin","CB","Lions",2.15,2.15
"Peyton Barber","RB","Buccaneers",2.125,2.125
"Tre Boston","S","Panthers",2.125,2.125
"Randy Bullock","K","Bengals",4.205,2.103
"Marcedes Lewis","TE","Packers",2.1,2.1
"Patrick DiMarco","FB","Bills",8.4,2.1
"Vernon Butler","43DT","Panthers",8.397,2.099
"John Simon","43DE","Patriots",4.15,2.075
"Germain Ifedi","RT","Seahawks",8.265,2.066
"Craig Robertson","43OLB","Saints",4.1,2.05
"Quinton Spain","LG","Bills",2.05,2.05
"Donald Penn","LT","Redskins",2.03,2.03
"Jordan Lucas","S","Chiefs",2.025,2.025
"Quinton Jefferson","43DE","Seahawks",2.025,2.025
"Josh Gordon","WR","Seahawks",2.025,2.025
"Alex Erickson","WR","Bengals",4.05,2.025
"Rashard Higgins","WR","Browns",2.025,2.025
"Rashod Hill","RT","Vikings",2.025,2.025
"Brandon Dunn","34DT","Texans",2.025,2.025
"Evan Boehm","RG","Dolphins",2.025,2.025
"Ken Crawley","CB","Dolphins",2.025,2.025
"Adrian Phillips","S","Chargers",2,2
"Timmy Jernigan","43DT","Eagles",2,2
"Robert Griffin III","QB","Ravens",4,2
"Jamie Collins","43OLB","Patriots",2,2
"Morris Claiborne","CB","Chiefs",2,2
"Andy Lee","P","Cardinals",4,2
"Frank Gore","RB","Bills",2,2
"Matt Barkley","QB","Bills",4,2
"Josh McCown","QB","Eagles",2,2
"Damion Square","43DT","Chargers",2,2
"Seth Roberts","WR","Ravens",2,2
"Adrian Clayborn","43DE","Falcons",2,2
"Bashaud Breeland","CB","Chiefs",2,2
"Max Garcia","LG","Cardinals",2,2
"LaAdrian Waddle","LT","Bills",2,2
"Trevor Siemian","QB","Jets",2,2
"Michael Thomas","S","Giants",4,2
"Vontaze Burfict","ILB","Raiders",2,2
"Daren Bates","ILB","Titans",6,2
"Charles Clay","TE","Cardinals",2,2
"Byron Murphy","CB","Cardinals",7.989,1.997
"Rock Ya-Sin","CB","Colts",7.916,1.979
"Damarious Randall","S","Browns",7.916,1.979
"Jawaan Taylor","RT","Jaguars",7.843,1.961
"Mike Glennon","QB","Raiders",1.95,1.95
"Deebo Samuel","WR","49ers",7.697,1.924
"Jeff Heath","S","Cowboys",7.671,1.918
"Greg Little","LT","Panthers",7.639,1.91
"Rontez Miles","S","Jets",1.907,1.907
"Andy Janovich","FB","Broncos",5.7,1.9
"Matt Schaub","QB","Falcons",3.78,1.89
"Austin Corbett","C","Rams",7.518,1.88
"Cody Ford","RT","Bills",7.507,1.877
"Eric Kush","RG","Browns",3.75,1.875
"Brett Hundley","QB","Cardinals",1.875,1.875
"Will Hernandez","LG","Giants",7.451,1.863
"Brandon Bolden","RB","Patriots",3.7,1.85
"Jordan Berry","P","Steelers",3.7,1.85
"Derek Carrier","TE","Raiders",5.55,1.85
"Nevin Lawson","CB","Raiders",1.85,1.85
"Nick Chubb","RB","Browns",7.383,1.846
"Sean Murphy-Bunting","S","Buccaneers",7.376,1.844
"Trayvon Mullen","CB","Raiders",7.259,1.815
"Darius Leonard","43OLB","Colts",7.248,1.812
"Denzelle Good","LG","Raiders",1.8,1.8
"Joe Dahl","LG","Lions",3.6,1.8
"Jamize Olawale","FB","Cowboys",5.4,1.8
"James Develin","FB","Patriots",3.6,1.8
"Joe Thomas","ILB","Cowboys",3.6,1.8
"Braden Smith","RG","Colts",7.194,1.798
"Dalton Risner","LG","Broncos",7.142,1.786
"Kevin King","CB","Packers",7.081,1.77
"Ronald Jones II","RB","Buccaneers",7.072,1.768
"Cam Robinson","LT","Jaguars",7.018,1.755
"Drew Lock","QB","Broncos",7.011,1.753
"Sherrick McManis","CB","Bears",3.5,1.75
"Christian Covington","43DT","Cowboys",1.75,1.75
"Rodney Gunter","34DT","Cardinals",1.75,1.75
"Brandon King","43OLB","Patriots",3.5,1.75
"Pat O'Donnell","P","Bears",3.5,1.75
"Tavon Austin","WR","Cowboys",1.75,1.75
"Brandon Copeland","34OLB","Jets",1.75,1.75
"Roosevelt Nix","FB","Steelers",6.975,1.744
"James Daniels","LG","Bears",6.95,1.738
"Jahlani Tavai","ILB","Lions",6.894,1.723
"Courtland Sutton","WR","Broncos",6.842,1.71
"Budda Baker","S","Cardinals",6.83,1.707
"Sam Martin","P","Lions",1.7,1.7
"Elgton Jenkins","C","Packers",6.783,1.696
"Zay Jones","WR","Raiders",6.78,1.695
"Harold Landry","34OLB","Titans",6.734,1.683
"Forrest Lamp","RG","Chargers",6.687,1.672
"Joejuan Williams","CB","Patriots",6.627,1.657
"Mike Gesicki","TE","Dolphins",6.612,1.653
"Emmanuel Ogbah","43DE","Chiefs",6.61,1.652
"Malcolm Brown","RB","Rams",3.3,1.65
"Marcus Maye","S","Jets",6.554,1.639
"Kerryon Johnson","RB","Lions",6.504,1.626
"Terrence Brooks","S","Patriots",3.25,1.625
"Brooks Reed","34OLB","Cardinals",1.625,1.625
"Greedy Williams","CB","Browns",6.459,1.615
"Curtis Samuel","WR","Panthers",6.454,1.613
"Dante Pettis","WR","49ers",6.401,1.6
"Kevin Pamphile","RG","Titans",1.6,1.6
"Blaine Gabbert","QB","Buccaneers",1.6,1.6
"Dwayne Harris","WR","Raiders",1.6,1.6
"Tom Compton","RG","Jets",1.6,1.6
"TJ Yeldon","RB","Bills",3.2,1.6
"Hunter Henry","TE","Chargers",6.38,1.595
"Dalvin Cook","RB","Vikings",6.353,1.588
"Mark Nzeocha","ILB","49ers",4.75,1.583
"Josh Jackson","CB","Packers",6.256,1.564
"Marcus Williams","S","Saints",6.24,1.56
"Tress Way","P","Redskins",7.8,1.56
"Marquise Blair","S","Seahawks",6.237,1.559
"Chris Jones","43DT","Chiefs",6.231,1.558
"Sidney Jones","CB","Eagles",6.14,1.535
"Breeland Speaks","43DE","Chiefs",6.101,1.525
"Dennis Kelly","RT","Titans",3.05,1.525
"Nick Dzubnar","ILB","Chargers",3.05,1.525
"Erik McCoy","LG","Saints",6.091,1.523
"Gerald Everett","TE","Rams",6.044,1.511
"Chris Milton","CB","Titans",1.5,1.5
"Jaron Brown","WR","Seahawks",1.5,1.5
"Aaron Lynch","34OLB","Bears",1.5,1.5
"Darren Fells","TE","Texans",1.5,1.5
"Neville Hewitt","ILB","Jets",1.5,1.5
"Cody Latimer","WR","Giants",1.5,1.5
"Julian Stanford","ILB","Bills",3,1.5
"Russell Shepard","WR","Giants",1.5,1.5
"Chris Reed","C","Dolphins",2.975,1.488
"Ben Banogu","43DE","Colts",5.945,1.486
"Adam Shaheen","TE","Bears",5.911,1.478
"Christian Kirk","WR","Cardinals",5.895,1.474
"Justin Bethel","CB","Patriots",2.93,1.465
"Reggie Ragland","ILB","Chiefs",5.841,1.46
"Ryan Griffin","QB","Buccaneers",2.9,1.45
"Chris Hogan","WR","Panthers",1.45,1.45
"Bradley Sowell","TE","Bears",1.45,1.45
"Irv Smith Jr.","TE","Vikings",5.798,1.45
"Quincy Wilson","CB","Colts",5.766,1.442
"Uchenna Nwosu","43OLB","Chargers",5.76,1.44
"Kamalei Correa","34OLB","Titans",5.75,1.437
"Austin Johnson","34DT","Titans",5.662,1.416
"A.J. Brown","WR","Titans",5.652,1.413
"Dallas Goedert","TE","Eagles",5.624,1.406
"Kerry Wynn","43DE","Bengals",1.4,1.4
"Matt LaCosse","TE","Patriots",2.8,1.4
"Josh Mauro","43DE","Raiders",1.4,1.4
"Anthony Levine","S","Ravens",4.2,1.4
"Brent Qvale","LT","Jets",1.4,1.4
"Akeem King","S","Seahawks",1.4,1.4
"Tyus Bowser","34OLB","Ravens",5.576,1.394
"Drew Sample","TE","Bengals",5.506,1.377
"Kyle Wilber","43OLB","Raiders",2.75,1.375
"Daniel McCullers","34DT","Steelers",2.75,1.375
"Connor Williams","LG","Cowboys",5.489,1.372
"Joe Mixon","RB","Bengals",5.45,1.363
"Derrick Henry","RB","Titans",5.408,1.352
"Tramaine Brock","CB","Cardinals",1.35,1.35
"Jermaine Kearse","WR","Lions",1.35,1.35
"Ben Braunecker","TE","Bears",2.7,1.35
"Walt Aikens","S","Dolphins",2.7,1.35
"A.Q. Shipley","C","Cardinals",2.7,1.35
"Kyle Love","43DT","Panthers",1.35,1.35
"Miles Sanders","RB","Eagles",5.36,1.34
"Anthony Miller","WR","Bears",5.354,1.338
"Ryan Anderson","34OLB","Redskins",5.325,1.331
"Darren Sproles","RB","Eagles",1.33,1.33
"A'Shawn Robinson","43DT","Lions",5.234,1.308
"Kemoko Turay","43DE","Colts",5.218,1.305
"Lonnie Johnson Jr.","CB","Texans",5.214,1.304
"Cre'Von LeBlanc","CB","Eagles",1.3,1.3
"Deshazor Everett","S","Redskins",2.6,1.3
"Colin Jones","S","Panthers",2.6,1.3
"Justin Evans","S","Buccaneers",5.199,1.3
"Beau Brinkley","LS","Titans",5.125,1.281
"M.J. Stewart","CB","Buccaneers",5.083,1.271
"DeMarcus Walker","34DE","Broncos",5.074,1.268
"Max Scharping","LG","Texans",5.068,1.267
"Jason Spriggs","LT","Packers",5.004,1.251
"Oday Aboushi","RG","Lions",1.25,1.25
"Clinton McDonald","43DT","Cardinals",1.25,1.25
"Jordan Mills","RT","Cardinals",1.25,1.25
"Mecole Hardman","WR","Chiefs",4.995,1.249
"JJ Arcega-Whiteside","WR","Eagles",4.951,1.238
"DeShone Kizer","QB","Raiders",4.948,1.237
"Jessie Bates III","S","Bengals",4.948,1.237
"Jarran Reed","43DT","Seahawks",4.89,1.222
"Trysten Hill","43DT","Cowboys",4.878,1.22
"Luke Rhodes","LS","Colts",4.85,1.213
"Donte Jackson","CB","Panthers",4.813,1.203
"Tavon Wilson","S","Lions",1.2,1.2
"Parris Campbell","WR","Colts",4.776,1.194
"Duke Dawson","S","Broncos",4.745,1.186
"Nasir Adderley","S","Chargers",4.732,1.183
"P.J. Hall","43DT","Raiders",4.704,1.176
"Jake McQuaide","LS","Rams",3.525,1.175
"Raekwon McMillan","ILB","Dolphins",4.698,1.174
"Taylor Rapp","S","Rams",4.674,1.168
"Isaiah Oliver","CB","Falcons",4.637,1.159
"Andy Isabella","WR","Cardinals",4.63,1.157
"Juan Thornhill","S","Chiefs",4.615,1.154
"Chris Manhertz","TE","Panthers",2.3,1.15
"Clark Harris","LS","Bengals",2.295,1.148
"D.K. Metcalf","WR","Seahawks",4.586,1.147
"Dalvin Tomlinson","34DT","Giants",4.572,1.143
"Derrius Guice","RB","Redskins",4.542,1.135
"Kyle Nelson","LS","49ers",4.54,1.135
"James Washington","WR","Steelers",4.501,1.125
"Nick Sundberg","LS","Redskins",4.5,1.125
"Ryan Griffin","TE","Jets",1.125,1.125
"Zak DeOssie","LS","Giants",1.12,1.12
"LP Ladouceur","LS","Cowboys",1.12,1.12
"Don Muhlbach","LS","Lions",1.12,1.12
"Morgan Cox","LS","Ravens",5.6,1.12
"Zach Cunningham","ILB","Texans",4.472,1.118
"Nick Bellore","FB","Seahawks",2.23,1.115
"James O'Shaughnessy","TE","Jaguars",2.225,1.113
"DJ Chark","WR","Jaguars",4.447,1.112
"Tyler Ott","LS","Seahawks",3.33,1.11
"Jahleel Addae","S","Texans",1.105,1.105
"Ethan Pocic","LG","Seahawks",4.409,1.102
"Brian O'Neill","RT","Vikings",4.407,1.102
"Benson Mayowa","43DE","Raiders",1.1,1.1
"Zach Line","FB","Saints",2.2,1.1
"Thomas Hennessy","LS","Jets",4.4,1.1
"Kareem Hunt","RB","Browns",1.1,1.1
"Matthias Farley","S","Jets",2.2,1.1
"Carlton Davis","CB","Buccaneers",4.393,1.098
"Jeffrey Jansen","LS","Panthers",5.475,1.095
"Tyquan Lewis","43DT","Colts",4.366,1.092
"Mike Adams","S","Texans",1.09,1.09
"Tanoh Kpassagnon","43DE","Chiefs",4.321,1.08
"Mackensie Alexander","CB","Vikings",4.316,1.079
"Joe Cardona","LS","Patriots",4.31,1.078
"Dominique Rodgers-Cromartie","CB","Redskins",1.075,1.075
"Zach Allen","34OLB","Cardinals",4.294,1.073
"Chidobe Awuzie","CB","Cowboys",4.284,1.071
"Diontae Johnson","WR","Steelers",4.281,1.07
"Jalen Hurd","WR","49ers",4.28,1.07
"Josh Oliver","TE","Jaguars",4.251,1.063
"Charley Hughlett","LS","Browns",6.37,1.062
"Austin Hooper","TE","Falcons",3.166,1.055
"Darrell Henderson","RB","Rams",4.212,1.053
"Joe Looney","C","Cowboys",2.1,1.05
"JuJu Smith-Schuster","WR","Steelers",4.196,1.049
"Dion Dawkins","LT","Bills",4.183,1.046
"Dre'Mont Jones","34DE","Broncos",4.159,1.04
"Taylor Moton","RT","Panthers",4.158,1.04
"Aaron Brewer","LS","Cardinals",4.15,1.038
"Nick Folk","K","Patriots",1.03,1.03
"Danny Shelton","43DT","Patriots",1.03,1.03
"Pernell McPhee","34OLB","Ravens",1.03,1.03
"Andre Smith","RT","Bengals",1.03,1.03
"Richie Incognito","LG","Raiders",1.03,1.03
"Matt Moore","QB","Chiefs",1.03,1.03
"Brandon Parker","LT","Raiders",4.095,1.024
"Sean Davis","S","Steelers",4.087,1.022
"Germaine Pratt","43OLB","Bengals",4.084,1.021
"Lorenzo Carter","34OLB","Giants",4.083,1.021
"Sam Beal","CB","Giants",4.082,1.021
"Chad Thomas","43DE","Browns",4.082,1.021
"Ted Larsen","LG","Bears",1.02,1.02
"Bilal Powell","RB","Jets",1.02,1.02
"Joe Webb","QB","Texans",1.02,1.02
"Taiwan Jones","RB","Texans",1.02,1.02
"Anthony Sherman","RB","Chiefs",1.02,1.02
"Justin Reid","S","Texans",4.063,1.016
"B.J. Hill","34DE","Giants",4.048,1.012
"Tyler Shatley","C","Jaguars",1.005,1.005
"David Montgomery","RB","Bears",4.015,1.004
"Neiko Thorpe","CB","Seahawks",1,1
"Mo Alexander","43OLB","Bills",1,1
"Isaiah Crowell","RB","Raiders",1,1
"Cassius Marsh","43DE","Cardinals",1,1
"Dan Bailey","K","Vikings",1,1
"Olsen Pierre","34DE","Giants",1,1
"Casey Kreiter","LS","Broncos",1,1
"Blake Bortles","QB","Rams",1,1
"Kerry Hyder","43DE","Cowboys",1,1
"Antonio Hamilton","CB","Giants",1,1
"Fred Warner","ILB","49ers",3.979,0.995
"Geron Christian","LT","Redskins",3.972,0.993
"Vonn Bell","S","Saints",3.972,0.993
"James Bradberry","CB","Panthers",3.961,0.99
"Royce Freeman","RB","Broncos",3.94,0.985
"Adam Gotsis","34DE","Broncos",3.938,0.984
"Mason Rudolph","QB","Steelers",3.922,0.98
"Larry Ogunjobi","43DT","Browns",3.907,0.977
"Jon Weeks","LS","Texans",3.9,0.975
"Devin Singletary","RB","Bills",3.898,0.975
"Ahkello Witherspoon","CB","49ers",3.885,0.971
"Nathan Shepherd","34DE","Jets",3.876,0.969
"D.J. Reader","34DT","Texans",3.87,0.968
"Jace Sternberger","TE","Packers",3.866,0.966
"Alvin Kamara","RB","Saints",3.858,0.964
"Will Grier","QB","Panthers",3.853,0.963
"Terry McLaurin","WR","Redskins",3.848,0.962
"Dawuane Smoot","43DE","Jaguars",3.846,0.962
"Cooper Kupp","WR","Rams",3.832,0.958
"Chase Winovich","43DE","Patriots",3.827,0.957
"Michael Deiter","LG","Dolphins",3.814,0.954
"Jerome Baker","43OLB","Dolphins",3.809,0.952
"David Long","CB","Rams",3.801,0.95
"Pat Elflein","LG","Vikings",3.748,0.937
"Sione Takitaki","ILB","Browns",3.736,0.934
"Dan Feeney","LG","Chargers",3.732,0.933
"Will Harris","S","Lions",3.724,0.931
"Derrick Nnadi","43DT","Chiefs",3.746,0.931
"Terrell McClain","43DT","Raiders",0.93,0.93
"Coty Sensabaugh","CB","Broncos",0.93,0.93
"Stefen Wisniewski","LG","Chiefs",0.93,0.93
"Kurt Coleman","S","Bills",0.93,0.93
"John Jerry","RG","Bengals",0.93,0.93
"Bryan Anger","P","Texans",0.93,0.93
"Britton Colquitt","P","Vikings",0.93,0.93
"Albert McClellan","ILB","Jets",0.93,0.93
"Corey Liuget","34DE","Bills",0.93,0.93
"Marcus Sherels","CB","Dolphins",0.93,0.93
"Lance Kendricks","TE","Chargers",0.93,0.93
"Sam Young","LT","49ers",0.93,0.93
"Darian Stewart","S","Buccaneers",0.93,0.93
"Chris Clark","LT","Texans",0.93,0.93
"J'Marcus Webb","T","Dolphins",0.93,0.93
"Johnson Bademosi","CB","Saints",0.93,0.93
"Josh Bynes","ILB","Ravens",0.93,0.93
"Marshall Newhouse","LT","Patriots",0.93,0.93
"Nate Davis","RG","Titans",3.7,0.925
"Justin Layne","CB","Steelers",3.683,0.921
"Taywan Taylor","WR","Browns",3.681,0.92
"Khalen Saunders","43DT","Chiefs",3.673,0.918
"Reid Ferguson","LS","Bills",2.745,0.915
"Jaylon Ferguson","34OLB","Ravens",3.655,0.914
"Billy Winn","34DE","Broncos",1.825,0.913
"Kahale Warring","TE","Texans",3.64,0.91
"Damien Harris","RB","Patriots",3.631,0.908
"Cody Barton","ILB","Seahawks",3.626,0.907
"Bobby Okereke","ILB","Colts",3.622,0.906
"Cyrus Jones","CB","Ravens",1.811,0.905
"Sam Hubbard","43DE","Bengals",3.619,0.905
"Connor McGovern","LG","Cowboys",3.618,0.905
"Jordan Willis","34OLB","Jets",3.617,0.904
"Trey Pipkins","LT","Chargers",3.608,0.902
"Carl Nassib","34OLB","Buccaneers",3.599,0.9
"Malik Jefferson","43OLB","Browns",3.594,0.898
"Chuma Edoga","RT","Jets",3.587,0.897
"J.J. Wilcox","S","Falcons",0.895,0.895
"Tony Bergstrom","C","Redskins",0.895,0.895
"Ty Montgomery","RB","Jets",0.895,0.895
"Kevin Minter","ILB","Buccaneers",0.895,0.895
"Blidi Wreh-Wilson","CB","Falcons",0.895,0.895
"Alfred Blue","RB","Jaguars",0.895,0.895
"Blake Bell","TE","Chiefs",0.895,0.895
"Kenjon Barner","RB","Falcons",0.895,0.895
"Cedric Ogbuehi","RT","Jaguars",0.895,0.895
"Patrick Omameh","LG","Saints",0.895,0.895
"Rakeem Nunez-Roches","43DT","Buccaneers",0.895,0.895
"Nicholas Williams","34DE","Bears",0.895,0.895
"Geremy Davis","WR","Chargers",0.895,0.895
"Dontrelle Inman","WR","Chargers",0.895,0.895
"Kemal Ishmael","S","Falcons",0.895,0.895
"Dakota Dozier","LG","Vikings",0.895,0.895
"Johnathan Cyprien","S","Falcons",0.895,0.895
"Levine Toilolo","TE","49ers",0.895,0.895
"Josh Shaw","S","Cardinals",0.895,0.895
"Daniel Brown","TE","Jets",0.895,0.895
"Jordan Devey","RG","Raiders",0.895,0.895
"Steven Means","43DE","Falcons",0.895,0.895
"Justin Hardy","WR","Falcons",0.895,0.895
"Mike Hull","ILB","Dolphins",0.895,0.895
"Jon Bostic","ILB","Redskins",0.895,0.895
"Kevin Pierre-Louis","43OLB","Bears",0.895,0.895
"Tyeler Davison","43DT","Falcons",0.895,0.895
"Sean Mannion","QB","Vikings",0.895,0.895
"Alex Tanney","QB","Giants",1.788,0.894
"Miles Boykin","WR","Ravens",3.575,0.894
"Rasheem Green","43DE","Seahawks",3.573,0.893
"James Winchester","LS","Chiefs",4.45,0.89
"Chris Wormley","34DE","Ravens",3.56,0.89
"Jamel Dean","CB","Buccaneers",3.559,0.89
"Maliek Collins","43DT","Cowboys",3.55,0.888
"Martinas Rankin","T","Chiefs",3.546,0.887
"C.J. Beathard","QB","49ers",3.529,0.882
"Michael Gallup","WR","Cowboys",3.524,0.881
"Dawson Knox","TE","Bills",3.522,0.88
"Duke Riley","43OLB","Eagles",3.518,0.879
"Bobby Evans","LT","Rams",3.514,0.878
"Tracy Walker","S","Lions",3.512,0.878
"Quincy Williams","43OLB","Jaguars",3.506,0.877
"Mike Edwards","S","Buccaneers",3.498,0.875
"Orlando Brown","RT","Ravens",3.492,0.873
"Yodny Cajuste","LT","Patriots",3.482,0.871
"Yannick Ngakoue","43DE","Jaguars",3.481,0.87
"Geno Smith","QB","Seahawks",0.87,0.87
"Earl Watford","RG","Buccaneers",0.87,0.87
"Justin Jones","43DT","Chargers",3.476,0.869
"Alexander Mattison","RB","Vikings",3.471,0.868
"Alex Anzalone","43OLB","Saints",3.466,0.866
"Oren Burks","ILB","Packers",3.455,0.864
"Mark Andrews","TE","Ravens",3.453,0.863
"Oshane Ximines","34OLB","Giants",3.453,0.863
"Joseph Noteboom","LT","Rams",3.452,0.863
"Rashaan Gaulden","S","Panthers",3.45,0.862
"Deadrin Senat","43DT","Falcons",3.423,0.856
"Tre'Quan Smith","WR","Saints",3.421,0.855
"Jonathan Bullard","43DT","Cardinals",3.414,0.853
"Chukwuma Okorafor","LT","Steelers",3.407,0.852
"Ronnie Harrison","S","Jaguars",3.388,0.847
"Kenyan Drake","RB","Cardinals",3.381,0.845
"Alex Cappa","RG","Buccaneers",3.369,0.842
"Cornelius Lucas","LT","Bears",0.84,0.84
"Tarvarius Moore","CB","49ers",3.351,0.838
"Logan Thomas","TE","Lions",0.835,0.835
"Jaylen Watkins","S","Chargers",0.835,0.835
"Blake Countess","S","Jets",1.67,0.835
"Fabian Moreau","CB","Redskins",3.339,0.835
"Hakeem Butler","WR","Cardinals",3.328,0.832
"Jordan Akins","TE","Texans",3.324,0.831
"Isaac Yiadom","CB","Broncos",3.323,0.831
"Dorian O'Daniel","43OLB","Chiefs",3.323,0.831
"Greg Van Roten","LG","Panthers",1.66,0.83
"Ryan Finley","QB","Bengals",3.31,0.827
"Chauncey Gardner-Johnson, Jr.","S","Saints",3.307,0.827
"Arden Key","43DE","Raiders",3.439,0.826
"Derek Rivers","43DE","Patriots",3.305,0.826
"Maxx Crosby","43DE","Raiders",3.302,0.826
"Anthony Nelson","34OLB","Buccaneers",3.295,0.824
"Julian Love","S","Giants",3.291,0.823
"Xavier Su'a-Filo","LG","Cowboys",1.645,0.823
"Khari Willis","S","Colts",3.288,0.822
"Chris Godwin","WR","Buccaneers",3.284,0.821
"Mitch Wishnowsky","P","49ers",3.284,0.821
"Keith Reaser","CB","Chiefs",0.82,0.82
"Kendall Sheffield","CB","Falcons",3.28,0.82
"Shon Coleman","LT","49ers",3.279,0.82
"Bryce Love","RB","Redskins",3.274,0.819
"Montravius Adams","34DE","Packers",3.262,0.815
"Justice Hill","RB","Ravens",3.262,0.815
"Dru Samia","RG","Vikings",3.26,0.815
"John Johnson","S","Rams",3.259,0.815
"Shaquill Griffin","CB","Seahawks",3.259,0.815
"Christian Miller","43OLB","Panthers",3.257,0.814
"Amani Hooker","S","Titans",3.256,0.814
"Austin Bryant","43DE","Lions",3.253,0.813
"Jourdan Lewis","CB","Cowboys",3.248,0.812
"Hjalte Froholdt","RG","Patriots",3.243,0.811
"Sheldrick Redwine","S","Browns",3.24,0.81
"Patrick Scales","LS","Bears",0.81,0.81
"Ameer Abdullah","RB","Vikings",0.81,0.81
"Curtis Riley","S","Raiders",0.81,0.81
"Tarell Basham","34OLB","Jets",3.236,0.809
"Harrison Phillips","43DT","Bills",3.235,0.809
"Josh Harris","LS","Falcons",3.235,0.809
"Trevon Wesco","TE","Jets",3.227,0.807
"Benjamin Snell Jr.","RB","Steelers",3.222,0.806
"Mason Cole","C","Cardinals",3.222,0.805
"Rod Smith","RB","Titans",0.805,0.805
"Ben Garland","C","49ers",0.805,0.805
"Will Compton","ILB","Raiders",0.805,0.805
"Ibraheim Campbell","S","Packers",0.805,0.805
"Aaron Colvin","CB","Redskins",0.805,0.805
"Najee Goode","43OLB","Jaguars",0.805,0.805
"DJ Alexander","ILB","Jaguars",0.805,0.805
"Ryan Groy","C","Chargers",0.805,0.805
"Keith Smith","FB","Falcons",0.805,0.805
"Brynden Trawick","S","Ravens",0.805,0.805
"Corey Nelson","ILB","Broncos",0.805,0.805
"John Jenkins","43DT","Dolphins",0.805,0.805
"David Mayo","ILB","Giants",0.805,0.805
"De'Anthony Thomas","WR","Ravens",0.805,0.805
