PID,age,card.pair,sym.col,trial.n,search.time.ms
P49,28,i.25,yellow,11,4310
P28,41,i.03,red,33,8010
P47,29,i.15,red,4,9320
P44,35,i.13,yellow,45,4690
P47,29,i.02,purple,18,6920
P32,28,i.34,green,39,3870
P21,22,i.06,blue,26,5990
P26,20,i.14,purple,27,6365
P28,41,i.10,green,46,6095
P40,28,i.33,red,25,6765
P38,27,i.47,black,34,6895
P26,20,i.46,green,44,8615
P36,34,i.12,blue,42,4975
P17,48,i.13,yellow,41,4130
P29,38,i.10,green,4,5225
P01,38,i.20,purple,35,5855
P37,49,i.41,black,47,5715
P10,18,i.10,green,24,6495
P06,27,i.42,blue,20,8150
P04,30,i.03,red,39,6145
P08,35,i.39,red,8,5190
P14,32,i.14,purple,9,7740
P34,44,i.01,yellow,9,5220
P41,22,i.07,yellow,45,4275
P42,40,i.24,blue,48,7025
P46,36,i.11,black,37,5120
P35,32,i.34,green,5,6905
P03,25,i.40,green,33,6310
P43,36,i.48,blue,11,7115
P38,27,i.01,yellow,12,5255
P03,25,i.35,black,20,6495
P43,36,i.07,yellow,14.000000000000002,7430
P08,35,i.29,black,23,6960
P30,25,i.24,blue,38,6835
P18,22,i.20,purple,15,5810
P19,31,i.30,blue,30,6770
P23,36,i.09,red,48,3870
P35,32,i.35,black,38,6450
P22,28,i.36,blue,17,5535
P03,25,i.38,purple,2,7945
P09,24,i.04,green,41,4955
P11,29,i.03,red,39,5460
P06,27,i.29,black,47,7320
P09,24,i.07,yellow,12,3855
P06,27,i.21,red,41,4930
P21,22,i.09,red,3,7935
P28,41,i.18,blue,30,7145
P07,25,i.02,purple,47,4840
P32,28,i.03,red,11,4065
P46,36,i.05,black,44,6995
P50,31,i.33,red,2,6490
P13,28,i.14,purple,39,7220
P16,31,i.05,black,6,6445
P18,22,i.48,blue,30,7530
P38,27,i.10,green,18,5440
P05,29,i.24,blue,37,8530
P05,29,i.15,red,43,5705
P18,22,i.24,blue,42,5735
P44,35,i.01,yellow,11,4180
P38,27,i.36,blue,11,7405
P18,22,i.05,black,33,7055
P15,31,i.25,yellow,22,4505
P04,30,i.31,yellow,17,2240
P31,30,i.23,black,1,6640
P20,25,i.47,black,25,3975
P41,22,i.04,green,33,4410
P42,40,i.32,purple,28.000000000000004,4170
P50,31,i.01,yellow,48,5360
P33,33,i.40,green,18,5375
P16,31,i.12,blue,26,6500
P14,32,i.25,yellow,12,5915
P43,36,i.23,black,22,7940
P07,25,i.11,black,43,4045
P20,25,i.40,green,44,5735
P23,36,i.05,black,28.000000000000004,4370
P19,31,i.18,blue,47,7375
P02,28,i.42,blue,36,5425
P03,25,i.09,red,45,3475
P45,31,i.05,black,32,5840
P38,27,i.28,green,26,8310
P32,28,i.15,red,44,2080
P14,32,i.21,red,18,5690
P21,22,i.38,purple,1,9275
P25,46,i.42,blue,36,8590
P42,40,i.27,red,4,5565
P19,31,i.37,yellow,17,5810
P07,25,i.18,blue,9,6060
P23,36,i.43,yellow,26,3890
P16,31,i.07,yellow,36,3310
P27,47,i.38,purple,41,5725
P34,44,i.32,purple,14.000000000000002,7160
P45,31,i.36,blue,25,3725
P03,25,i.31,yellow,36,6705
P15,31,i.16,green,8,5175
P13,28,i.48,blue,27,5525
P46,36,i.15,red,8,8285
P08,35,i.32,purple,43,6600
P45,31,i.11,black,41,6115
P44,35,i.20,purple,34,6820
P32,28,i.44,purple,48,4495
P04,30,i.23,black,9,3910
P26,20,i.09,red,30,5500
P11,29,i.21,red,6,5365
P35,32,i.01,yellow,37,4870
P42,40,i.22,green,22,5830
P43,36,i.12,blue,32,6835
P17,48,i.08,purple,18,8195
P06,27,i.01,yellow,18,5790
P38,27,i.08,purple,22,7560
P08,35,i.45,red,17,5435
P28,41,i.45,red,45,4335
P04,30,i.36,blue,20,6725
P30,25,i.37,yellow,45,5615
P17,48,i.38,purple,20,9275
P30,25,i.34,green,32,7550
P29,38,i.40,green,16,4885
P04,30,i.29,black,26,7035
P44,35,i.22,green,46,6115
P18,22,i.11,black,22,6010
P21,22,i.35,black,33,7495
P32,28,i.38,purple,38,4225
P40,28,i.40,green,44,3935
P20,25,i.48,blue,20,6290
P37,49,i.33,red,7.000000000000001,6415
P37,49,i.38,purple,20,5570
P35,32,i.07,yellow,12,2935
P12,45,i.21,red,40,3600
P24,39,i.35,black,11,7420
P01,38,i.42,blue,6,7190
P33,33,i.27,red,25,4115
P21,22,i.47,black,48,4625
P20,25,i.27,red,21,8355
P20,25,i.44,purple,31,6830
P22,28,i.23,black,35,6785
P34,44,i.07,yellow,26,5040
P42,40,i.40,green,33,4795
P07,25,i.19,yellow,48,3510
P38,27,i.13,yellow,8,7920
P01,38,i.34,green,26,6020
P27,47,i.42,blue,45,6575
P40,28,i.39,red,5,5510
P48,45,i.27,red,41,2810
P43,36,i.28,green,16,8865
P47,29,i.12,blue,8,8355
P44,35,i.15,red,20,6150
P21,22,i.24,blue,43,5545
P39,20,i.36,blue,3,4880
P30,25,i.42,blue,42,7640
P05,29,i.45,red,39,4140
P32,28,i.01,yellow,47,3755
P29,38,i.20,purple,18,5400
P24,39,i.16,green,23,7995
P23,36,i.20,purple,41,5265
P50,31,i.24,blue,11,8345
P29,38,i.09,red,6,1300
P26,20,i.17,black,3,5480
P49,28,i.43,yellow,2,4195
P18,22,i.17,black,41,5020
P23,36,i.04,green,11,4140
P42,40,i.47,black,24,6930
P09,24,i.25,yellow,40,5525
P22,28,i.42,blue,32,6135
P24,39,i.19,yellow,28.999999999999996,4875
P41,22,i.15,red,9,6895
P07,25,i.08,purple,18,7565
P43,36,i.25,yellow,10,4735
P42,40,i.17,black,15,6630
P19,31,i.09,red,20,6420
P24,39,i.46,green,10,9260
P21,22,i.40,green,28.999999999999996,6420
P33,33,i.01,yellow,7.000000000000001,7060
P18,22,i.27,red,28.999999999999996,4535
P46,36,i.45,red,23,4385
P48,45,i.03,red,28.000000000000004,5410
P23,36,i.38,purple,17,5825
P48,45,i.19,yellow,18,5165
P17,48,i.09,red,14.000000000000002,7215
P31,30,i.11,black,6,8705
P49,28,i.46,green,10,6675
P04,30,i.37,yellow,13,3990
P21,22,i.02,purple,8,6275
P23,36,i.48,blue,32,7055
P15,31,i.47,black,16,4820
P47,29,i.07,yellow,27,5065
P41,22,i.05,black,7.000000000000001,4150
P04,30,i.13,yellow,35,3800
P06,27,i.09,red,32,7405
P03,25,i.26,purple,28.999999999999996,3765
P41,22,i.12,blue,8,4775
P26,20,i.11,black,1,6645
P03,25,i.45,red,25,6280
P31,30,i.36,blue,41,4520
P38,27,i.03,red,5,10340
P28,41,i.12,blue,42,5495
P08,35,i.02,purple,16,6555
P19,31,i.43,yellow,8,6095
P20,25,i.42,blue,9,6225
P07,25,i.33,red,35,4970
P23,36,i.36,blue,9,5800
P35,32,i.48,blue,35,5925
P23,36,i.44,purple,5,8060
P36,34,i.30,blue,35,6225
P21,22,i.41,black,42,6260
P19,31,i.46,green,28.000000000000004,6885
P13,28,i.27,red,38,6200
P32,28,i.07,yellow,43,3545
P05,29,i.21,red,45,3705
P05,29,i.01,yellow,23,7045
P41,22,i.41,black,25,6710
P30,25,i.01,yellow,13,7925
P40,28,i.43,yellow,12,5150
P30,25,i.14,purple,14.000000000000002,6625
P19,31,i.38,purple,1,8530
P12,45,i.17,black,46,4945
P27,47,i.24,blue,38,7580
P22,28,i.10,green,23,6255
P13,28,i.29,black,5,6420
P26,20,i.30,blue,35,6805
P17,48,i.44,purple,48,5880
P22,28,i.09,red,14.000000000000002,4755
P46,36,i.40,green,6,7160
P12,45,i.18,blue,2,4835
P21,22,i.16,green,19,8940
P46,36,i.08,purple,9,5790
P45,31,i.21,red,9,7495
P21,22,i.18,blue,30,7375
P50,31,i.27,red,32,4565
P40,28,i.35,black,30,6465
P28,41,i.47,black,23,6015
P40,28,i.45,red,38,5600
P40,28,i.24,blue,47,7225
P37,49,i.26,purple,18,7005
P35,32,i.05,black,6,6605
P26,20,i.10,green,34,5750
P35,32,i.02,purple,33,3995
P26,20,i.06,blue,21,6790
P01,38,i.44,purple,34,5010
P36,34,i.32,purple,40,6290
P48,45,i.06,blue,11,4945
P28,41,i.20,purple,19,6815
P36,34,i.13,yellow,27,6070
P16,31,i.47,black,10,5345
P39,20,i.22,green,24,8175
P14,32,i.04,green,31,5770
P44,35,i.03,red,23,5390
P02,28,i.13,yellow,2,4270
P10,18,i.18,blue,16,6150
P35,32,i.21,red,4,6215
P31,30,i.27,red,17,8855
P14,32,i.17,black,36,7555
P33,33,i.42,blue,31,5745
P47,29,i.31,yellow,26,5445
P50,31,i.46,green,30,5800
P06,27,i.11,black,33,5115
P42,40,i.04,green,25,6980
P31,30,i.04,green,21,7640
P09,24,i.14,purple,23,4250
P09,24,i.39,red,38,4885
P35,32,i.40,green,11,6775
P45,31,i.29,black,36,5430
P27,47,i.01,yellow,36,4630
P44,35,i.17,black,35,6205
P04,30,i.18,blue,3,5250
P22,28,i.33,red,28.999999999999996,4600
P13,28,i.28,green,20,6920
P40,28,i.20,purple,39,7080
P10,18,i.29,black,14.000000000000002,6815
P04,30,i.12,blue,47,4700
P02,28,i.14,purple,43,7320
P31,30,i.06,blue,10,7590
P34,44,i.05,black,32,5815
P33,33,i.12,blue,10,7015
P33,33,i.10,green,9,5155
P20,25,i.29,black,45,9120
P15,31,i.43,yellow,20,4375
P36,34,i.10,green,15,8185
P15,31,i.15,red,25,2990
P47,29,i.47,black,12,5175
P49,28,i.27,red,14.000000000000002,6865
P20,25,i.10,green,43,3980
P45,31,i.44,purple,11,7045
P36,34,i.05,black,17,4510
P46,36,i.28,green,33,5170
P36,34,i.21,red,8,5805
P01,38,i.32,purple,19,7040
P24,39,i.37,yellow,40,5005
P05,29,i.40,green,8,3855
P16,31,i.44,purple,13,5620
P50,31,i.38,purple,22,4935
P02,28,i.09,red,28.999999999999996,5290
P34,44,i.22,green,10,5505
P09,24,i.09,red,30,4445
P03,25,i.14,purple,12,5635
P42,40,i.07,yellow,30,4080
P26,20,i.29,black,33,6045
P12,45,i.29,black,7.000000000000001,7735
P43,36,i.11,black,6,4370
P49,28,i.33,red,21,4675
P41,22,i.45,red,35,3910
P04,30,i.10,green,27,6855
P35,32,i.39,red,36,7745
P50,31,i.44,purple,33,5550
P03,25,i.46,green,6,10030
P26,20,i.38,purple,36,6285
P06,27,i.27,red,1,6920
P11,29,i.11,black,13,8315
P17,48,i.28,green,38,6455
P39,20,i.23,black,27,5360
P20,25,i.14,purple,26,9130
P24,39,i.41,black,8,6380
P33,33,i.22,green,32,3890
P28,41,i.16,green,27,5785
P36,34,i.08,purple,3,7390
P42,40,i.11,black,9,4765
P19,31,i.47,black,5,5490
P07,25,i.25,yellow,30,5005
P09,24,i.13,yellow,16,3960
P15,31,i.17,black,46,5180
P37,49,i.47,black,44,8490
P16,31,i.33,red,46,3575
P49,28,i.15,red,40,5180
P09,24,i.21,red,36,5075
P04,30,i.14,purple,6,6785
P10,18,i.47,black,30,6545
P48,45,i.04,green,42,4840
P41,22,i.25,yellow,43,2350
P24,39,i.29,black,27,5980
P41,22,i.38,purple,16,3435
P45,31,i.17,black,47,2745
P20,25,i.34,green,28.000000000000004,5425
P42,40,i.35,black,31,6130
P15,31,i.30,blue,47,4230
P07,25,i.22,green,28.999999999999996,5070
P02,28,i.03,red,46,6990
P44,35,i.19,yellow,30,3500
P37,49,i.42,blue,35,8010
P29,38,i.06,blue,9,4290
P06,27,i.30,blue,40,7545
P07,25,i.47,black,45,6935
P20,25,i.09,red,13,6675
P40,28,i.25,yellow,28.999999999999996,5685
P35,32,i.33,red,26,4995
P19,31,i.22,green,35,6270
P12,45,i.16,green,3,5190
P47,29,i.27,red,46,5120
P05,29,i.22,green,21,5830
P01,38,i.46,green,38,3150
P10,18,i.23,black,27,7135
P49,28,i.18,blue,24,5520
P44,35,i.46,green,25,5435
P15,31,i.18,blue,10,5805
P24,39,i.18,blue,7.000000000000001,8130
P25,46,i.28,green,35,6450
P19,31,i.23,black,4,4540
P37,49,i.01,yellow,36,3115
P50,31,i.30,blue,35,7085
P20,25,i.11,black,2,7585
P27,47,i.35,black,28.999999999999996,1810
P39,20,i.25,yellow,42,5880
P22,28,i.16,green,25,5630
P27,47,i.46,green,2,5725
P33,33,i.08,purple,26,5915
P32,28,i.31,yellow,26,3535
P35,32,i.19,yellow,8,6900
P22,28,i.30,blue,45,7150
P38,27,i.43,yellow,17,5670
P11,29,i.39,red,3,4150
P29,38,i.18,blue,32,5220
P50,31,i.04,green,46,6010
P50,31,i.43,yellow,6,6230
P45,31,i.08,purple,24,7575
P25,46,i.38,purple,6,7480
P22,28,i.43,yellow,21,5130
P38,27,i.45,red,2,8515
P26,20,i.47,black,37,5210
P10,18,i.05,black,17,5960
P15,31,i.26,purple,39,3950
P33,33,i.14,purple,39,5035
P18,22,i.12,blue,32,5965
P45,31,i.34,green,15,6740
P04,30,i.15,red,31,5275
P01,38,i.21,red,10,4120
P40,28,i.17,black,4,5670
P47,29,i.17,black,34,5650
P37,49,i.34,green,32,3935
P15,31,i.01,yellow,27,5320
P32,28,i.14,purple,27,4450
P26,20,i.01,yellow,20,6160
P13,28,i.07,yellow,23,6965
P27,47,i.16,green,9,4985
P02,28,i.28,green,12,6260
P14,32,i.32,purple,47,5375
P13,28,i.21,red,18,2865
P13,28,i.30,blue,44,6235
P03,25,i.39,red,31,3090
P31,30,i.30,blue,3,6545
P19,31,i.29,black,13,7790
P11,29,i.10,green,35,5680
P34,44,i.14,purple,47,8020
P21,22,i.17,black,28.000000000000004,10545
P25,46,i.24,blue,10,9690
P40,28,i.18,blue,46,4935
P01,38,i.11,black,30,7135
P17,48,i.27,red,31,6045
P12,45,i.01,yellow,47,7575
P21,22,i.44,purple,13,4815
P31,30,i.14,purple,4,7335
P05,29,i.32,purple,1,7285
P27,47,i.03,red,5,5390
P37,49,i.27,red,21,5545
P15,31,i.46,green,28.999999999999996,4465
P05,29,i.37,yellow,35,5985
P46,36,i.03,red,26,5775
P32,28,i.05,black,33,2230
P30,25,i.40,green,43,6830
P34,44,i.15,red,36,7640
P45,31,i.06,blue,44,6295
P09,24,i.42,blue,20,6615
P39,20,i.28,green,22,7280
P08,35,i.42,blue,31,6285
P32,28,i.09,red,10,3015
P06,27,i.46,green,36,6340
P01,38,i.26,purple,21,4390
P06,27,i.08,purple,13,8510
P33,33,i.04,green,48,5160
P42,40,i.46,green,45,6325
P14,32,i.01,yellow,13,8130
P41,22,i.34,green,27,4185
P17,48,i.30,blue,27,5575
P20,25,i.28,green,34,7715
P28,41,i.27,red,16,6435
P39,20,i.06,blue,36,6255
P11,29,i.12,blue,30,5740
P46,36,i.21,red,21,6185
P04,30,i.21,red,5,5360
P28,41,i.21,red,13,5645
P31,30,i.13,yellow,24,4290
P43,36,i.06,blue,8,6890
P36,34,i.36,blue,41,4905
P23,36,i.15,red,20,4835
P07,25,i.38,purple,44,4860
P25,46,i.05,black,9,7245
P13,28,i.26,purple,33,6270
P13,28,i.19,yellow,46,6815
P24,39,i.45,red,18,7600
P14,32,i.29,black,41,7895
P25,46,i.12,blue,33,6830
P06,27,i.22,green,9,7685
P06,27,i.40,green,12,7730
P50,31,i.37,yellow,4,4240
P07,25,i.23,black,34,5530
P17,48,i.03,red,42,4800
P29,38,i.13,yellow,23,5470
P15,31,i.02,purple,3,5095
P39,20,i.32,purple,48,5365
P37,49,i.13,yellow,6,4955
P03,25,i.41,black,21,5975
P47,29,i.26,purple,20,5820
P34,44,i.18,blue,24,7150
P30,25,i.05,black,33,8585
P48,45,i.16,green,33,5390
P06,27,i.20,purple,44,8160
P40,28,i.14,purple,10,8340
P08,35,i.11,black,5,4415
P09,24,i.18,blue,32,7460
P08,35,i.01,yellow,19,4700
P12,45,i.48,blue,26,5735
P03,25,i.47,black,40,5235
P12,45,i.35,black,39,6360
P21,22,i.33,red,35,6185
P46,36,i.48,blue,28.999999999999996,5785
P15,31,i.11,black,35,3795
P46,36,i.13,yellow,17,3705
P15,31,i.28,green,26,4945
P09,24,i.08,purple,9,5530
P44,35,i.37,yellow,4,5425
P29,38,i.22,green,1,4180
P17,48,i.02,purple,36,6090
P02,28,i.45,red,32,5005
P27,47,i.31,yellow,42,2790
P37,49,i.20,purple,27,4710
P45,31,i.38,purple,27,6955
P04,30,i.17,black,38,6330
P20,25,i.33,red,27,6700
P27,47,i.33,red,7.000000000000001,3155
P22,28,i.12,blue,16,5760
P03,25,i.15,red,10,6960
P48,45,i.17,black,44,4415
P43,36,i.02,purple,26,8640
P48,45,i.40,green,14.000000000000002,4435
P10,18,i.44,purple,42,7835
P26,20,i.18,blue,48,8650
P31,30,i.17,black,16,4300
P15,31,i.19,yellow,28.000000000000004,2965
P15,31,i.34,green,2,5565
P23,36,i.42,blue,46,6755
P28,41,i.36,blue,26,6245
P50,31,i.35,black,41,5805
P04,30,i.40,green,12,7825
P12,45,i.40,green,9,4630
P23,36,i.13,yellow,44,3130
P40,28,i.32,purple,42,4345
P19,31,i.35,black,45,5295
P36,34,i.43,yellow,19,3835
P30,25,i.10,green,46,5520
P14,32,i.39,red,30,6915
P24,39,i.33,red,24,6540
P05,29,i.19,yellow,24,5620
P03,25,i.05,black,37,6315
P25,46,i.48,blue,5,8635
P09,24,i.12,blue,22,6390
P18,22,i.41,black,20,4545
P22,28,i.08,purple,7.000000000000001,6420
P48,45,i.38,purple,23,8435
P33,33,i.46,green,45,5310
P09,24,i.48,blue,47,6465
P15,31,i.37,yellow,13,4970
P42,40,i.41,black,14.000000000000002,6760
P25,46,i.09,red,47,3750
P11,29,i.42,blue,42,5550
P28,41,i.26,purple,32,7455
P27,47,i.05,black,17,6790
P20,25,i.23,black,24,8830
P40,28,i.06,blue,1,4620
P44,35,i.06,blue,17,6125
P27,47,i.10,green,30,5245
P15,31,i.21,red,21,2935
P15,31,i.22,green,7.000000000000001,7545
P27,47,i.15,red,8,4820
P06,27,i.33,red,7.000000000000001,6460
P23,36,i.26,purple,19,7840
P17,48,i.33,red,35,3715
P19,31,i.12,blue,11,5045
P49,28,i.17,black,46,6990
P35,32,i.03,red,28.000000000000004,5880
P21,22,i.31,yellow,11,8190
P24,39,i.07,yellow,4,3745
P35,32,i.15,red,44,6445
P44,35,i.45,red,28.000000000000004,3345
P12,45,i.14,purple,21,4640
P23,36,i.46,green,13,4835
P01,38,i.14,purple,28.999999999999996,4960
P21,22,i.30,blue,24,6430
P07,25,i.40,green,20,5165
P48,45,i.14,purple,22,5805
P22,28,i.35,black,38,3115
P18,22,i.45,red,43,3280
P08,35,i.38,purple,28.999999999999996,7270
P48,45,i.39,red,13,6350
P21,22,i.23,black,34,8275
P02,28,i.20,purple,4,3430
P35,32,i.09,red,41,5310
P21,22,i.01,yellow,12,7305
P40,28,i.03,red,9,6020
P45,31,i.02,purple,45,4800
P14,32,i.38,purple,16,5980
P33,33,i.38,purple,24,5760
P36,34,i.44,purple,24,6595
P11,29,i.07,yellow,37,9240
P50,31,i.36,blue,5,6590
P26,20,i.40,green,14.000000000000002,7330
P13,28,i.16,green,42,6865
P16,31,i.16,green,42,7050
P42,40,i.20,purple,36,5270
P17,48,i.24,blue,19,6475
P19,31,i.19,yellow,18,4665
P29,38,i.14,purple,11,5265
P23,36,i.01,yellow,38,4480
P46,36,i.19,yellow,4,5535
P42,40,i.12,blue,40,3240
P10,18,i.41,black,1,5515
P02,28,i.02,purple,34,3650
P35,32,i.43,yellow,19,7480
P49,28,i.07,yellow,28.999999999999996,5980
P49,28,i.39,red,42,5265
P25,46,i.39,red,1,5740
P29,38,i.25,yellow,28.000000000000004,3405
P26,20,i.24,blue,6,8055
P39,20,i.16,green,35,6345
P34,44,i.40,green,19,6375
P12,45,i.43,yellow,25,5120
P18,22,i.33,red,23,2740
P18,22,i.38,purple,16,4820
P42,40,i.28,green,41,7010
P34,44,i.03,red,43,6640
P35,32,i.44,purple,25,7250
P20,25,i.04,green,6,5240
P14,32,i.13,yellow,10,7665
P31,30,i.29,black,34,5940
P13,28,i.15,red,6,8570
P24,39,i.30,blue,47,4990
P43,36,i.43,yellow,42,5735
P50,31,i.11,black,31,6545
P35,32,i.32,purple,2,4580
P18,22,i.43,yellow,48,2865
P22,28,i.21,red,33,3775
P39,20,i.34,green,21,7655
P10,18,i.33,red,48,5280
P25,46,i.35,black,12,6080
P39,20,i.10,green,41,4720
P39,20,i.01,yellow,18,7275
P26,20,i.28,green,43,7965
P47,29,i.48,blue,44,5735
P03,25,i.27,red,14.000000000000002,6515
P05,29,i.05,black,28.000000000000004,4750
P49,28,i.21,red,22,4575
P45,31,i.43,yellow,38,7505
P36,34,i.34,green,11,5385
P03,25,i.12,blue,18,6245
P05,29,i.02,purple,22,7000
P33,33,i.06,blue,6,5450
P44,35,i.27,red,10,8495
P25,46,i.16,green,27,4710
P11,29,i.26,purple,15,7820
P12,45,i.24,blue,20,8780
P49,28,i.08,purple,41,5465
P08,35,i.04,green,42,8180
P18,22,i.19,yellow,36,3350
P29,38,i.15,red,26,3205
P04,30,i.47,black,15,5550
P35,32,i.42,blue,46,6810
P14,32,i.36,blue,32,9140
P43,36,i.19,yellow,46,5070
P16,31,i.18,blue,32,7300
P50,31,i.34,green,3,6970
P34,44,i.28,green,13,9380
P44,35,i.12,blue,15,6285
P41,22,i.14,purple,24,6280
P16,31,i.20,purple,39,6210
P44,35,i.02,purple,33,3385
P45,31,i.27,red,46,7085
P31,30,i.39,red,25,5485
P02,28,i.32,purple,35,3220
P24,39,i.25,yellow,42,5740
P27,47,i.37,yellow,47,1545
P14,32,i.35,black,7.000000000000001,8825
P48,45,i.05,black,16,5490
P37,49,i.18,blue,48,8325
P29,38,i.23,black,27,5205
P15,31,i.05,black,32,5165
P04,30,i.38,purple,30,6305
P49,28,i.01,yellow,28.000000000000004,5995
P30,25,i.12,blue,11,6950
P30,25,i.47,black,35,6190
P43,36,i.15,red,17,7180
P43,36,i.24,blue,7.000000000000001,6750
P32,28,i.20,purple,21,6300
P45,31,i.20,purple,5,5220
P08,35,i.35,black,22,8565
P48,45,i.44,purple,15,7200
P06,27,i.35,black,19,6800
P16,31,i.24,blue,15,7580
P27,47,i.14,purple,48,3605
P02,28,i.01,yellow,33,4985
P10,18,i.08,purple,32,9185
P34,44,i.33,red,12,7685
P27,47,i.43,yellow,43,4165
P18,22,i.36,blue,19,6470
P30,25,i.35,black,20,7055
P40,28,i.31,yellow,43,6085
P31,30,i.40,green,42,4315
P43,36,i.45,red,18,7345
P06,27,i.41,black,37,8770
P35,32,i.46,green,22,8165
P31,30,i.38,purple,35,5985
P48,45,i.28,green,46,5780
P09,24,i.41,black,39,7555
P48,45,i.11,black,17,5895
P26,20,i.42,blue,5,7190
P26,20,i.32,purple,10,4745
P28,41,i.05,black,47,5510
P04,30,i.35,black,16,7040
P34,44,i.45,red,41,7195
P38,27,i.19,yellow,47,4805
P19,31,i.04,green,12,7830
P27,47,i.13,yellow,18,4290
P34,44,i.02,purple,11,9520
P27,47,i.20,purple,26,3985
P41,22,i.17,black,18,4175
P07,25,i.15,red,17,6295
P34,44,i.42,blue,38,7425
P33,33,i.24,blue,23,7760
P22,28,i.44,purple,43,6110
P22,28,i.27,red,27,3655
P41,22,i.21,red,31,2315
P13,28,i.09,red,1,5815
P26,20,i.44,purple,11,4575
P34,44,i.16,green,27,5145
P49,28,i.30,blue,17,6985
P12,45,i.02,purple,28.000000000000004,7115
P16,31,i.08,purple,37,5020
P03,25,i.36,blue,46,5690
P25,46,i.15,red,18,4740
P03,25,i.21,red,28.000000000000004,3995
P01,38,i.31,yellow,3,5300
P13,28,i.44,purple,13,8200
P21,22,i.39,red,18,6420
P48,45,i.13,yellow,39,3710
P32,28,i.21,red,45,2800
P35,32,i.25,yellow,31,5920
P48,45,i.09,red,12,5245
P14,32,i.46,green,11,8010
P11,29,i.01,yellow,17,5790
P13,28,i.24,blue,15,7095
P48,45,i.26,purple,45,6815
P01,38,i.41,black,36,5735
P06,27,i.07,yellow,27,6815
P43,36,i.29,black,3,5100
P02,28,i.04,green,39,3940
P30,25,i.48,blue,8,8500
P44,35,i.05,black,8,5585
P06,27,i.03,red,25,6045
P07,25,i.09,red,7.000000000000001,4865
P18,22,i.46,green,17,5355
P34,44,i.43,yellow,1,4760
P21,22,i.10,green,25,6770
P11,29,i.18,blue,31,7450
P23,36,i.16,green,18,7275
P05,29,i.07,yellow,31,6475
P25,46,i.45,red,37,4195
P44,35,i.40,green,36,5010
P08,35,i.25,yellow,12,3445
P46,36,i.43,yellow,11,5305
P01,38,i.18,blue,13,4790
P02,28,i.24,blue,42,6760
P12,45,i.41,black,22,4810
P41,22,i.40,green,36,3840
P41,22,i.47,black,20,7065
P22,28,i.32,purple,15,8935
P38,27,i.06,blue,16,6005
P26,20,i.04,green,8,6890
P23,36,i.32,purple,45,3850
P49,28,i.42,blue,25,6605
P35,32,i.11,black,43,5760
P22,28,i.28,green,26,4305
P27,47,i.23,black,4,4795
P45,31,i.28,green,4,6910
P43,36,i.39,red,20,4390
P35,32,i.17,black,42,3975
P42,40,i.03,red,13,7945
P12,45,i.20,purple,11,5595
P34,44,i.47,black,34,6260
P30,25,i.06,blue,27,7435
P05,29,i.48,blue,5,8135
P22,28,i.24,blue,1,5020
P49,28,i.44,purple,37,6780
P08,35,i.44,purple,24,6850
P44,35,i.29,black,14.000000000000002,6705
P47,29,i.09,red,6,5960
P25,46,i.36,blue,25,8695
P43,36,i.10,green,34,6550
P43,36,i.44,purple,47,8400
P41,22,i.31,yellow,32,5225
P13,28,i.47,black,30,5560
P21,22,i.25,yellow,9,6290
P35,32,i.36,blue,48,7510
P50,31,i.25,yellow,39,4020
P18,22,i.07,yellow,24,5780
P03,25,i.28,green,26,8255
P01,38,i.24,blue,33,5585
P21,22,i.37,yellow,17,6245
P22,28,i.18,blue,9,7665
P39,20,i.09,red,19,6865
P11,29,i.27,red,47,5560
P48,45,i.41,black,30,5950
P43,36,i.14,purple,33,8390
P13,28,i.43,yellow,26,4560
P15,31,i.13,yellow,24,5035
P22,28,i.29,black,18,5155
P19,31,i.01,yellow,3,7240
P30,25,i.32,purple,24,4910
P39,20,i.29,black,4,4115
P32,28,i.24,blue,35,2695
P22,28,i.05,black,3,6115
P16,31,i.19,yellow,28.999999999999996,3500
P33,33,i.28,green,11,7755
P30,25,i.44,purple,28.999999999999996,6655
P17,48,i.22,green,7.000000000000001,5780
P39,20,i.21,red,16,5580
P07,25,i.44,purple,1,7665
P25,46,i.37,yellow,4,3490
P40,28,i.21,red,34,4015
P36,34,i.28,green,34,7330
P11,29,i.24,blue,8,6610
P02,28,i.38,purple,26,4385
P26,20,i.05,black,46,2980
P41,22,i.19,yellow,22,1200
P38,27,i.46,green,39,4550
P24,39,i.34,green,17,7110
P15,31,i.24,blue,6,5260
P01,38,i.45,red,17,4470
P10,18,i.25,yellow,47,4175
P37,49,i.30,blue,15,6905
P41,22,i.18,blue,39,5800
P50,31,i.29,black,36,4615
P41,22,i.42,blue,21,5765
P26,20,i.15,red,38,5845
P49,28,i.26,purple,19,4710
P20,25,i.32,purple,5,6680
P41,22,i.32,purple,6,8265
P10,18,i.20,purple,34,5615
P34,44,i.24,blue,7.000000000000001,8255
P29,38,i.07,yellow,33,3525
P13,28,i.05,black,8,5915
P41,22,i.27,red,2,4730
P18,22,i.26,purple,44,5240
P30,25,i.13,yellow,30,4720
P23,36,i.39,red,30,5180
P15,31,i.20,purple,12,7335
P40,28,i.16,green,23,5320
P39,20,i.26,purple,23,5950
P34,44,i.23,black,20,5600
P18,22,i.28,green,4,8220
P02,28,i.17,black,22,5960
P45,31,i.01,yellow,19,6835
P03,25,i.25,yellow,24,4585
P31,30,i.16,green,33,5260
P39,20,i.30,blue,10,4460
