"ID","Dep1","Dep2","Dep3","Dep4","Dep5","Dep6","Avail1","Avail2","Avail3","Avail4","CAnx1","CAnx2","CAnx3","CAnx4","CDep1","CDep2","CDep3","CDep4"
348,4,3,5,5,4,4,4,4,3,3,3,3,4,4,4,3,3,4
349,3,3,4,3,4,3,3,4,3,3,4,3,3,3,4,4,4,4
350,4,3,3,4,4,3,4,3,3,3,3,3,4,2,3,3,4,4
351,3,3,4,3,2,3,4,4,5,5,4,4,5,4,2,3,4,4
352,2,2,3,3,3,2,4,3,3,2,2,2,2,2,2,3,3,3
353,3,2,2,3,2,2,3,3,4,3,4,2,2,3,2,3,3,2
354,3,3,3,3,3,3,3,3,4,2,3,3,3,3,3,3,4,2
355,4,4,3,4,5,4,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
356,2,2,2,2,3,3,3,3,3,4,4,3,3,3,3,3,3,4
357,2,2,2,3,3,3,4,4,3,2,3,4,3,3,3,4,4,4
358,3,4,4,4,4,4,4,5,5,4,2,3,3,3,4,4,3,3
359,3,3,4,3,3,3,2,2,3,3,3,3,3,3,2,3,2,2
360,3,1,2,3,3,1,3,4,4,2,2,2,3,3,3,2,3,1
361,3,2,4,5,2,3,3,3,4,4,4,3,3,3,4,4,3,3
362,3,4,4,3,3,2,3,4,3,3,5,4,3,4,3,4,4,3
363,3,1,3,4,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
364,2,2,3,3,3,2,3,4,3,4,1,1,1,1,2,2,3,1
365,3,2,4,3,2,2,4,4,3,4,4,4,4,5,3,4,3,2
366,3,3,4,4,3,4,2,3,4,2,3,3,3,4,3,3,3,3
367,4,4,4,3,2,3,2,2,3,4,4,3,4,3,3,4,4,3
368,3,2,4,4,3,3,3,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA
369,3,3,3,3,3,2,1,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
370,3,2,3,2,4,3,2,3,3,3,3,2,3,4,2,3,2,3
371,3,2,3,2,3,3,4,4,2,3,3,3,3,3,2,2,3,1
372,4,2,4,4,4,3,3,4,4,3,4,4,3,2,4,3,4,4
373,3,2,4,4,3,2,2,4,5,2,3,2,3,3,3,3,3,3
374,2,2,1,2,2,3,3,3,2,2,3,3,2,3,4,2,2,2
375,4,3,4,2,4,2,4,4,3,3,4,4,4,4,3,4,3,4
376,3,3,3,3,3,3,2,2,3,3,3,3,3,4,2,3,3,5
377,2,2,3,3,3,2,4,3,3,2,2,2,2,3,2,3,3,2
378,3,3,3,3,3,1,2,5,3,3,4,4,3,3,2,2,3,4
379,3,3,4,4,3,2,2,4,3,4,2,3,3,3,2,3,3,2
380,3,2,2,4,2,3,1,2,2,2,2,2,2,2,2,2,1,2
381,2,2,3,3,3,3,2,2,2,2,4,3,4,4,4,3,3,4
382,3,3,4,5,3,3,1,1,2,3,1,2,3,3,2,3,2,4
383,2,2,3,3,3,2,2,4,4,4,3,3,3,2,3,3,3,3
384,3,2,3,4,3,3,2,3,2,1,4,3,3,3,4,4,4,4
385,2,1,1,1,2,1,2,3,2,3,2,2,1,2,2,2,3,1
386,3,3,4,2,4,4,4,5,3,2,5,4,4,4,4,4,3,4
387,2,1,3,3,2,2,1,1,1,2,3,2,2,4,2,1,2,2
388,2,2,2,2,2,2,3,4,3,3,2,3,2,1,1,2,1,2
389,3,3,3,4,4,3,2,4,4,3,3,3,4,4,4,3,4,3
390,1,2,3,3,2,2,3,4,4,3,3,2,3,2,4,3,2,3
391,3,2,4,3,3,4,3,4,3,3,4,4,2,4,3,4,4,3
392,2,1,2,2,2,2,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
393,3,2,4,3,2,2,4,4,3,3,2,2,3,3,3,3,3,5
394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,5,3,2,3,3
395,2,3,4,4,3,2,2,3,3,3,3,3,4,4,4,3,4,4
396,2,2,3,2,2,2,4,3,2,2,4,3,3,4,3,2,3,1
397,3,3,4,3,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
398,3,4,5,4,4,4,3,3,3,4,1,2,2,2,2,3,1,3
399,4,4,4,4,5,5,3,3,3,4,2,2,2,2,2,3,4,4
400,2,2,2,3,2,3,3,3,3,3,3,2,3,3,4,3,3,3
401,2,4,3,3,3,4,4,2,3,3,4,3,3,2,2,4,3,3
402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,4,3,3,3,4
403,3,2,3,3,2,3,3,3,3,3,3,3,3,2,3,3,5,4
404,3,3,4,5,4,4,3,4,5,3,5,4,4,3,4,4,4,5
405,2,2,3,3,2,3,3,3,3,3,2,1,3,2,3,3,4,3
406,3,3,3,2,4,3,4,4,4,3,3,3,3,3,3,2,3,3
407,4,3,5,4,4,3,4,3,3,3,5,4,5,4,4,4,5,4
408,3,4,4,3,3,4,2,3,3,4,4,2,3,3,4,4,4,3
409,2,2,3,3,3,3,3,4,3,5,4,3,3,4,3,3,3,2
410,3,3,3,4,4,3,3,3,3,2,3,2,2,2,2,3,1,2
411,2,1,2,2,1,1,1,2,1,2,3,2,2,2,1,1,2,2
412,4,2,3,3,3,3,2,4,3,4,4,3,2,4,4,3,3,2
413,3,3,4,3,3,3,3,3,5,3,3,2,3,2,5,5,4,5
414,2,3,3,3,3,3,5,4,4,3,3,3,3,3,4,2,4,3
415,2,1,2,3,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA
416,4,3,4,3,3,4,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
417,4,3,2,3,3,3,4,3,3,4,3,3,4,2,3,4,4,4
418,2,2,4,3,3,3,2,3,3,2,3,3,2,3,3,3,2,5
419,4,3,3,4,4,3,3,2,4,3,NA,NA,NA,NA,NA,NA,NA,NA
420,1,2,3,2,3,3,2,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA
421,4,2,4,3,4,3,2,4,3,3,2,3,4,3,3,4,3,3
422,1,1,2,3,3,2,3,4,4,4,3,3,4,4,5,3,3,5
423,1,2,3,3,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
424,4,4,5,4,3,5,4,3,4,3,5,4,4,4,5,5,4,4
425,4,4,4,4,3,4,2,2,3,3,3,3,3,3,3,4,3,4
426,3,3,4,2,2,3,3,3,4,4,4,4,4,3,4,3,4,4
427,4,3,4,4,4,4,3,3,3,3,4,4,5,3,3,4,4,3
428,3,2,4,4,3,3,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
429,3,3,5,5,3,3,3,3,3,2,3,3,4,2,4,4,3,4
430,2,3,2,4,2,3,3,3,3,3,5,4,3,4,3,2,2,2
431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,3,1
432,3,1,2,2,4,2,1,2,3,3,3,2,1,2,2,3,3,2
433,2,1,2,2,3,2,2,2,1,3,2,1,1,3,1,2,2,1
434,3,3,3,3,3,3,3,3,4,2,4,1,2,3,3,3,2,3
435,4,3,4,5,4,4,2,4,3,2,4,3,3,3,5,3,5,4
436,4,3,4,4,4,4,3,3,3,3,4,3,4,3,5,5,5,5
437,2,2,3,2,3,3,3,3,3,3,2,2,3,3,3,3,3,3
438,4,3,3,3,4,4,2,4,2,3,3,3,4,3,3,4,4,4
439,3,3,4,4,4,4,3,3,5,4,3,3,2,2,3,4,2,3
440,4,3,3,3,3,3,3,4,3,4,3,2,2,3,4,3,4,4
441,3,3,3,3,3,2,2,2,4,2,3,3,4,3,2,1,2,3
442,3,3,4,3,3,5,5,5,4,3,3,3,3,3,3,5,3,4
443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
444,3,4,3,4,3,3,2,4,4,3,4,4,3,4,5,4,4,5
445,2,2,3,2,1,3,2,3,2,3,3,2,1,2,3,2,3,2
446,2,2,3,3,2,2,3,4,3,4,4,3,2,3,4,4,5,3
447,2,1,3,3,3,3,3,3,3,2,4,4,3,3,3,3,4,3
448,3,3,2,2,3,3,4,5,4,3,NA,NA,NA,NA,NA,NA,NA,NA
449,4,4,3,4,3,4,3,3,3,2,3,4,3,3,3,3,4,4
450,3,3,4,3,3,4,3,3,3,4,3,2,2,4,5,4,5,3
451,2,2,3,3,2,2,3,3,2,3,3,3,2,2,3,3,3,3
452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,3,4,3,4,2,3
453,1,2,3,3,2,1,3,3,3,4,3,3,2,2,2,1,2,2
454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,2,3,4,4,3,5
455,3,2,4,3,2,3,3,2,3,3,2,2,3,2,3,3,1,3
456,1,1,2,2,3,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
457,2,2,4,3,3,4,2,3,3,2,4,3,4,3,3,4,3,4
458,4,3,4,3,3,3,3,2,3,2,3,3,3,3,3,2,3,2
459,2,3,3,4,3,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
460,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,2,1,2,3,3,1
461,3,2,3,4,3,2,3,3,2,3,2,1,2,2,3,3,3,3
462,4,2,4,3,3,2,3,3,4,3,4,3,3,3,3,3,3,4
463,4,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,4,3
464,4,3,4,3,3,3,3,3,3,3,5,4,4,4,4,3,4,4
465,3,2,4,4,3,4,2,3,3,2,4,3,3,3,3,3,3,3
466,3,2,2,3,2,2,2,2,2,2,3,3,3,3,2,2,3,3
467,3,2,3,3,3,3,3,2,3,3,3,3,2,3,2,2,1,3
468,4,3,4,3,3,4,3,4,4,2,2,1,3,3,4,4,3,3
469,4,2,4,4,3,4,2,4,3,3,4,4,5,3,4,3,4,4
470,3,3,3,3,3,2,4,3,2,2,3,2,3,4,3,4,3,3
471,4,4,4,4,5,4,3,4,4,4,4,5,4,5,3,4,4,4
472,3,3,3,3,4,4,3,3,4,4,3,3,3,4,2,3,3,3
473,3,4,4,4,3,3,4,3,2,2,3,3,3,2,3,3,4,4
474,3,2,2,2,2,4,3,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA
475,3,2,2,3,2,2,3,3,1,2,2,1,1,2,2,2,3,2
476,3,2,2,3,3,3,4,4,3,3,2,3,3,3,3,4,5,3
477,4,3,4,4,4,3,2,2,3,2,3,3,3,4,4,4,4,3
478,2,1,1,3,2,3,2,3,3,3,4,3,3,5,3,3,3,3
479,3,4,4,2,4,3,4,4,3,2,3,3,3,3,4,3,3,4
480,4,4,4,5,4,3,4,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA
481,4,3,4,4,4,4,3,4,4,3,2,2,1,2,3,3,3,3
482,2,3,4,3,2,2,4,3,3,3,2,2,2,3,3,2,4,3
483,2,1,2,3,2,2,3,4,3,3,3,2,1,1,3,2,3,3
484,2,1,1,2,2,1,3,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA
485,3,3,2,3,2,3,2,4,4,4,5,5,4,5,4,4,4,4
486,3,2,4,3,4,3,3,4,3,3,3,3,4,4,2,3,3,3
487,3,2,3,3,3,2,3,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA
488,4,5,3,4,3,4,2,3,4,3,2,2,4,2,3,2,3,4
489,4,4,4,3,2,4,4,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
490,4,3,4,4,4,3,5,4,4,4,4,4,4,4,3,3,4,5
491,2,1,3,1,2,3,2,2,4,2,NA,NA,NA,NA,NA,NA,NA,NA
492,3,3,4,3,3,3,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
493,3,2,2,4,2,3,1,3,2,2,2,2,1,2,1,1,2,2
494,3,2,5,3,4,3,1,2,3,2,3,2,3,3,3,3,4,3
495,2,2,3,2,3,2,3,2,3,3,2,1,3,2,2,2,2,2
496,3,3,4,1,3,3,2,2,2,3,2,2,2,3,3,3,2,3
497,3,4,4,4,4,4,5,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA
498,3,3,3,4,3,4,3,3,3,3,4,3,4,5,5,4,4,3
499,3,2,2,3,3,3,3,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
500,3,2,3,1,2,2,2,3,3,2,2,3,3,2,3,4,2,3
501,2,2,2,2,2,2,2,4,2,4,NA,NA,NA,NA,NA,NA,NA,NA
502,3,3,4,4,4,3,2,1,2,3,3,3,3,2,2,3,2,3
503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
504,4,4,5,5,4,5,4,5,5,4,3,4,4,4,4,5,4,3
505,3,2,3,2,3,3,4,5,4,3,2,3,2,2,4,3,4,3
506,2,3,3,2,3,2,4,5,3,3,4,4,3,2,3,3,2,3
507,2,2,3,2,2,2,2,3,3,2,2,3,2,2,2,3,2,3
508,2,3,4,4,4,3,2,3,3,2,2,2,3,2,2,3,3,3
509,2,3,4,3,4,3,2,2,1,1,2,2,2,2,2,3,2,1
510,1,2,3,3,2,1,2,2,2,3,3,3,3,3,2,2,2,2
511,4,4,4,3,4,5,1,2,3,2,3,4,3,2,5,4,4,5
512,5,3,4,5,4,3,5,5,3,3,4,3,2,4,3,4,5,4
513,3,3,4,3,3,2,2,2,3,3,2,2,3,3,3,4,4,3
514,2,1,3,2,3,4,2,1,2,2,2,2,3,3,2,2,3,3
515,4,2,2,3,2,1,2,3,3,4,2,3,2,3,2,3,2,3
516,3,3,3,3,3,3,2,3,2,2,4,4,3,3,3,3,3,2
517,5,4,5,5,5,5,4,4,5,3,4,4,4,4,5,5,4,4
518,2,2,3,2,2,3,3,3,3,3,4,4,3,4,3,3,2,2
519,2,3,2,3,1,1,2,2,3,1,NA,NA,NA,NA,NA,NA,NA,NA
520,3,3,3,3,3,3,4,4,3,3,3,3,3,3,2,3,2,2
521,3,4,5,4,4,3,2,2,3,2,3,3,3,3,4,4,4,3
522,4,2,4,4,3,2,2,2,3,4,3,3,3,2,2,2,3,2
523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,2,2,3,3,2,2
524,2,2,4,4,4,2,2,4,4,4,3,3,2,2,3,2,3,2
525,2,2,4,3,1,2,2,3,3,2,3,2,2,3,2,2,3,3
526,2,3,4,3,3,3,3,3,3,4,4,3,3,2,3,3,3,3
527,2,1,2,2,2,2,2,4,3,4,4,3,3,2,3,4,4,3
528,3,3,3,3,4,3,3,3,3,3,3,2,3,3,2,3,3,3
529,4,2,4,5,3,4,2,3,2,2,4,2,3,2,3,2,2,3
530,3,4,4,3,3,2,3,4,4,4,2,3,3,2,3,4,3,4
531,4,2,3,3,3,2,2,4,3,3,3,3,3,3,4,4,3,5
532,1,2,3,3,3,1,1,1,1,3,1,2,1,2,1,2,2,1
533,3,2,4,2,4,4,3,3,2,3,3,3,3,3,3,1,2,2
534,4,4,3,4,4,4,3,3,3,3,3,3,3,3,3,4,3,2
535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,3,4,3,3,3,3
536,3,3,4,4,3,4,3,2,3,3,4,3,3,3,4,4,3,4
537,2,2,3,2,2,3,3,4,3,3,3,2,3,3,2,2,3,3
538,2,2,3,1,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
539,1,1,2,1,3,1,2,2,2,2,4,3,3,2,3,3,1,2
540,4,2,3,5,3,4,3,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA
541,3,2,3,2,3,3,3,3,3,3,3,4,4,4,5,3,4,4
542,3,5,4,4,4,2,3,4,3,3,3,4,4,3,3,5,4,4
543,3,2,3,3,3,3,4,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA
544,3,3,3,3,4,3,3,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA
545,2,2,3,2,2,3,2,3,3,2,1,2,3,2,3,2,2,3
546,4,3,3,2,3,2,3,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
547,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,3
548,3,1,3,4,4,3,3,3,2,2,3,2,2,3,2,2,2,2
549,3,2,4,4,3,4,1,2,2,2,3,2,4,3,3,3,3,3
550,3,3,4,3,3,2,4,4,4,2,3,4,4,5,4,4,3,4
551,3,2,3,3,4,3,3,3,3,4,3,3,4,3,3,3,3,4
552,2,1,3,2,3,3,3,3,3,3,4,3,4,5,3,3,3,3
553,4,3,3,4,2,2,2,2,3,3,2,3,2,3,2,2,1,2
554,2,1,3,3,2,2,2,4,4,3,2,3,3,3,2,3,2,4
555,2,3,2,3,2,3,2,3,3,3,3,2,4,3,3,2,3,3
556,3,2,4,3,3,2,2,2,4,3,3,3,3,3,2,3,3,2
557,3,3,4,3,4,3,3,3,3,4,4,3,3,3,3,3,3,4
558,2,2,3,2,3,2,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
559,4,3,3,3,3,2,3,3,4,3,4,2,3,4,2,3,4,3
560,2,3,3,4,2,3,2,2,3,3,2,3,1,3,1,2,3,3
561,4,3,3,3,3,3,5,4,4,3,NA,NA,NA,NA,NA,NA,NA,NA
562,3,3,4,3,3,3,2,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA
563,2,2,3,2,2,3,4,4,3,4,3,3,4,3,5,4,4,4
564,2,2,2,3,3,2,4,4,3,3,3,4,3,3,2,1,2,2
565,3,3,4,4,5,3,3,4,3,4,3,3,5,3,5,3,4,2
566,2,3,5,5,4,4,4,3,2,4,2,3,3,4,3,3,4,4
567,3,3,4,3,4,4,1,4,3,4,NA,NA,NA,NA,NA,NA,NA,NA
568,5,4,5,3,4,4,3,4,3,3,3,4,3,5,5,4,4,4
569,4,4,5,4,5,3,3,4,2,4,4,3,3,2,3,3,3,4
570,2,3,2,3,3,2,3,2,1,3,1,1,1,2,1,2,1,2
571,3,3,3,2,3,3,3,3,4,2,3,3,2,2,3,3,3,3
572,3,1,2,2,2,2,2,4,4,3,4,2,4,3,2,2,4,2
573,3,3,3,5,4,3,3,3,3,4,5,3,5,3,4,5,4,5
574,2,1,2,4,2,2,2,4,4,3,4,3,3,3,3,3,3,3
575,3,3,3,3,2,2,2,4,3,3,2,2,3,3,4,4,4,4
576,3,3,4,4,4,3,4,3,3,2,3,3,3,4,3,3,3,4
577,2,2,3,4,3,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
578,3,2,4,3,4,3,4,5,3,2,4,4,4,4,4,4,3,4
579,2,2,2,1,3,3,3,3,2,2,3,2,2,3,2,3,4,2
580,2,1,4,3,2,2,2,2,3,3,2,2,1,1,3,3,3,3
581,3,2,3,4,4,4,5,3,2,3,4,4,4,3,3,4,3,3
582,2,3,4,5,3,4,3,4,3,2,3,3,3,2,4,4,3,3
583,3,1,3,3,2,3,4,3,3,3,3,3,4,3,3,4,4,4
584,3,4,3,3,2,3,3,3,2,3,3,2,3,2,5,4,2,4
585,3,3,3,3,2,1,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA
586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,3,3,3,3,2,2
587,2,1,3,3,3,2,1,2,3,3,2,2,2,2,1,3,1,2
588,3,2,3,2,2,1,4,3,2,4,3,3,4,3,4,4,3,3
589,2,2,3,3,2,2,2,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
590,4,3,4,4,3,3,2,3,4,4,NA,NA,NA,NA,NA,NA,NA,NA
591,2,3,3,3,3,4,3,4,3,2,3,2,3,3,2,2,2,2
592,3,2,4,4,4,4,3,3,2,3,2,2,2,3,4,2,2,3
593,4,3,5,3,4,4,3,4,3,3,2,2,2,3,2,3,3,3
594,2,3,3,3,3,3,3,4,3,3,3,3,4,3,5,3,3,4
595,2,2,2,3,1,1,1,2,3,2,1,2,1,1,2,2,2,2
596,4,3,4,4,4,4,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA
597,3,3,3,3,3,3,3,3,2,3,4,2,3,4,3,3,4,5
598,3,2,4,3,3,4,3,3,2,4,NA,NA,NA,NA,NA,NA,NA,NA
599,2,2,3,3,3,3,3,3,3,3,3,4,4,2,3,3,3,3
600,3,3,3,3,3,2,2,3,2,2,3,3,3,3,3,3,3,4
601,2,2,3,3,3,3,2,3,2,2,3,3,3,1,3,2,2,3
602,5,2,2,3,2,3,2,4,3,3,5,3,3,5,2,3,2,3
603,4,2,4,3,3,3,2,2,2,2,3,3,2,3,2,3,3,2
604,3,4,5,4,3,4,5,5,4,3,4,3,3,3,4,3,4,3
605,2,3,4,2,3,4,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA
606,3,2,3,3,3,3,2,2,2,2,3,2,2,3,3,3,3,4
607,3,2,2,3,2,2,3,4,2,2,2,1,2,3,1,1,3,2
608,4,4,5,4,4,3,3,4,2,3,3,3,4,4,3,4,5,5
609,3,3,5,4,3,4,3,3,3,3,5,5,4,4,4,4,3,3
610,3,2,4,2,2,1,4,3,3,4,3,2,3,2,3,2,3,3
611,3,3,3,5,3,2,2,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA
612,3,2,3,3,2,2,3,3,3,3,3,3,4,3,3,2,3,3
613,4,4,4,3,4,4,3,5,4,4,4,4,5,4,4,4,4,4
614,2,1,2,2,2,1,3,5,3,3,3,2,3,2,4,3,2,2
615,3,2,3,2,3,3,1,2,2,3,4,3,3,3,3,3,2,4
616,3,3,5,4,3,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
617,3,3,3,3,4,3,3,3,3,2,3,4,3,3,3,4,3,3
618,3,2,3,3,3,3,2,4,3,3,3,3,2,3,2,4,3,3
619,4,3,3,3,3,3,3,3,3,4,4,4,4,4,3,4,3,2
620,2,1,2,3,2,2,3,3,3,4,2,2,2,2,3,4,4,3
621,2,1,3,4,3,4,2,2,3,3,2,1,1,1,3,3,2,3
622,2,2,3,3,3,2,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
623,2,3,3,3,3,2,3,3,2,2,3,3,4,2,4,4,4,3
624,3,3,5,3,4,4,3,2,3,3,3,2,4,3,4,4,2,3
625,4,3,3,4,4,5,3,4,4,3,4,4,4,5,5,3,5,3
626,2,2,2,1,3,2,2,3,3,4,3,3,3,3,5,3,4,3
627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,2,4,4,3,3
628,5,3,4,4,3,3,4,4,3,4,4,4,5,4,4,5,4,5
629,3,3,4,4,3,3,3,3,4,4,4,4,4,4,3,2,4,4
630,3,3,4,5,4,2,3,4,3,4,3,3,2,4,4,4,3,4
631,3,3,4,4,4,3,2,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA
632,2,2,2,2,3,2,4,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA
633,3,3,3,3,2,2,3,4,4,3,2,2,4,3,4,3,3,3
634,4,3,5,5,4,5,4,4,4,3,4,3,3,3,4,4,4,3
635,4,3,4,3,3,2,2,3,3,2,5,4,4,3,4,4,3,3
636,2,3,2,4,3,3,3,2,2,3,2,2,2,2,2,2,2,1
637,3,4,4,3,3,3,2,3,3,4,3,3,2,4,2,4,3,4
638,3,4,5,4,4,4,3,3,3,3,3,3,4,3,4,4,5,4
639,4,3,4,4,4,4,3,3,2,3,4,4,3,3,3,3,4,3
640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,4,3,3,4,2,2
641,3,1,3,3,2,3,3,4,4,4,4,4,4,4,3,3,3,3
642,3,2,3,4,2,3,3,4,5,4,3,4,4,4,3,4,4,2
643,3,3,3,4,2,4,3,3,3,4,4,4,5,4,3,4,4,4
644,4,3,4,4,3,2,3,4,2,2,3,3,5,4,5,4,4,5
645,2,1,3,3,2,3,2,2,2,1,2,3,2,3,3,2,3,3
646,2,3,3,4,2,3,4,3,5,3,3,4,4,4,4,4,4,2
647,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,3,2,3,3,3,4
648,2,4,3,4,3,3,2,4,4,3,4,4,4,4,4,5,4,4
649,4,4,4,4,4,3,5,5,5,5,4,4,3,3,5,4,5,5
650,2,4,4,4,3,4,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
651,4,2,4,5,3,4,4,3,3,2,4,3,2,3,4,4,3,4
652,2,2,4,3,3,4,2,3,2,3,2,3,2,4,2,3,4,5
653,4,3,4,5,3,2,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
654,3,3,3,2,3,2,4,3,3,2,4,4,2,3,3,4,3,3
655,3,3,3,4,4,2,3,3,3,4,4,3,4,4,4,4,4,3
656,2,3,3,2,3,4,3,3,3,3,3,2,3,1,3,2,3,4
657,3,3,3,2,2,2,2,3,3,2,4,4,4,4,3,3,3,3
658,4,1,3,3,3,2,3,3,3,3,4,3,4,4,3,3,4,3
659,1,3,2,3,1,2,2,3,2,3,3,3,2,4,1,3,2,1
660,2,3,4,3,3,2,2,3,2,2,2,2,3,2,3,3,3,2
661,3,1,2,1,3,3,3,2,2,2,3,2,2,2,3,4,3,3
662,2,3,2,3,2,3,3,3,3,2,3,3,2,3,4,3,3,3
663,4,3,3,4,1,3,2,4,4,2,4,3,3,3,4,3,1,4
664,3,1,3,1,3,3,2,4,4,4,3,3,4,3,3,3,3,3
665,2,1,2,1,2,3,2,3,1,2,4,3,2,3,2,2,3,4
666,3,2,3,3,4,1,3,3,2,3,3,2,3,4,4,4,4,3
667,2,3,4,2,3,3,1,3,2,2,3,4,2,3,2,3,3,2
668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,2,3,2,4,4,2
669,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
670,3,3,4,3,3,3,3,3,3,3,4,4,3,4,3,4,2,5
671,3,2,3,3,2,3,3,4,2,3,NA,NA,NA,NA,NA,NA,NA,NA
672,2,3,2,3,4,3,4,3,4,4,4,3,4,3,4,4,4,3
673,5,3,5,4,5,4,4,3,2,4,4,2,4,2,3,3,5,4
674,3,4,2,4,3,4,3,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA
675,2,2,2,3,2,2,3,3,2,3,2,3,2,4,3,2,4,3
676,3,3,3,3,2,2,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA
677,2,3,3,3,3,4,3,3,3,2,4,3,3,3,4,3,4,3
678,3,2,3,1,2,3,2,2,3,3,4,3,3,3,3,2,2,3
679,3,4,4,4,3,3,3,4,3,4,4,3,3,3,5,5,5,5
680,3,3,3,3,2,2,4,4,3,3,3,3,3,2,3,4,5,3
681,3,2,2,2,2,3,2,2,3,3,3,2,3,3,3,3,2,2
682,2,2,3,2,4,2,4,5,4,4,4,3,3,3,5,4,4,2
683,2,3,2,1,2,1,3,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA
684,2,3,3,3,3,3,3,3,3,4,4,4,4,2,3,3,3,3
685,4,2,3,4,3,3,2,2,1,2,2,2,2,1,1,1,2,2
686,2,3,4,4,3,2,3,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA
687,3,2,3,2,3,2,3,4,4,3,4,4,3,3,4,4,4,4
688,4,3,3,3,4,2,2,2,2,3,2,2,2,2,2,3,2,3
689,3,4,4,3,3,4,2,5,3,4,4,3,4,3,3,2,2,3
690,3,1,3,2,2,2,3,4,3,3,3,3,2,2,4,2,3,2
691,1,2,3,3,3,2,2,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA
692,3,3,4,3,4,3,2,2,3,3,2,2,3,3,3,2,2,3
693,3,2,2,4,3,3,3,4,4,2,3,2,1,3,3,3,3,3
694,3,3,3,2,3,3,5,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA
695,3,2,3,3,3,3,4,3,4,3,4,4,4,4,3,3,5,3
