type,region,gradrate,gradratem,gradratew
1,2,50,44,55
3,2,75,71,78
3,2,41,40,41
4,2,68,64,74
1,2,54,47,59
4,2,53,47,57
4,2,66,62,69
4,2,91,91,92
3,2,72,71,73
4,2,72,65,79
3,2,88,86,91
1,2,37,25,44
1,2,47,46,47
4,2,65,58,71
1,2,48,41,53
4,2,68,62,70
4,2,67,63,70
4,2,76,73,78
1,2,64,59,68
4,2,68,63,71
4,2,74,74,74
4,2,49,47,49
4,2,87,87,87
4,2,51,39,59
1,2,67,65,69
1,2,43,47,36
1,2,33,37,31
1,2,50,51,49
1,2,48,52,42
1,2,46,49,42
1,2,66,63,69
1,2,45,46,44
1,2,54,54,53
1,2,61,58,64
1,2,35,38,29
1,2,56,58,54
1,2,44,48,40
1,2,48,47,49
1,2,86,83,88
1,2,43,43,43
1,2,51,52,50
1,2,47,46,47
1,2,36,36,35
1,2,45,50,39
3,2,45,38,50
3,2,63,56,67
3,2,57,68,50
3,2,96,96,96
3,2,61,58,62
3,2,58,55,60
3,2,63,63,63
3,2,74,69,78
1,2,48,49,47
1,2,48,46,50
1,2,55,51,60
1,2,79,77,81
3,2,50,45,53
2,2,48,47,49
3,2,54,50,61
4,2,65,62,66
4,2,79,78,81
4,2,73,73,72
4,2,83,86,82
4,2,57,47,65
1,2,57,50,64
1,2,62,60,63
4,2,74,71,77
3,2,92,90,93
1,2,66,65,67
4,2,32,28,37
3,2,86,100,83
3,2,74,71,76
4,2,50,47,53
4,2,88,86,90
3,2,74,73,76
4,2,60,53,66
1,2,69,59,75
4,2,78,77,79
3,2,55,50,61
3,2,61,61,60
3,2,60,55,64
3,1,95,94,96
3,1,80,79,83
3,1,53,52,54
3,1,48,48,42
4,1,87,85,88
1,1,43,38,46
1,1,63,62,63
3,1,86,85,87
3,1,61,59,64
4,1,72,67,74
4,1,63,82,46
4,5,21,20,23
4,5,48,48,48
4,5,38,28,43
4,5,29,25,33
2,5,60,59,60
4,5,57,55,58
1,5,69,67,70
1,5,66,66,71
4,5,44,34,48
1,5,82,78,85
3,5,56,51,61
3,5,71,58,78
4,5,65,56,71
1,5,43,33,48
3,5,83,84,82
1,5,40,37,42
3,5,43,35,54
4,5,31,26,35
4,5,40,32,51
4,5,54,46,62
4,5,68,63,73
1,5,43,35,47
1,5,23,14,28
1,5,72,69,75
1,5,47,45,49
1,5,34,30,38
1,5,38,30,42
4,5,29,25,34
1,5,53,45,56
4,5,84,82,85
4,4,66,63,68
1,4,38,31,42
1,4,44,40,48
4,4,42,38,47
4,4,51,51,51
2,4,31,24,35
1,4,42,33,52
1,4,12,11,12
4,4,44,53,42
1,4,55,53,59
1,4,55,54,57
3,4,5,3,6
4,4,48,47,50
1,4,50,47,52
4,5,56,40,75
4,5,33,100,27
1,5,36,32,39
4,5,60,100,55
4,5,67,65,69
4,5,29,26,34
4,5,49,47,51
4,5,55,44,65
4,5,60,62,58
3,5,31,21,45
4,5,56,54,58
2,5,38,21,43
1,5,41,39,42
3,5,54,56,53
4,5,37,21,54
4,5,55,52,57
4,5,25,22,29
4,5,65,60,69
4,5,49,46,52
2,5,27,17,30
4,5,36,25,48
4,5,8,2,13
4,5,49,38,57
3,5,49,50,48
4,5,33,36,31
4,5,54,51,56
3,5,48,33,61
1,5,40,40,40
2,5,13,16,12
1,5,45,41,49
4,5,60,56,62
3,5,65,56,66
4,5,81,80,82
4,5,78,77,80
4,5,56,46,62
4,5,45,38,51
1,5,38,34,41
1,5,66,63,69
1,5,49,51,47
2,5,86,85,100
1,5,35,28,39
1,5,52,49,56
4,5,25,22,29
4,5,55,49,59
4,5,28,26,31
4,5,67,60,71
3,5,92,92,93
4,6,59,56,62
1,6,31,25,37
4,6,42,23,62
2,6,47,43,49
4,6,77,73,81
4,6,75,73,76
1,6,18,22,15
4,6,34,30,38
1,6,39,37,40
4,6,54,51,58
4,6,25,29,20
4,6,69,67,70
2,6,25,27,20
2,6,75,60,79
4,6,32,21,46
1,6,36,30,42
2,6,33,28,38
2,6,56,54,59
4,6,47,36,57
4,6,44,39,48
1,6,12,8,15
1,6,46,43,49
4,6,43,32,59
4,6,25,20,29
4,6,47,43,49
2,6,36,35,45
2,6,57,58,55
4,6,13,10,17
1,6,32,29,35
1,6,39,30,47
4,6,61,58,68
4,6,43,44,42
4,6,46,34,55
4,6,37,28,49
1,6,12,10,13
1,6,40,31,48
2,6,50,18,56
1,6,48,43,53
3,6,45,37,52
4,6,27,19,30
1,6,39,31,47
1,6,25,21,28
1,6,36,28,43
3,6,92,91,94
4,6,69,71,68
4,6,48,43,51
1,6,48,43,53
4,6,34,28,40
4,6,57,53,59
4,6,80,75,83
4,6,39,29,49
4,6,75,73,77
1,6,44,36,48
1,6,55,49,59
4,6,29,22,36
4,6,28,25,32
1,6,26,20,36
1,6,39,37,40
1,6,32,27,39
1,6,30,29,31
1,6,80,76,83
1,6,40,36,44
1,6,79,76,81
1,6,64,59,71
1,6,38,32,44
1,6,41,39,41
4,6,75,74,76
4,6,17,16,18
4,6,45,39,52
1,6,37,31,40
1,6,28,25,31
1,6,12,9,15
1,6,62,60,64
4,6,37,32,39
1,6,45,37,46
4,6,80,78,81
4,6,36,31,42
1,6,44,39,49
4,6,25,35,17
4,7,77,77,78
4,8,48,43,50
2,7,52,50,53
1,7,34,24,40
2,7,51,50,52
2,7,29,27,40
2,7,46,21,51
1,7,39,25,47
1,7,45,37,48
2,7,47,47,47
2,7,44,35,51
1,7,48,41,52
1,7,24,20,28
1,7,59,59,59
1,7,37,29,42
3,7,57,56,57
3,1,64,67,63
3,1,27,33,17
1,1,42,41,42
3,1,66,67,64
4,1,42,42,42
1,1,33,35,32
1,1,31,27,37
3,1,67,68,66
3,1,94,91,96
2,1,54,49,63
3,1,53,53,56
4,1,82,84,80
4,1,58,50,69
3,1,37,31,39
3,1,57,55,60
1,1,50,47,59
1,1,76,74,77
4,5,40,33,52
4,5,34,27,40
4,5,57,49,63
1,5,90,88,92
3,5,36,33,38
1,5,67,62,72
2,5,17,18,17
2,5,30,33,29
3,5,52,81,45
2,5,55,65,54
4,5,46,38,57
4,5,59,51,65
4,5,33,27,42
1,5,66,62,69
3,5,59,53,63
1,5,80,79,81
4,5,46,40,52
1,5,61,52,67
4,5,57,49,64
1,5,76,73,78
4,5,50,44,52
2,5,42,28,45
3,5,77,53,82
1,5,34,30,37
1,5,49,44,53
1,5,60,56,63
4,5,56,52,60
3,5,83,81,84
4,5,65,66,65
4,5,17,9,32
4,5,38,33,43
3,5,30,19,36
2,5,53,44,66
1,5,42,39,46
4,5,16,11,18
1,5,83,79,87
1,5,56,52,60
1,5,93,92,94
1,5,71,73,56
4,5,82,75,86
1,5,42,39,44
4,5,30,21,41
4,5,48,39,55
3,5,90,89,91
2,5,36,33,37
2,8,33,26,40
1,8,28,25,30
1,8,53,51,55
1,8,27,21,33
1,8,23,21,26
3,8,49,48,49
1,8,46,44,48
1,8,54,53,54
4,8,81,80,83
3,8,21,29,18
2,8,40,40,38
2,8,37,40,25
1,8,22,16,29
4,8,42,30,48
4,8,48,44,50
1,8,29,33,27
4,8,70,70,70
1,8,29,35,22
3,8,77,74,79
4,8,54,50,57
1,8,12,12,13
1,8,12,14,10
4,8,72,69,73
4,8,78,79,77
4,8,51,48,54
1,8,67,64,71
1,8,81,80,82
1,8,67,65,68
3,8,87,84,89
4,8,76,74,77
4,5,44,49,42
4,5,53,58,48
4,5,48,44,52
1,5,28,31,25
3,5,42,39,45
1,5,38,32,43
4,5,47,44,49
1,5,34,37,32
1,5,33,31,35
1,5,44,40,48
4,5,31,27,33
1,5,35,31,39
1,5,24,24,25
2,5,11,11,11
1,5,43,38,48
1,5,23,22,24
3,5,88,100,87
1,5,41,38,43
1,5,24,28,13
4,5,58,52,63
1,5,57,53,61
4,5,61,55,65
1,3,22,22,21
3,3,78,78,78
4,3,38,30,42
4,3,59,55,61
4,3,60,58,62
4,3,59,51,66
4,3,53,51,54
2,3,33,40,15
2,3,29,33,25
4,3,46,35,56
3,3,73,77,69
4,3,53,38,66
4,3,51,47,52
4,3,80,79,81
3,3,55,63,48
3,3,56,56,53
4,3,54,52,57
4,3,54,53,55
3,3,72,62,79
4,3,75,70,78
4,3,42,40,42
2,3,11,9,11
4,3,52,46,55
1,3,58,56,61
1,3,65,64,67
1,3,51,51,50
1,3,70,71,69
4,3,58,57,59
1,3,50,47,52
1,3,30,29,30
2,3,36,39,35
1,3,52,52,53
1,3,35,33,38
1,3,82,80,84
1,3,43,41,44
1,3,52,52,52
1,3,54,46,60
1,3,60,57,62
1,7,54,49,60
3,8,95,94,96
1,3,69,68,72
2,8,34,34,32
2,7,35,36,35
3,2,71,100,60
3,5,38,29,42
2,4,51,53,48
3,6,58,67,46
4,6,27,20,35
2,6,74,75,73
2,5,36,13,40
3,1,18,18,20
2,4,9,20,7
2,5,40,33,44
2,3,30,33,22
2,5,25,25,26
2,8,50,43,54
2,7,30,29,33
2,4,11,8,13
2,4,34,44,31
4,3,71,50,75
2,3,35,35,25
2,3,44,43,50
2,5,56,55,57
1,5,69,66,71
4,7,38,41,35
2,6,67,66,67
2,5,20,29,19
2,6,32,32,20
2,3,71,71,83
1,2,48,49,46
2,5,37,39,37
2,5,12,12,11
2,6,34,32,43
2,6,59,52,90
1,8,45,42,47
2,4,31,29,32
2,4,51,48,68
3,5,20,14,23
2,5,38,32,40
2,5,51,58,49
2,5,68,71,66
2,5,26,24,31
2,6,37,41,27
2,3,22,38,20
2,8,61,61,61
2,6,19,18,19
2,8,17,17,17
2,5,43,43,40
3,8,50,48,51
2,4,56,44,59
3,1,52,56,41
2,2,46,44,46
2,3,28,38,27
2,6,39,38,45
2,8,74,83,69
1,8,64,66,63
1,8,43,43,43
2,8,31,35,21
2,6,64,67,63
1,8,18,13,22
2,7,28,25,29
3,3,22,22,21
2,7,30,22,41
2,8,32,32,30
3,5,89,83,92
3,5,58,80,40
2,5,40,100,36
2,5,29,27,30
3,5,27,33,21
2,8,100,100,100
2,8,27,27,27
2,8,70,71,69
3,8,92,90,93
4,8,100,100,100
2,4,32,26,34
2,6,77,84,72
3,3,12,8,14
3,3,12,15,11
2,5,32,29,33
3,3,12,11,13
2,6,24,21,25
2,7,11,5,14
2,6,23,22,23
2,8,15,16,15
2,8,17,17,16
2,3,19,21,14
2,5,57,67,55
3,5,32,40,30
2,5,33,41,8
2,4,27,14,35
2,4,34,27,50
2,3,36,20,40
2,5,55,50,57
2,5,38,38,39
1,6,16,14,18
1,8,37,36,37
2,4,54,42,58
3,3,14,13,14
2,5,16,15,19
2,8,54,51,67
2,5,28,32,17
2,5,35,38,21
2,5,28,33,17
3,3,21,19,21
2,8,34,29,53
2,5,29,24,42
2,3,25,23,29
3,5,42,37,46
2,8,23,16,25
2,5,70,33,100
4,6,76,70,86
3,2,75,83,73
2,8,17,14,18
2,5,28,28,28
2,8,28,36,27
2,5,67,65,68
2,5,60,50,64
2,5,19,18,19
2,3,11,10,11
2,5,64,65,61
2,8,71,76,70
2,6,39,38,43
2,3,45,50,39
2,6,42,37,48
2,8,43,47,18
2,7,13,11,14
2,2,65,62,71
2,5,37,38,31
2,3,28,29,27
2,3,56,53,65
2,4,77,76,80
3,1,79,79,79
2,2,22,19,39
2,8,15,17,14
2,5,17,4,22
2,8,17,20,15
2,8,47,56,42
2,8,33,28,42
2,8,86,86,87
3,7,27,17,35
2,8,44,44,44
1,5,45,40,49
2,6,27,27,26
3,5,35,24,47
2,4,32,34,25
2,3,45,45,40
2,5,15,12,16
2,5,19,15,20
2,5,16,14,16
2,2,10,13,9
2,6,13,8,14
2,6,14,12,15
2,4,63,67,41
2,8,69,67,81
4,6,43,40,44
2,5,87,75,90
1,1,51,48,54
1,1,48,41,58
1,1,53,45,62
2,5,38,43,22
2,5,31,34,19
2,8,42,48,24
2,8,53,56,48
2,7,55,54,55
2,6,55,44,57
2,7,14,11,15
2,3,15,17,15
2,5,20,14,29
2,5,24,27,22
2,5,21,20,23
2,2,9,7,10
2,5,35,21,39
2,1,39,41,13
2,5,43,43,41
2,4,10,4,13
3,7,51,45,56
2,2,43,50,33
4,3,50,50,50
4,8,12,10,14
2,3,28,20,41
2,3,30,31,26
2,8,54,48,57
2,5,26,24,29
4,7,70,40,91
2,6,16,9,20
2,6,20,21,19
2,3,8,10,7
2,7,9,6,10
2,8,39,35,43
2,5,29,27,38
2,8,30,30,31
2,7,23,24,17
2,4,20,33,14
4,2,57,75,33
2,5,34,36,33
1,8,66,61,69
4,5,100,100,100
1,8,16,13,18
1,8,51,46,54
2,5,43,43,41
2,5,32,35,14
2,8,37,37,36
3,1,94,95,92
2,4,13,12,14
2,5,13,9,15
2,3,13,11,15
2,5,10,3,13
2,3,36,39,26
3,2,81,50,86
2,6,60,51,68
2,6,48,45,51
2,4,48,67,44
2,2,34,34,33
2,8,67,64,67
2,8,85,70,89
2,8,57,58,50
2,5,16,8,20
2,5,32,36,17
2,3,31,31,32
2,3,14,6,16
2,3,28,23,32
2,2,78,80,75
2,5,16,4,19
2,5,16,7,20
2,3,10,9,10
2,5,16,12,18
2,8,18,13,33
2,8,29,25,33
2,6,64,66,62
2,6,38,37,39
2,7,13,12,14
3,3,13,13,13
2,5,68,60,69
4,6,38,22,75
2,3,32,29,33
2,5,26,24,28
2,4,35,34,38
2,3,17,13,19
2,6,19,15,22
1,8,58,54,63
2,6,60,47,67
2,5,31,53,14
2,2,12,10,13
2,4,13,8,16
2,4,32,11,34
2,5,39,27,42
2,7,48,48,50
3,5,52,52,52
2,8,19,15,22
2,4,45,40,48
2,4,50,40,53
4,5,64,58,67
4,5,32,25,40
2,8,82,88,78
4,5,40,25,100
3,2,18,14,21
2,3,15,13,16
2,7,37,40,33
2,6,14,14,14
2,5,4,5,3
2,8,34,31,35
2,8,31,33,30
2,5,37,10,49
2,4,45,47,39
2,5,33,35,25
2,2,36,32,67
2,3,21,24,10
2,5,33,42,22
2,6,55,33,58
2,5,47,37,51
2,7,53,40,60
2,8,51,51,55
2,5,30,33,30
2,5,12,10,12
2,4,43,55,40
4,8,21,20,21
4,5,40,36,42
2,5,37,45,20
2,8,46,53,19
2,3,34,36,31
2,5,21,18,27
2,3,27,27,27
2,6,28,33,15
2,6,27,25,33
2,5,20,19,21
2,8,31,20,45
2,5,27,22,38
2,7,63,50,75
2,7,61,49,66
2,7,32,20,36
2,1,15,25,9
2,2,22,25,20
1,5,33,34,32
2,5,19,14,22
4,5,50,47,57
2,5,19,29,16
2,5,14,17,13
2,5,47,53,27
2,5,46,48,38
2,2,11,14,9
2,7,47,25,53
2,3,17,20,17
2,5,50,100,25
4,2,58,59,57
4,8,68,73,64
4,8,20,16,27
2,4,59,60,57
2,8,74,80,72
2,7,46,43,48
3,5,35,35,35
2,8,80,77,85
4,5,27,18,50
4,8,63,55,75
2,6,68,56,73
2,5,21,27,19
2,4,32,33,29
4,6,15,13,20
1,2,25,33,20
2,2,26,25,26
