ID,z_test,z_age,type,int_enviro,int_prep
ID513,0.2136860640381133,0.17,state,control,2weekprep
ID514,-1.385614002195969,-0.83,state,classroom,2weekprep
ID515,-2.8328657679667724,-0.31,state,control,4weekprep
ID516,0.4105100705363205,1.13,state,classroom,4weekprep
ID517,-0.5164848656742909,-0.45,state,control,control
ID518,-1.3714129250084448,0.18,state,classroom,control
ID519,0.2202746289319757,1.38,state,control,2weekprep
ID520,1.7848307215624355,1.08,state,classroom,2weekprep
ID521,0.9577041047456566,0.06,state,control,4weekprep
ID522,-0.47548656848934057,0.01,private,classroom,4weekprep
ID523,-4.413334327770929,-0.06,state,control,control
ID524,-0.04663305859144151,-0.61,state,classroom,control
ID525,1.675510870174087,-0.31,state,control,2weekprep
ID526,0.10108155936950952,-0.82,state,classroom,2weekprep
ID527,1.854283167747084,0.94,state,control,4weekprep
ID528,3.61282335278075,0.75,state,classroom,4weekprep
ID529,0.6857313441039014,0.7,state,control,control
ID530,1.1133266116343932,-0.42,private,classroom,control
ID531,-0.2764974221828359,-1.15,state,control,2weekprep
ID532,0.06029515531043539,-0.32,private,classroom,2weekprep
ID533,-0.3583127792277929,-0.19,private,control,4weekprep
ID534,1.3130912245007722,0.09,state,classroom,4weekprep
ID535,0.01683501409498067,0.51,state,control,control
ID536,3.0254874163524197,0.24,state,classroom,control
ID537,2.8540287489108684,0.82,state,control,2weekprep
ID538,0.7754236552630914,-1.12,state,classroom,2weekprep
ID539,1.3316829570532398,-0.93,private,control,4weekprep
ID540,1.5108842560287106,0.62,private,classroom,4weekprep
ID541,1.1989412720666481,0.22,state,control,control
ID542,4.399609246126086,0.95,private,classroom,control
ID543,-2.9528268419232138,-1.14,state,control,2weekprep
ID544,1.626794223457175,0.78,state,classroom,2weekprep
ID545,0.31557724054891523,1.37,state,control,4weekprep
ID546,1.7313520907253603,0.55,state,classroom,4weekprep
ID547,-0.09877068897620056,1.76,state,control,control
ID548,-0.13458300862625627,-0.8,state,classroom,control
ID549,-0.04400353143085334,0.09,state,control,2weekprep
ID550,-1.0537391970331478,-0.12,private,classroom,2weekprep
ID551,2.3035957128940776,-1.76,state,control,4weekprep
ID552,-1.203484273738228,0.14,state,classroom,4weekprep
ID553,0.23779117419026297,-0.75,state,control,control
ID554,0.14223949425103974,0.28,state,classroom,control
ID555,6.806006197230223,0.3,state,control,2weekprep
ID556,3.0127485390172137,0.13,private,classroom,2weekprep
ID557,2.9589179886931722,-1.29,state,control,4weekprep
ID558,-0.2606901247051252,1.13,state,classroom,4weekprep
ID559,-2.3722075238811167,-1.39,private,control,control
ID560,-0.979370926722605,-0.5,private,classroom,control
ID561,4.490070793300006,0.78,state,control,2weekprep
ID562,1.4334196560628032,-0.6,state,classroom,2weekprep
ID563,2.839111054836421,-0.27,state,control,4weekprep
ID564,-0.3392749377281372,0.07,private,classroom,4weekprep
ID565,-4.443766449270311,-0.98,state,control,control
ID566,0.07608873340699061,-0.12,state,classroom,control
ID567,6.8955455288795955,1.9,state,control,2weekprep
ID568,2.259524510192647,1.25,state,classroom,2weekprep
ID569,-1.0404619304393794,1.13,state,control,4weekprep
ID570,3.15547478071244,1.22,state,classroom,4weekprep
ID571,2.445569234049867,0.36,private,control,control
ID572,2.0294736952589387,0.43,state,classroom,control
ID573,2.473247412644646,-0.64,state,control,2weekprep
ID574,-1.585559024827805,0.68,state,classroom,2weekprep
ID575,2.4481765972359977,0.45,state,control,4weekprep
ID576,1.4546892475771556,0.31,state,classroom,4weekprep
ID577,-1.923546031635172,0.2,private,control,control
ID578,-3.9208737741858064,-0.12,state,classroom,control
ID579,4.495733856893027,1.71,state,control,2weekprep
ID580,2.3152658554126875,0.38,state,classroom,2weekprep
ID581,-0.4432413365448866,0.95,state,control,4weekprep
ID582,-0.5011086803091924,0.15,private,classroom,4weekprep
ID583,-3.1536882031699767,0.11,state,control,control
ID584,4.444360296106744,2.07,private,classroom,control
ID585,-0.019778925017863047,-2.91,state,control,2weekprep
ID586,3.40288689985508,0.39,private,classroom,2weekprep
ID587,-2.3479908010674264,1.04,private,control,4weekprep
ID588,-0.23682765777729414,-1.46,private,classroom,4weekprep
ID589,-0.01976997724055307,1.81,private,control,control
ID590,0.1712582117802564,0.67,state,classroom,control
ID591,4.119620799169288,0.45,private,control,2weekprep
ID592,-0.0692397926008097,0.24,state,classroom,2weekprep
ID593,-0.4662093506089447,-1.04,private,control,4weekprep
ID594,3.0622230393829346,1.25,state,classroom,4weekprep
ID595,-1.2966833145171435,-0.26,state,control,control
ID596,-3.4173579962404514,-1.11,state,classroom,control
ID597,6.839213538042273,1.72,private,control,2weekprep
ID598,1.1331839060729603,-0.63,state,classroom,2weekprep
ID599,4.9628423128191965,1.87,private,control,4weekprep
ID600,-1.3870986637483558,-0.32,state,classroom,4weekprep
