birthmonth,height,eyecolour,catdog,threewords,year,course,in_uk,gender,optimism,spirituality,ampm,extraversion,agreeableness,conscientiousness,emot_stability,imagination,loc,pseudonym,sleeprating
mar,177,blue,dog,"Adventurous, Inquisitive, Compassiote",2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,179,green,dog,curious practical deliberate,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,180,blue,dog,"curious, dreamy, coffee",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,180,other,dog,gourmet  sport  happy,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,185,brown,dog,"effective, spontanious, resilient",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,185,blue,dog,Friendly Happy Driven,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,187,brown,dog,Easy-going; Left-handed; Engineer,2020,usmr,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,187,hazel,dog,no thank you,2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,193,green,dog,NA,2020,usmr,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,193,green,dog,"funky, highly strung",2020,usmr,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,158,brown,cat,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,160,blue,cat,"Organised, colourful, smart",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,160,green,cat,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,160,brown,cat,"ratiol, procrastiting, compassiote",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,160,hazel,cat,"Sociable, ambitious, optimistic",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,161,blue,cat,"fun, adventurous, understanding",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,163,brown,cat,"outgoing, kind, girl",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,163,blue,cat,"ambitious, calm, caring",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,165,blue,cat,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,165,blue,cat,"thoughtful, pragmatic, forgetful",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,165,green,cat,"Outgoing, funny, sassy",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,166,brown,cat,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,166,hazel,cat,"creative, anxious, introspective",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,168,hazel,cat,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,172,green,cat,A perfectionist procrastitor,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,172,hazel,cat,"tired, chatty, funny",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,173,green,cat,"sporty, friendly, bookworm",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,173,blue,cat,"Creative, Hardworking, Caring",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,173,green,cat,"Kind, Generous, Quick-witted",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,174,hazel,cat,"curious, kind, introvert",2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,175,hazel,cat,trying my best,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,180,green,cat,"Creative, Teamplayer, Creative",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,182,brown,cat,"Tall, Conscientious, liberal",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,148,brown,dog,"outgoing, anxious, witty",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,155,hazel,dog,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,155,brown,dog,"Lively, short and bubbly",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,157,hazel,dog,"calm, open-minded, positive",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,157,blue,dog,"Chill, Curious, Sporty",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,158,brown,dog,"Reserved, Friendly, Anxious",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,159,blue,dog,"Quiet, sarcastic, kind",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,160,green,dog,Sarcastic fun easygoing,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,160,hazel,dog,"Organised, Generous and Hard-working",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,160,brown,dog,"Determined, Warm, Enthusiastic",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,160,green,dog,"funny, loyal, kind",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,160,blue,dog,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,161,blue,dog,"Ambitious, caring, small",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,162,brown,dog,"Hard-working, creative and organized",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,162,hazel,dog,"friendly, fun, loving",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,162,brown,dog,"Optimistic, restless, over thinker",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,163,brown,dog,"Outgoing, meticulous, responsible",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,163,brown,dog,"Kind, easygoing, organised",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,164.7,blue,dog,"Neurotic, empathetic, anxious",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,165,brown,dog,"unorganised, optimistic and friendly",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,165,hazel,dog,"Passiote, curious, positive",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,167,brown,dog,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,167,blue,dog,"Energetic, Emotiol, Adaptable",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,167.5,brown,dog,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,169,brown,dog,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,169,hazel,dog,"empathetic, strong-willed, loyal",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,169,hazel,dog,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,170,brown,dog,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,170,hazel,dog,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,170,brown,dog,"bubbly, ambitious, energetic",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,173,brown,dog,Smart Fun High,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,174,blue,dog,"outgoing, honest, athletic",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,174,blue,dog,"Caring, thoughtful, dedicated",2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,176,green,dog,iced latte lover,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,176,blue,dog,"positive, considerate, friendly",2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,178,grey,dog,"Inquisitive, Eccentric, Humorous",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,178,brown,dog,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,180,blue,dog,"King, Giving, Reflective",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,180.34,brown,dog,NA,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,181,blue,dog,"passiote, thoughtful, balanced",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,182,green,dog,NA,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,185,brown,dog,"outgoing, polite, tall",2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,172,blue,NA,NA,2020,rms2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,177,green,NA,NA,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2020,rms2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,2020,rms2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,145.5,brown,cat,plant-obsessed non-biry person,2020,dapr2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,157,green,cat,"Positive, funny, organised",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,159,blue,cat,"chaotic, nerd, functiol",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,160.4,brown,cat,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,161,blue,cat,"lazy, smart, short",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,162,brown,cat,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,162,brown,cat,"kind, cool, helpful",2020,dapr2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,162,brown,cat,"moody, fun, determined",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,162.5,brown,cat,"Empathetic, quirky, creative",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,163,brown,cat,"Ambitious, shy, friendly",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,164.5,brown,cat,"Insane, Challenge, Bright",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,165,amber,cat,"sensitive, ambitious, adaptable",2020,dapr2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,168,brown,cat,"quiet, kind and introverted",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,169,green,cat,"hard-working, friendly, curious",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,170,blue,cat,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,170,blue,cat,"bookworm, open-minded, organized",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,170,brown,cat,passion,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,171,brown,cat,happy with herself,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,171,brown,cat,happy with herself,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,173,other,cat,"crunchy, sour, gelatinous",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,175,blue,cat,creative inquisitive friendly,2020,dapr2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,175,blue,cat,"Funny, Determined, Clever",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,180,brown,cat,Hungry Spacey Neat,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,153,brown,dog,"Emotionless, Hardworking and Cool",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,157,brown,dog,NA,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,159,brown,dog,"Good-looking, intelligent, shameless",2020,dapr2,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,160,blue,dog,"honest, driven, organised",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,161.544,green,dog,"happy, kind, energetic",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,162.56,green,dog,"Helpful, enthusiastic, conscientious",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,164,grey,dog,"Polish, ambitious, hard-working",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,165,brown,dog,"passiote, sensitive, fair",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,165,blue,dog,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,165,brown,dog,"shy, loving, dependable",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,167,brown,dog,NA,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,167,hazel,dog,"insecure, incompetent, honest",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,167,brown,dog,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,167,brown,dog,"funny, chill, friendly",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,168,blue,dog,NA,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,169,brown,dog,"ooft, angry, fluffy",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,170,brown,dog,"Ambitious, Witty, Caring",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,170,blue,dog,kind ginger clumsy,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,171,green,dog,"Funny, Supportive, Honest",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,172,amber,dog,"smart, laidback, active",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,173,blue,dog,NA,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,173,brown,dog,NA,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,180,blue,dog,"passiote, loose, weird",2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,187,blue,dog,Charming Dexterous Curious,2020,dapr2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,188,green,dog,"Empathetic, Ambitious, Curious",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,NA,hazel,dog,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,NA,brown,dog,"Responsible, independent and caring",2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,NA,blue,NA,NA,2020,dapr2,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,150,brown,cat,small asian kid,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,156,grey,cat,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,157,brown,cat,"Outgoing, fun and ambitious",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,157.1,brown,cat,"fabulous, careful, logical",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,158,brown,cat,ALSO LOVE DOGS,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,158,brown,cat,laziness and procrastition,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,158,green,cat,"Confident, cheeky, candid",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,158,brown,cat,Not Enough Words,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,158.75,brown,cat,"Loud, intelligent, understanding",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,160,brown,cat,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,160,green,cat,"creative, quiet, ginger",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,161,other,cat,"persevering, easygoing, passiote (if good words are needed)",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,162,hazel,cat,Perfectionist who procrastites,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,163,brown,cat,weird independent outgoing,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,163,green,cat,introverted night owl,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,163,blue,cat,"kind, creative, thoughtful",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,164,brown,cat,"Honest, trustworthy, kind",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,164,blue,cat,"hardworking, optimistic, creative",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,165,blue,cat,"Curious, Passiote, Ambitious",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,165,other,cat,creative curious hyperactive rebel,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,166,hazel,cat,friendly,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,166,hazel,cat,"friendly, kind and considerate",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,167,brown,cat,"Calm, Alytical, and Adventurous",2020,dapr1,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,167,brown,cat,"weird, shy, awkward",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,167,other,cat,Really don't know!,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,167,brown,cat,trying my best,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,170,blue,cat,NA,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,170,blue,cat,NA,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,170,hazel,cat,"Curious, caring,",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,170,hazel,cat,"Caring, curious, organised",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,170.18,blue,cat,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,171,other,cat,Sleepy Tired Confused,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,172,hazel,cat,"peaceful, ambitious, empathetic",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,172,brown,cat,sporty quiet dedicated,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,172.72,blue,cat,"outgoing, patient, chill",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,173,brown,cat,"Energetic, Independent, Leader",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,173,blue,cat,"creative, outgoing, adventurous",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,174,brown,cat,Happy Go Lucky :),2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,175,blue,cat,"friendly, bookworm, foodie",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,175,blue,cat,super duper dysfunctiol,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jan,176,brown,cat,Active Sporty Sociable,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,178,green,cat,"introverted, intense, and intelligent,",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,178,blue,cat,"kind, motivated, creative",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,183,blue,cat,"Tall, hard-working, kind",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,149,brown,dog,"Quirky, sociable, resilient",2020,dapr1,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,150,brown,dog,small asian kid,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,155,blue,dog,"Loud, Chatty and kind",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jun,156,brown,dog,"Confident, Passiote, Procrastitor",2020,dapr1,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,157,hazel,dog,NA,2020,dapr1,Elsewhere,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,158.5,brown,dog,"Empathy, Friendly, INFP:)",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,159,brown,dog,Friendly Adventurous kind,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,160,blue,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,160,blue,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,161,blue,dog,"Caring, funny and social",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,162,brown,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
apr,162,brown,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,162,brown,dog,"confident, powerful, charismatic,",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,162.6,brown,dog,"Friendly, introverted, motivated",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
mar,163,green,dog,NA,2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,163,green,dog,"Chatty, positive and determined.",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,163,brown,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,164,brown,dog,"Cheerful, curious, persevering",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
sep,165,blue,dog,tired lonely confused,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,165,green,dog,NA,2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
nov,165,blue,dog,"Chaotic, empathetic, excited",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
jul,165,brown,dog,"Whimsical, warmhearted, shy",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
aug,165,amber,dog,"funny, easy-going, driven",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
oct,165,brown,dog,"Enthusiastic, perfectionist multipotential",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
may,166,hazel,dog,"strong-willed, approachable, emotiol",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
feb,166,green,dog,"talkative, energetic, optimistic",2020,dapr1,UK,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
dec,166,brown,dog,"""average human being""",2020,dapr1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
