ID,age,location,N,E,O,A,C,srh
ID499,40,countryside,27,30,26,46,27,0.14078252450789575
ID500,46,suburb,20,31,25,37,27,-0.9377288309679754
ID501,38,city,19,45,32,39,33,2.346704131606721
ID502,48,countryside,16,40,37,42,30,1.3559335394139793
ID503,37,city,40,36,29,38,26,-0.8256354188491654
ID504,30,city,32,29,26,40,28,1.3497360256490385
ID505,40,city,17,31,24,40,28,1.0737457296181219
ID506,38,city,18,33,34,42,30,0.723355099132812
ID507,32,city,30,41,29,41,23,0.1705108154836648
ID508,43,city,17,30,34,46,36,0.35617066672014797
ID509,45,city,19,37,27,37,29,-0.06760419220616092
ID510,41,suburb,29,33,33,34,24,-0.6668270497786319
ID511,40,city,20,29,29,42,31,0.11452121084123613
ID512,42,city,24,30,34,43,26,0.7988162876397386
ID513,39,countryside,26,32,32,40,24,-0.009174805556443377
ID514,50,city,20,28,30,42,34,-0.010244415003547107
ID515,35,city,27,32,34,41,29,-0.08768127688885421
ID516,53,city,21,43,35,40,33,0.2975466038596743
ID517,40,city,26,42,30,38,28,0.5738793237521618
ID518,47,city,21,36,32,42,26,0.9685704489427708
ID519,43,city,25,37,33,35,21,1.568243401931031
ID520,43,countryside,33,33,31,33,25,-0.7767033266268641
ID521,41,city,28,40,28,31,27,-1.4580993501614754
ID522,38,city,23,46,34,41,33,1.2554224734809498
ID523,44,city,25,31,24,45,25,-0.8055619204296881
ID524,43,countryside,24,32,31,40,33,-0.21404397949832013
ID525,42,suburb,29,38,33,35,26,0.20379289213097998
ID526,43,city,28,36,33,35,34,-0.14495714312046173
ID527,36,suburb,30,35,33,36,22,-1.0666380822769845
ID528,42,city,26,24,30,39,25,-0.9102193764174678
ID529,43,city,26,33,30,41,25,-2.261134297014354
ID530,39,city,28,41,37,33,24,-0.12646347854252654
ID531,47,city,27,31,34,35,34,-0.26075317543591536
ID532,51,countryside,22,30,32,40,29,0.40221973598656213
ID533,37,city,23,40,33,37,35,0.9741276047721313
ID534,45,city,17,35,34,39,32,0.3204116182876806
ID535,41,city,28,36,31,38,33,0.828652793931385
ID536,37,suburb,31,32,31,39,25,-1.7003664498843325
ID537,46,city,23,30,32,41,29,-0.3817887643092771
ID538,45,city,20,34,36,37,27,-1.0689667055263208
ID539,43,countryside,22,28,28,41,30,-0.028199546603961557
ID540,34,suburb,25,34,30,43,23,-1.0865164689678348
ID541,49,city,23,50,35,41,30,0.9118818598663294
ID542,42,city,29,27,27,44,33,-0.5810645068087151
ID543,43,city,32,30,32,35,30,-0.5346182501801423
ID544,42,city,29,36,36,39,23,-1.1601891992999793
ID545,46,city,26,32,32,40,29,-0.009681082484848025
ID546,40,city,26,31,34,44,26,-0.6645288499488974
ID547,47,suburb,18,44,38,33,30,-0.14156550500582665
ID548,43,suburb,24,38,37,37,28,0.7216017072327302
ID549,44,city,26,38,38,37,26,-0.3175948707227983
ID550,46,city,28,32,37,42,29,1.096153404860554
ID551,38,city,24,36,30,34,27,-0.6393332820448806
ID552,50,city,28,31,31,38,27,-0.6930158164663714
ID553,48,suburb,25,35,34,35,25,-0.23891252967620238
ID554,47,city,21,34,31,42,32,2.2880710519245464
ID555,46,city,28,29,30,40,30,-0.19789583373411343
ID556,52,city,24,35,35,38,35,0.003244035705635661
ID557,50,city,20,37,34,40,38,-0.44690874135177516
ID558,46,city,25,33,35,44,34,-0.5266592630063455
ID559,39,city,35,28,30,36,22,-2.6192217187513793
ID560,49,city,31,33,28,37,28,-0.6420357478062129
ID561,42,city,33,29,31,42,29,0.3190621559372067
ID562,42,suburb,18,29,26,41,31,1.4959805874098224
ID563,39,city,21,42,33,38,28,1.6375451958170488
ID564,40,suburb,22,30,34,39,34,-1.3243662749741794
ID565,54,city,19,33,33,42,36,0.28723040991200527
ID566,39,city,28,32,29,40,30,0.9662248467255888
ID567,44,countryside,21,39,34,37,38,1.5345347569778973
ID568,45,city,30,37,33,35,30,-0.28007239973908965
ID569,33,suburb,26,32,28,38,37,-0.9206686961671516
ID570,35,city,28,44,31,40,31,0.6787415363210693
ID571,49,city,20,34,35,36,22,0.2597342636980385
ID572,44,suburb,22,32,29,39,35,1.5274561755593226
ID573,46,countryside,25,28,27,42,37,-0.7827865501858922
ID574,39,city,14,39,28,39,30,0.6679806023194693
ID575,49,countryside,27,33,31,46,31,-0.23009913625545136
ID576,44,city,14,43,32,42,36,0.37204318336103454
ID577,39,city,23,33,27,39,27,-0.4413448981136321
ID578,40,city,20,48,40,35,33,1.0725922345358752
ID579,37,city,19,36,35,40,33,0.8957201804362237
ID580,36,countryside,20,38,31,40,36,0.8679743572767427
ID581,38,city,23,32,30,41,27,1.5878394368652473
ID582,45,city,23,37,32,33,32,-0.23389829305966847
ID583,41,city,28,34,36,39,30,1.0724974227961794
ID584,50,city,24,37,36,42,32,-0.644713615262818
ID585,50,suburb,22,45,37,42,34,1.1736533732035346
ID586,39,city,19,33,33,34,30,1.6947642033987975
ID587,48,city,26,26,31,40,29,-1.585696535312941
ID588,45,city,21,38,31,43,33,-0.0201012055577966
ID589,47,city,29,38,37,36,30,-0.9081649673590615
ID590,34,suburb,35,37,33,35,25,0.8429310656984379
ID591,37,suburb,34,34,32,36,24,-0.7703398425280246
ID592,41,city,30,33,25,34,24,0.6120836733885526
ID593,44,suburb,34,28,33,38,25,-2.6579340259363002
ID594,46,suburb,26,39,34,36,30,-0.5216901761871126
ID595,42,city,17,34,32,49,37,2.07889987528036
ID596,37,city,30,36,35,38,18,-1.7484797511349972
ID597,42,city,25,33,31,40,35,-0.030046919969659577
ID598,48,city,18,35,37,41,30,1.2862899129717837
ID599,39,city,25,47,35,33,35,-0.9606636090157096
ID600,35,city,34,34,27,44,33,-0.5354135422951334
ID601,41,city,16,38,30,37,32,0.09462482881266195
ID602,50,countryside,23,33,31,38,34,-0.13836476684578275
ID603,43,city,21,25,28,37,23,-1.328437760085585
ID604,41,city,15,36,31,41,38,1.5437659349497916
ID605,40,suburb,28,31,33,34,27,-0.5350274970219766
ID606,35,city,24,42,33,39,29,1.2756955112878328
ID607,36,suburb,27,37,37,34,32,-0.2238783513268132
ID608,44,city,24,33,33,35,22,0.5781235605272526
ID609,51,city,25,35,30,43,27,-0.16035813865219015
ID610,44,city,27,35,32,37,28,-0.6276375770810977
ID611,43,city,28,35,25,35,34,-0.8286875137297995
ID612,47,city,23,34,33,41,27,1.4584758755567164
ID613,52,city,26,42,38,34,31,-0.36921200398548026
ID614,41,city,28,37,33,42,25,-0.08740021988268869
ID615,45,city,26,43,34,37,29,0.37797792870156
ID616,41,suburb,25,41,37,39,26,-0.5562066519080556
ID617,41,city,27,24,28,35,23,-1.5195689241458377
ID618,49,city,22,28,32,43,29,-0.40572114720820907
ID619,46,city,22,31,29,32,36,0.034689895020284155
ID620,40,countryside,23,37,36,38,32,-0.4071012834360056
ID621,38,city,33,32,30,39,27,-0.23448650363516169
ID622,41,city,26,37,38,37,28,-0.13189111386030652
ID623,35,countryside,33,33,35,34,29,-0.4408343614049904
ID624,40,countryside,31,30,27,41,29,0.2502827863379565
ID625,42,suburb,24,32,35,35,32,-1.1280055216844238
ID626,41,city,32,37,33,41,23,-1.4442901381264874
ID627,35,city,27,38,31,38,22,1.0783382759360018
ID628,41,city,30,39,28,40,26,0.39962155296257607
ID629,52,suburb,21,36,40,37,41,-0.07947019425082934
ID630,35,city,28,40,31,35,26,-0.8376564646323222
ID631,51,city,23,29,35,40,32,0.48588516130912185
ID632,38,city,16,37,29,39,29,-0.2787614134263679
ID633,39,city,30,39,32,35,25,-2.0947393225206112
ID634,47,city,32,33,37,43,25,-0.9951435797366601
ID635,41,suburb,26,27,28,40,22,-0.010263102038447219
ID636,46,suburb,27,35,34,33,34,-0.01578852347890275
ID637,43,countryside,19,29,28,41,30,-0.7841850391075453
ID638,46,city,27,32,30,40,24,-0.2185566265329149
ID639,45,city,28,42,38,37,33,-0.9670978752741951
ID640,40,city,26,37,38,39,29,0.33493468378148245
ID641,39,suburb,19,57,39,37,31,0.3163108122335475
ID642,50,countryside,31,28,30,44,31,0.5971180544355501
ID643,40,city,25,38,29,45,27,0.5369800427884418
ID644,42,countryside,26,39,33,36,32,-0.7246902744712991
ID645,41,countryside,17,43,35,40,39,2.516323095451015
ID646,41,city,28,23,34,43,23,-0.8551327599169691
ID647,43,city,28,41,37,41,33,0.9874807977343845
ID648,42,city,31,36,31,35,36,-0.8201080535352426
ID649,40,city,27,30,29,37,24,-1.7581799695275044
ID650,39,city,30,27,39,40,25,-0.7006608911630401
ID651,46,city,23,33,35,39,27,-2.0236419875399467
ID652,41,city,21,41,32,38,28,-0.010490175910918477
ID653,36,countryside,24,47,30,39,31,0.7616135912147993
ID654,44,city,21,37,39,43,28,0.9867633249098102
ID655,42,city,26,36,37,39,27,0.11990335306835259
ID656,37,city,28,43,35,38,32,0.6652130280403362
ID657,38,city,31,35,32,38,25,-0.13616432331798517
ID658,38,city,29,39,32,41,29,0.75159572493783
ID659,42,city,28,36,29,35,31,0.427820960976306
ID660,37,countryside,32,28,25,42,18,-2.4538475272867095
ID661,49,suburb,25,36,36,41,27,0.296720759496232
ID662,44,city,24,18,24,37,25,-0.6846511938118166
ID663,37,city,22,44,38,40,36,0.23537605880060697
ID664,42,countryside,29,28,29,33,27,-1.346033833410561
ID665,45,city,30,28,31,39,32,0.20359927149981802
ID666,46,city,27,25,27,37,27,-0.23879149211539347
ID667,47,city,26,24,31,39,27,-1.1013034620709623
ID668,36,city,36,36,34,33,29,-1.592222438519945
ID669,42,city,22,36,31,42,26,0.4240496227360716
ID670,34,city,25,25,24,41,21,-0.11252674500205731
ID671,44,city,27,34,31,39,30,-0.8182163864273894
ID672,41,city,26,34,34,39,28,-0.18727589531386576
ID673,38,countryside,23,37,30,37,30,0.16269713247776516
ID674,40,city,27,35,41,38,33,0.6789843850661825
ID675,37,countryside,33,34,30,38,21,-1.3508060186228836
ID676,37,city,25,43,34,35,29,0.7203134303916457
ID677,39,city,23,32,30,35,29,-1.1487785711170855
ID678,41,city,23,37,36,39,32,-0.07240702658280374
ID679,51,city,26,35,34,41,27,-1.91819428462449
ID680,38,city,28,35,29,38,24,-0.17412686038827138
ID681,39,city,27,30,31,45,28,-0.7437378475626342
ID682,41,city,27,40,37,40,29,-0.8974921159128535
ID683,44,city,22,45,40,40,30,0.5046736264144454
ID684,41,city,28,46,39,43,30,0.03128519301098376
ID685,50,city,21,31,31,44,32,2.88448985458263
ID686,45,countryside,25,29,30,41,31,0.6250864782606765
ID687,40,city,30,34,32,41,32,-0.16582791874085082
ID688,47,city,26,35,33,37,27,-0.553482301876508
ID689,47,city,25,28,29,39,35,-0.07844777895811522
ID690,45,city,34,29,32,36,27,-0.7700378182174605
ID691,53,city,24,41,35,41,30,0.1425830564149782
ID692,42,countryside,17,36,28,39,31,0.9723610538797146
ID693,42,city,21,27,31,34,28,-0.4102637142507836
ID694,46,suburb,22,39,32,38,35,0.48895956976842536
ID695,39,city,26,34,29,37,26,-0.9434783742939753
ID696,45,city,27,36,30,36,24,0.5511202093622649
ID697,41,city,25,30,32,41,29,0.046083686796044104
ID698,48,city,27,33,34,43,29,-0.31289412726647536
ID699,49,city,34,27,32,38,20,-2.1735702696166395
ID700,29,suburb,24,44,33,39,23,0.05218211042191518
ID701,37,city,24,34,28,39,28,0.10345922739138634
ID702,47,city,30,26,32,44,29,-1.6302085356276173
ID703,41,suburb,25,33,30,40,28,-0.14044157993995346
ID704,48,city,21,35,28,39,37,0.8846767160526959
ID705,41,countryside,18,31,31,43,40,0.5162007848690563
ID706,42,countryside,26,35,34,37,27,-0.7233261793836685
ID707,51,city,29,30,38,35,26,-1.8094596919884192
ID708,42,suburb,28,30,33,39,21,-1.5305489305682614
ID709,36,city,23,37,29,38,32,0.1866552670501196
ID710,42,city,28,39,33,41,29,0.5941084241884698
ID711,36,countryside,34,25,30,38,22,-0.8929881668291542
ID712,43,city,28,33,27,38,34,0.16911281020429686
ID713,42,city,26,30,29,32,23,-1.1734220963817197
ID714,40,city,34,34,31,33,19,-1.566961169193834
ID715,40,city,25,35,35,44,33,-1.0028381911650226
ID716,45,city,28,44,40,40,35,1.3131305749157387
ID717,40,city,25,41,31,43,29,-0.035864587863335025
ID718,43,suburb,29,44,35,32,28,-0.577198008513148
ID719,47,city,17,28,31,42,31,0.9652884923049955
ID720,44,city,24,38,35,46,33,1.6430862615712942
ID721,44,city,22,37,34,42,30,0.7963114245205413
ID722,46,countryside,25,32,32,43,36,-0.19374922370122005
ID723,42,city,25,31,28,41,36,0.31812703481264365
ID724,43,suburb,21,34,29,46,25,1.275175438631357
ID725,30,city,31,36,22,40,23,0.2297693381286809
ID726,39,countryside,31,41,33,38,36,0.6749267562460624
ID727,42,suburb,24,39,37,35,25,-1.368932282480761
ID728,41,city,23,35,31,38,33,-0.2657617488758508
ID729,41,countryside,22,27,31,47,30,0.3274061210123921
ID730,46,suburb,22,28,27,40,25,0.7543625014567873
ID731,35,city,23,36,30,42,31,1.104559901595891
ID732,47,city,25,42,35,42,31,0.4491268065754635
ID733,38,city,28,34,31,39,17,-0.351513440635661
ID734,44,city,23,23,28,41,30,-1.033990837554889
ID735,44,city,17,35,37,37,31,-0.018905244306993838
ID736,33,city,23,37,32,42,35,-0.2127964574171796
ID737,32,city,28,37,28,37,22,-0.9692471434047721
ID738,43,suburb,21,44,36,39,32,2.1355315409906543
ID739,43,city,29,28,34,42,30,-1.270339547823136
ID740,41,countryside,22,38,34,40,34,0.269010897890934
ID741,43,city,24,37,36,37,35,-0.7782945267970104
ID742,45,suburb,27,34,32,36,28,0.11168752809047862
ID743,47,city,23,35,34,38,28,-0.3949345738349483
ID744,48,city,35,33,32,33,28,-0.9551324264270706
ID745,38,city,25,28,33,38,32,1.2184816797875744
ID746,38,city,15,43,35,40,34,1.7617822283576925
ID747,41,countryside,21,40,34,42,31,-0.4201407464475274
ID748,38,countryside,24,33,35,46,35,2.131519398913961
ID749,36,city,28,38,34,39,33,1.0037165848912009
ID750,41,city,29,43,42,36,27,-0.05918820183599652
